STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,sex,Sex,unit,Unit of measure,age,Age class,asyl_app,Applicant type,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2008,,12750,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2009,,15815,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2010,,11060,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2011,,14455,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2012,,17450,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2013,,17520,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2014,,28065,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2015,,88180,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2016,,42285,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2017,,24735,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2018,,13745,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2019,,12885,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2020,,14775,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2021,,39930,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2022,,112270,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2023,,59230,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,AT,Austria,2024,,24940,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2008,,15940,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2009,,22955,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2010,,26560,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2011,,32270,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2012,,28305,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2013,,21225,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2014,,22850,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2015,,44760,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2016,,18325,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2017,,18370,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2018,,22565,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2019,,27505,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2020,,16735,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2021,,25035,,,,,
dataflow,ESTAT:MIGR_ASYAPPCTZA(1.0),"Asylum applicants by type, citizenship, age and sex - annual aggregated data",A,Annual,TOTAL,Total,T,Total,PER,Person,TOTAL,Total,ASY_APP,Asylum applicant,BE,Belgium,2022,,36795,,,,,
