STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,citizen,Country of citizenship,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1995,,59.3,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1996,,55.4,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1997,,57.7,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1998,,57.6,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1999,,55.7,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2000,,58.6,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2001,,57.4,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2002,,58.5,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2003,,59.3,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2004,,48.6,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2005,,51.9,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2006,,52.2,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2007,,52.4,,b,break in time series,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2008,,52.8,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2009,,53.7,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2010,,55.5,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2011,,55.8,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2012,,56.4,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2013,,56.2,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2014,,58.4,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2015,,57.0,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2016,,57.0,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2017,,58.5,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2018,,59.9,,,,,
dataflow,ESTAT:LFSA_ERGAN(1.0),"Employment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2019,,60.8,,,,,
