DATAFLOW,LAST UPDATE,freq,leg_stat,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2008,7602,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2009,7259,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2010,7854,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2011,9071,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2012,8679,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2013,7897,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2014,12845,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2015,15540,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2016,14052,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2017,10628,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2018,11318,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2019,10772,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2020,9695,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Albania,2021,12391,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2008,35238,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2009,34713,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2010,35331,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2011,33714,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2012,32979,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2013,32176,,
