DATAFLOW,LAST UPDATE,freq,leg_stat,citizen,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2008,10991,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2009,11309,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2010,12062,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2011,11625,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2012,11795,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2013,12107,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2014,12210,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2015,12857,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2016,12520,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2017,13001,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2018,12033,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2019,11665,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2020,9665,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2021,9795,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Austria,2022,10414,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Bosnia and Herzegovina,2011,39,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Bosnia and Herzegovina,2012,43,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Bosnia and Herzegovina,2013,41,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Belgium,2010,21553,,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Convicted person,Foreign country,Number,Belgium,2011,23541,,
