DATAFLOW,LAST UPDATE,freq,leg_stat,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2008,569,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2009,527,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2010,565,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2011,511,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2012,373,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2013,338,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2014,401,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2015,881,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2016,976,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2017,1033,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2018,841,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2019,735,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2020,525,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Albania,2021,702,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2008,5406,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2009,5337,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2010,5561,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2011,5426,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2012,5195,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2013,5158,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2014,4947,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2015,4555,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2016,4340,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2017,4368,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2018,4114,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2019,4103,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2020,3620,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2021,3631,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Austria,2022,3707,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2011,1234,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2012,1182,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2013,1698,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2014,1746,,
