geo,TIME_PERIOD,OBS_VALUE
Andorra,2003,67159
Andorra,2004,72320
Andorra,2005,76875
Andorra,2006,78549
Andorra,2007,81222
Andorra,2008,83137
Andorra,2009,84484
Andorra,2010,84082
Andorra,2011,78115
Andorra,2012,78115
Andorra,2013,76246
Andorra,2016,71732
Andorra,2018,74794
Andorra,2019,76177
Andorra,2020,77543
Andorra,2022,79535
Andorra,2023,81588
Andorra,2024,85101
Albania,2003,3044993
Albania,2004,3034231
Albania,2005,3019634
Albania,2006,3003329
Albania,2007,2981755
Albania,2008,2958266
Albania,2009,2936355
Albania,2010,2918674
Albania,2011,2907361
Albania,2012,2903008
Albania,2013,2897770
Albania,2014,2892394
Albania,2015,2885796
Albania,2016,2875592
Albania,2017,2876591
Albania,2018,2870324
Albania,2019,2862427
Albania,2020,2845955
Albania,2021,2829741
Albania,2022,2793592
Albania,2023,2761785
Armenia,2003,3210300
Armenia,2004,3212200
Armenia,2005,3215800
Armenia,2006,3219234
Armenia,2007,3222953
Armenia,2008,3230086
Armenia,2009,3237976
Armenia,2010,3249482
Armenia,2011,3262650
Armenia,2012,3274285
Armenia,2013,3026878
Armenia,2014,3017079
Armenia,2015,3010598
Armenia,2016,2998577
Armenia,2017,2986151
Armenia,2018,2972732
Armenia,2019,2965269
Armenia,2020,2959694
Armenia,2021,2963251
Armenia,2023,2977130
Armenia,2024,2991201
Austria,2003,8100273
Austria,2004,8142573
Austria,2005,8201359
Austria,2006,8254298
Austria,2007,8282984
Austria,2008,8307989
Austria,2009,8335003
Austria,2010,8351643
Austria,2011,8375164
Austria,2012,8408121
Austria,2013,8451860
Austria,2014,8507786
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Austria,2024,9158750
Azerbaijan,2003,8202500
Azerbaijan,2004,8265700
Azerbaijan,2005,8347300
Azerbaijan,2006,8436400
Azerbaijan,2007,8532700
Azerbaijan,2008,8629900
Azerbaijan,2009,8896900
Azerbaijan,2010,8997586
Azerbaijan,2011,9111078
Azerbaijan,2012,9235085
Azerbaijan,2013,9356483
Azerbaijan,2014,9477119
Azerbaijan,2015,9593038
Azerbaijan,2016,9705643
Azerbaijan,2017,9809981
Azerbaijan,2018,9898085
Azerbaijan,2019,9981457
Azerbaijan,2020,10067108
Azerbaijan,2021,10119133
Azerbaijan,2022,10156366
Azerbaijan,2023,10127145
Azerbaijan,2024,10180770
Bosnia and Herzegovina,2003,3830349
Bosnia and Herzegovina,2004,3837414
Bosnia and Herzegovina,2005,3842532
Bosnia and Herzegovina,2006,3842650
Bosnia and Herzegovina,2007,3844017
Bosnia and Herzegovina,2008,3843846
Bosnia and Herzegovina,2009,3843998
Bosnia and Herzegovina,2010,3844046
Bosnia and Herzegovina,2011,3843183
Bosnia and Herzegovina,2012,3839265
