iccs,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,Albania,2008,2.78
Intentional homicide,Albania,2009,2.57
Intentional homicide,Albania,2011,4.38
Intentional homicide,Albania,2014,3.38
Intentional homicide,Albania,2015,1.86
Intentional homicide,Albania,2016,2.46
Intentional homicide,Albania,2017,1.81
Intentional homicide,Albania,2018,1.78
Intentional homicide,Albania,2019,2.03
Intentional homicide,Albania,2020,1.83
Intentional homicide,Albania,2021,2.16
Intentional homicide,Albania,2022,1.5
Intentional homicide,Austria,2008,0.7
Intentional homicide,Austria,2009,0.61
Intentional homicide,Austria,2010,0.73
Intentional homicide,Austria,2011,0.96
Intentional homicide,Austria,2012,1.05
Intentional homicide,Austria,2013,0.75
Intentional homicide,Austria,2014,0.51
Intentional homicide,Austria,2015,0.49
Intentional homicide,Austria,2016,0.56
Intentional homicide,Austria,2017,0.7
Intentional homicide,Austria,2018,0.83
Intentional homicide,Austria,2019,0.84
Intentional homicide,Austria,2020,0.61
Intentional homicide,Austria,2021,0.66
Intentional homicide,Austria,2022,0.72
Intentional homicide,Bosnia and Herzegovina,2008,1.72
Intentional homicide,Bosnia and Herzegovina,2009,1.74
Intentional homicide,Bosnia and Herzegovina,2010,1.4
Intentional homicide,Bosnia and Herzegovina,2011,1.27
Intentional homicide,Bosnia and Herzegovina,2012,1.56
Intentional homicide,Belgium,2008,1.91
Intentional homicide,Belgium,2009,1.76
Intentional homicide,Belgium,2010,1.74
Intentional homicide,Belgium,2011,1.95
Intentional homicide,Belgium,2012,1.86
Intentional homicide,Belgium,2013,1.83
Intentional homicide,Belgium,2014,1.88
Intentional homicide,Belgium,2015,2.06
Intentional homicide,Belgium,2016,1.55
Intentional homicide,Belgium,2017,1.74
Intentional homicide,Belgium,2018,1.68
Intentional homicide,Belgium,2019,1.28
Intentional homicide,Belgium,2020,1.3
Intentional homicide,Belgium,2021,1.33
Intentional homicide,Belgium,2022,1.54
Intentional homicide,Bulgaria,2008,2.29
Intentional homicide,Bulgaria,2009,2.01
Intentional homicide,Bulgaria,2010,1.99
Intentional homicide,Bulgaria,2011,1.74
Intentional homicide,Bulgaria,2012,1.92
Intentional homicide,Bulgaria,2013,1.5
Intentional homicide,Bulgaria,2014,1.55
Intentional homicide,Bulgaria,2015,1.75
Intentional homicide,Bulgaria,2016,1.1
Intentional homicide,Bulgaria,2017,1.34
Intentional homicide,Bulgaria,2018,1.3
Intentional homicide,Bulgaria,2019,1.16
Intentional homicide,Bulgaria,2020,0.96
Intentional homicide,Bulgaria,2021,1.29
Intentional homicide,Bulgaria,2022,1.11
Intentional homicide,Switzerland,2008,0.71
Intentional homicide,Switzerland,2009,0.66
Intentional homicide,Switzerland,2010,0.68
Intentional homicide,Switzerland,2011,0.58
Intentional homicide,Switzerland,2012,0.57
Intentional homicide,Switzerland,2013,0.71
Intentional homicide,Switzerland,2014,0.5
Intentional homicide,Switzerland,2015,0.69
Intentional homicide,Switzerland,2016,0.54
Intentional homicide,Switzerland,2017,0.53
Intentional homicide,Switzerland,2018,0.59
Intentional homicide,Switzerland,2019,0.54
Intentional homicide,Switzerland,2020,0.55
Intentional homicide,Switzerland,2021,0.48
Intentional homicide,Switzerland,2022,0.48
Intentional homicide,Cyprus,2008,1.16
Intentional homicide,Cyprus,2009,2.38
Intentional homicide,Cyprus,2010,0.85
Intentional homicide,Cyprus,2011,0.95
Intentional homicide,Cyprus,2012,2.2
