sex,citizen,geo,TIME_PERIOD,OBS_VALUE
Females,EU27 countries (from 2020) except reporting country,Austria,2014,149.5
Females,EU27 countries (from 2020) except reporting country,Austria,2015,154.5
Females,EU27 countries (from 2020) except reporting country,Austria,2016,170.6
Females,EU27 countries (from 2020) except reporting country,Austria,2017,179.3
Females,EU27 countries (from 2020) except reporting country,Austria,2018,189.1
Females,EU27 countries (from 2020) except reporting country,Austria,2019,205.4
Females,EU27 countries (from 2020) except reporting country,Austria,2020,219.3
Females,EU27 countries (from 2020) except reporting country,Austria,2021,213.5
Females,EU27 countries (from 2020) except reporting country,Austria,2022,236.8
Females,EU27 countries (from 2020) except reporting country,Austria,2023,245.1
Females,EU27 countries (from 2020) except reporting country,Belgium,2014,143.0
Females,EU27 countries (from 2020) except reporting country,Belgium,2015,150.4
Females,EU27 countries (from 2020) except reporting country,Belgium,2016,150.7
Females,EU27 countries (from 2020) except reporting country,Belgium,2017,167.1
Females,EU27 countries (from 2020) except reporting country,Belgium,2018,170.4
Females,EU27 countries (from 2020) except reporting country,Belgium,2019,181.5
Females,EU27 countries (from 2020) except reporting country,Belgium,2020,178.4
Females,EU27 countries (from 2020) except reporting country,Belgium,2021,185.1
Females,EU27 countries (from 2020) except reporting country,Belgium,2022,206.2
Females,EU27 countries (from 2020) except reporting country,Belgium,2023,204.0
Females,EU27 countries (from 2020) except reporting country,Switzerland,2014,310.9
Females,EU27 countries (from 2020) except reporting country,Switzerland,2015,325.2
Females,EU27 countries (from 2020) except reporting country,Switzerland,2016,338.5
Females,EU27 countries (from 2020) except reporting country,Switzerland,2017,339.3
Females,EU27 countries (from 2020) except reporting country,Switzerland,2018,351.5
Females,EU27 countries (from 2020) except reporting country,Switzerland,2019,361.4
Females,EU27 countries (from 2020) except reporting country,Switzerland,2020,365.3
Females,EU27 countries (from 2020) except reporting country,Switzerland,2021,363.0
Females,EU27 countries (from 2020) except reporting country,Switzerland,2022,373.1
Females,EU27 countries (from 2020) except reporting country,Switzerland,2023,397.6
Females,EU27 countries (from 2020) except reporting country,Cyprus,2014,16.1
Females,EU27 countries (from 2020) except reporting country,Cyprus,2015,17.0
Females,EU27 countries (from 2020) except reporting country,Cyprus,2016,18.8
Females,EU27 countries (from 2020) except reporting country,Cyprus,2017,19.7
Females,EU27 countries (from 2020) except reporting country,Cyprus,2018,19.7
Females,EU27 countries (from 2020) except reporting country,Cyprus,2019,23.8
Females,EU27 countries (from 2020) except reporting country,Cyprus,2020,22.4
Females,EU27 countries (from 2020) except reporting country,Cyprus,2021,20.7
Females,EU27 countries (from 2020) except reporting country,Cyprus,2022,23.5
Females,EU27 countries (from 2020) except reporting country,Cyprus,2023,26.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2014,19.4
Females,EU27 countries (from 2020) except reporting country,Czechia,2015,19.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2016,20.2
Females,EU27 countries (from 2020) except reporting country,Czechia,2017,27.4
Females,EU27 countries (from 2020) except reporting country,Czechia,2018,23.8
Females,EU27 countries (from 2020) except reporting country,Czechia,2019,27.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2020,30.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2021,29.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2022,28.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2023,31.5
Females,EU27 countries (from 2020) except reporting country,Germany,2014,753.2
Females,EU27 countries (from 2020) except reporting country,Germany,2015,826.3
Females,EU27 countries (from 2020) except reporting country,Germany,2016,936.9
Females,EU27 countries (from 2020) except reporting country,Germany,2017,976.9
Females,EU27 countries (from 2020) except reporting country,Germany,2018,1056.3
Females,EU27 countries (from 2020) except reporting country,Germany,2019,1109.7
Females,EU27 countries (from 2020) except reporting country,Germany,2020,1061.2
Females,EU27 countries (from 2020) except reporting country,Germany,2021,1054.6
Females,EU27 countries (from 2020) except reporting country,Germany,2022,1195.1
Females,EU27 countries (from 2020) except reporting country,Germany,2023,1200.4
Females,EU27 countries (from 2020) except reporting country,Denmark,2014,30.1
Females,EU27 countries (from 2020) except reporting country,Denmark,2015,30.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2016,30.4
Females,EU27 countries (from 2020) except reporting country,Denmark,2017,29.1
Females,EU27 countries (from 2020) except reporting country,Denmark,2018,33.1
Females,EU27 countries (from 2020) except reporting country,Denmark,2019,35.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2020,35.3
Females,EU27 countries (from 2020) except reporting country,Denmark,2021,35.9
Females,EU27 countries (from 2020) except reporting country,Denmark,2022,35.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2023,38.7
Females,EU27 countries (from 2020) except reporting country,Estonia,2014,1.5
Females,EU27 countries (from 2020) except reporting country,Estonia,2017,2.1
Females,EU27 countries (from 2020) except reporting country,Estonia,2018,2.4
Females,EU27 countries (from 2020) except reporting country,Estonia,2019,2.3
Females,EU27 countries (from 2020) except reporting country,Estonia,2020,2.3
Females,EU27 countries (from 2020) except reporting country,Estonia,2021,1.4
Females,EU27 countries (from 2020) except reporting country,Estonia,2022,1.3
Females,EU27 countries (from 2020) except reporting country,Greece,2014,26.9
Females,EU27 countries (from 2020) except reporting country,Greece,2015,23.2
Females,EU27 countries (from 2020) except reporting country,Greece,2016,20.4
Females,EU27 countries (from 2020) except reporting country,Greece,2017,18.9
Females,EU27 countries (from 2020) except reporting country,Greece,2018,17.4
Females,EU27 countries (from 2020) except reporting country,Greece,2019,16.5
Females,EU27 countries (from 2020) except reporting country,Greece,2020,18.1
Females,EU27 countries (from 2020) except reporting country,Greece,2021,12.9
Females,EU27 countries (from 2020) except reporting country,Greece,2022,10.1
Females,EU27 countries (from 2020) except reporting country,Greece,2023,8.9
Females,EU27 countries (from 2020) except reporting country,Spain,2014,325.9
Females,EU27 countries (from 2020) except reporting country,Spain,2015,325.6
Females,EU27 countries (from 2020) except reporting country,Spain,2016,341.6
Females,EU27 countries (from 2020) except reporting country,Spain,2017,355.5
Females,EU27 countries (from 2020) except reporting country,Spain,2018,372.3
Females,EU27 countries (from 2020) except reporting country,Spain,2019,409.3
Females,EU27 countries (from 2020) except reporting country,Spain,2020,374.3
Females,EU27 countries (from 2020) except reporting country,Spain,2021,334.7
Females,EU27 countries (from 2020) except reporting country,Spain,2022,360.1
Females,EU27 countries (from 2020) except reporting country,Spain,2023,399.0
Females,EU27 countries (from 2020) except reporting country,Finland,2014,15.0
Females,EU27 countries (from 2020) except reporting country,Finland,2015,16.9
Females,EU27 countries (from 2020) except reporting country,Finland,2016,16.9
Females,EU27 countries (from 2020) except reporting country,Finland,2017,16.2
Females,EU27 countries (from 2020) except reporting country,Finland,2018,15.3
Females,EU27 countries (from 2020) except reporting country,Finland,2019,16.9
Females,EU27 countries (from 2020) except reporting country,Finland,2020,17.5
Females,EU27 countries (from 2020) except reporting country,Finland,2021,21.4
Females,EU27 countries (from 2020) except reporting country,Finland,2022,25.7
Females,EU27 countries (from 2020) except reporting country,Finland,2023,28.7
Females,EU27 countries (from 2020) except reporting country,France,2014,265.6
Females,EU27 countries (from 2020) except reporting country,France,2015,243.9
Females,EU27 countries (from 2020) except reporting country,France,2016,277.9
Females,EU27 countries (from 2020) except reporting country,France,2017,285.7
Females,EU27 countries (from 2020) except reporting country,France,2018,293.2
Females,EU27 countries (from 2020) except reporting country,France,2019,282.5
Females,EU27 countries (from 2020) except reporting country,France,2020,268.7
Females,EU27 countries (from 2020) except reporting country,France,2021,277.7
Females,EU27 countries (from 2020) except reporting country,France,2022,300.4
Females,EU27 countries (from 2020) except reporting country,France,2023,304.1
Females,EU27 countries (from 2020) except reporting country,Croatia,2018,2.0
Females,EU27 countries (from 2020) except reporting country,Croatia,2019,2.2
Females,EU27 countries (from 2020) except reporting country,Hungary,2014,6.9
Females,EU27 countries (from 2020) except reporting country,Hungary,2015,6.1
Females,EU27 countries (from 2020) except reporting country,Hungary,2016,6.2
Females,EU27 countries (from 2020) except reporting country,Hungary,2017,3.9
Females,EU27 countries (from 2020) except reporting country,Hungary,2018,6.3
Females,EU27 countries (from 2020) except reporting country,Hungary,2019,8.2
Females,EU27 countries (from 2020) except reporting country,Hungary,2020,8.3
Females,EU27 countries (from 2020) except reporting country,Hungary,2021,9.0
Females,EU27 countries (from 2020) except reporting country,Hungary,2022,8.8
Females,EU27 countries (from 2020) except reporting country,Hungary,2023,7.3
Females,EU27 countries (from 2020) except reporting country,Ireland,2014,82.2
Females,EU27 countries (from 2020) except reporting country,Ireland,2015,84.3
Females,EU27 countries (from 2020) except reporting country,Ireland,2016,90.6
Females,EU27 countries (from 2020) except reporting country,Ireland,2017,96.3
Females,EU27 countries (from 2020) except reporting country,Ireland,2018,102.2
Females,EU27 countries (from 2020) except reporting country,Ireland,2019,104.9
Females,EU27 countries (from 2020) except reporting country,Ireland,2020,101.9
Females,EU27 countries (from 2020) except reporting country,Ireland,2021,101.0
Females,EU27 countries (from 2020) except reporting country,Ireland,2022,110.5
Females,EU27 countries (from 2020) except reporting country,Ireland,2023,117.8
Females,EU27 countries (from 2020) except reporting country,Iceland,2014,3.8
Females,EU27 countries (from 2020) except reporting country,Iceland,2015,3.0
Females,EU27 countries (from 2020) except reporting country,Iceland,2016,3.4
Females,EU27 countries (from 2020) except reporting country,Iceland,2017,3.2
Females,EU27 countries (from 2020) except reporting country,Iceland,2018,3.0
Females,EU27 countries (from 2020) except reporting country,Iceland,2019,3.5
Females,EU27 countries (from 2020) except reporting country,Iceland,2020,4.0
Females,EU27 countries (from 2020) except reporting country,Iceland,2021,5.3
Females,EU27 countries (from 2020) except reporting country,Iceland,2022,7.7
Females,EU27 countries (from 2020) except reporting country,Iceland,2023,8.5
Females,EU27 countries (from 2020) except reporting country,Italy,2014,396.5
Females,EU27 countries (from 2020) except reporting country,Italy,2015,412.9
Females,EU27 countries (from 2020) except reporting country,Italy,2016,427.3
Females,EU27 countries (from 2020) except reporting country,Italy,2017,422.8
Females,EU27 countries (from 2020) except reporting country,Italy,2018,393.9
Females,EU27 countries (from 2020) except reporting country,Italy,2019,394.3
Females,EU27 countries (from 2020) except reporting country,Italy,2020,350.6
Females,EU27 countries (from 2020) except reporting country,Italy,2021,361.9
