domain,isced11,geo,OBS_VALUE
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,5.7
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,4.7
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2.8
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,6.8
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,3.5
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,3.6
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,4.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,7.0
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,4.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,4.2
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,2.8
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,6.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",France,4.1
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Croatia,3.1
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,4.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,4.8
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,5.2
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,3.4
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,4.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,4.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,4.4
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,4.5
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,4.2
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,4.9
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,5.6
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,6.8
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,4.1
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,2.8
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,5.6
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,3.5
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,6.6
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,2.4
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,3.5
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,5.5
Legal system,"Less than primary, primary and lower secondary education (levels 0-2)",United Kingdom,4.9
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,5.9
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,4.9
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,2.9
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,6.8
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,3.5
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,3.7
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,5.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,7.5
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,5.0
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,4.0
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,3.2
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,6.9
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,4.4
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,3.2
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,5.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,5.0
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,5.7
