citizen,geo,TIME_PERIOD,OBS_VALUE
EU27 countries (from 2020) except reporting country,Albania,2021,3454.0
EU27 countries (from 2020) except reporting country,Austria,2015,17608.0
EU27 countries (from 2020) except reporting country,Austria,2016,18004.0
EU27 countries (from 2020) except reporting country,Austria,2017,20465.0
EU27 countries (from 2020) except reporting country,Austria,2018,20823.0
EU27 countries (from 2020) except reporting country,Austria,2019,21977.0
EU27 countries (from 2020) except reporting country,Austria,2020,22009.0
EU27 countries (from 2020) except reporting country,Austria,2021,22707.0
EU27 countries (from 2020) except reporting country,Austria,2022,24061.0
EU27 countries (from 2020) except reporting country,Austria,2023,28099.0
EU27 countries (from 2020) except reporting country,Belgium,2015,20003.0
EU27 countries (from 2020) except reporting country,Belgium,2016,20033.0
EU27 countries (from 2020) except reporting country,Belgium,2017,20439.0
EU27 countries (from 2020) except reporting country,Belgium,2018,20915.0
EU27 countries (from 2020) except reporting country,Belgium,2019,21928.0
EU27 countries (from 2020) except reporting country,Belgium,2020,23812.0
EU27 countries (from 2020) except reporting country,Belgium,2021,23694.0
EU27 countries (from 2020) except reporting country,Belgium,2022,25395.0
EU27 countries (from 2020) except reporting country,Belgium,2023,26767.0
EU27 countries (from 2020) except reporting country,Belgium,2024,28485.0
EU27 countries (from 2020) except reporting country,Bulgaria,2021,3399.0
EU27 countries (from 2020) except reporting country,Switzerland,2015,39740.0
EU27 countries (from 2020) except reporting country,Switzerland,2016,45192.0
EU27 countries (from 2020) except reporting country,Switzerland,2017,44162.0
EU27 countries (from 2020) except reporting country,Switzerland,2018,42911.0
EU27 countries (from 2020) except reporting country,Switzerland,2019,43063.0
EU27 countries (from 2020) except reporting country,Switzerland,2020,44447.0
EU27 countries (from 2020) except reporting country,Switzerland,2021,45592.0
EU27 countries (from 2020) except reporting country,Switzerland,2022,46717.0
EU27 countries (from 2020) except reporting country,Switzerland,2023,52820.0
EU27 countries (from 2020) except reporting country,Cyprus,2015,10487.0
EU27 countries (from 2020) except reporting country,Cyprus,2016,10667.0
EU27 countries (from 2020) except reporting country,Cyprus,2017,11208.0
EU27 countries (from 2020) except reporting country,Cyprus,2018,12891.0
EU27 countries (from 2020) except reporting country,Cyprus,2019,12887.0
EU27 countries (from 2020) except reporting country,Cyprus,2020,13865.0
EU27 countries (from 2020) except reporting country,Cyprus,2021,13554.0
EU27 countries (from 2020) except reporting country,Cyprus,2022,15056.0
EU27 countries (from 2020) except reporting country,Cyprus,2023,15751.0
EU27 countries (from 2020) except reporting country,Cyprus,2024,17365.0
EU27 countries (from 2020) except reporting country,Czechia,2015,8018.0
EU27 countries (from 2020) except reporting country,Czechia,2016,8610.0
EU27 countries (from 2020) except reporting country,Czechia,2017,9786.0
EU27 countries (from 2020) except reporting country,Czechia,2018,11179.0
EU27 countries (from 2020) except reporting country,Czechia,2019,12293.0
EU27 countries (from 2020) except reporting country,Czechia,2020,12795.0
EU27 countries (from 2020) except reporting country,Czechia,2021,10235.0
EU27 countries (from 2020) except reporting country,Czechia,2022,11481.0
EU27 countries (from 2020) except reporting country,Czechia,2023,16338.0
EU27 countries (from 2020) except reporting country,Czechia,2024,17149.0
EU27 countries (from 2020) except reporting country,Germany,2015,21156.0
EU27 countries (from 2020) except reporting country,Germany,2016,20467.0
EU27 countries (from 2020) except reporting country,Germany,2017,21915.0
EU27 countries (from 2020) except reporting country,Germany,2018,21673.0
EU27 countries (from 2020) except reporting country,Germany,2019,25288.0
EU27 countries (from 2020) except reporting country,Germany,2020,22833.0
EU27 countries (from 2020) except reporting country,Germany,2021,21817.0
EU27 countries (from 2020) except reporting country,Germany,2022,21693.0
EU27 countries (from 2020) except reporting country,Germany,2023,23627.0
EU27 countries (from 2020) except reporting country,Germany,2024,24200.0
EU27 countries (from 2020) except reporting country,Denmark,2015,23533.0
EU27 countries (from 2020) except reporting country,Denmark,2016,24587.0
EU27 countries (from 2020) except reporting country,Denmark,2017,27148.0
EU27 countries (from 2020) except reporting country,Denmark,2018,26493.0
EU27 countries (from 2020) except reporting country,Denmark,2019,27881.0
EU27 countries (from 2020) except reporting country,Denmark,2020,29812.0
EU27 countries (from 2020) except reporting country,Denmark,2021,30195.0
EU27 countries (from 2020) except reporting country,Denmark,2022,31505.0
EU27 countries (from 2020) except reporting country,Denmark,2023,32973.0
EU27 countries (from 2020) except reporting country,Denmark,2024,33185.0
EU27 countries (from 2020) except reporting country,Estonia,2015,6978.0
EU27 countries (from 2020) except reporting country,Estonia,2016,7482.0
EU27 countries (from 2020) except reporting country,Estonia,2017,8966.0
EU27 countries (from 2020) except reporting country,Estonia,2018,10782.0
EU27 countries (from 2020) except reporting country,Estonia,2019,12404.0
EU27 countries (from 2020) except reporting country,Estonia,2020,12513.0
EU27 countries (from 2020) except reporting country,Estonia,2021,12847.0
EU27 countries (from 2020) except reporting country,Estonia,2022,16034.0
EU27 countries (from 2020) except reporting country,Estonia,2023,14853.0
EU27 countries (from 2020) except reporting country,Estonia,2024,17318.0
EU27 countries (from 2020) except reporting country,Greece,2015,5850.0
EU27 countries (from 2020) except reporting country,Greece,2016,6261.0
EU27 countries (from 2020) except reporting country,Greece,2017,6376.0
EU27 countries (from 2020) except reporting country,Greece,2018,7200.0
EU27 countries (from 2020) except reporting country,Greece,2019,8051.0
EU27 countries (from 2020) except reporting country,Greece,2020,7386.0
EU27 countries (from 2020) except reporting country,Greece,2021,7583.0
EU27 countries (from 2020) except reporting country,Greece,2022,9273.0
EU27 countries (from 2020) except reporting country,Greece,2023,10190.0
EU27 countries (from 2020) except reporting country,Spain,2015,11058.0
EU27 countries (from 2020) except reporting country,Spain,2016,8843.0
EU27 countries (from 2020) except reporting country,Spain,2017,11257.0
EU27 countries (from 2020) except reporting country,Spain,2018,9661.0
EU27 countries (from 2020) except reporting country,Spain,2019,9897.0
EU27 countries (from 2020) except reporting country,Spain,2020,12610.0
EU27 countries (from 2020) except reporting country,Spain,2021,13150.0
