geo,TIME_PERIOD,OBS_VALUE
Austria,2014,455
Austria,2015,560
Austria,2016,460
Austria,2017,740
Austria,2018,400
Austria,2019,770
Austria,2020,310
Austria,2021,555
Austria,2022,575
Austria,2023,680
Belgium,2014,1535
Belgium,2015,1640
Belgium,2016,1530
Belgium,2017,2440
Belgium,2018,2200
Belgium,2019,2300
Belgium,2020,770
Belgium,2021,1140
Belgium,2022,1720
Belgium,2023,1805
Bulgaria,2014,2315
Bulgaria,2015,2405
Bulgaria,2016,2170
Bulgaria,2017,2870
Bulgaria,2018,3220
Bulgaria,2019,4245
Bulgaria,2020,4685
Bulgaria,2021,6180
Bulgaria,2022,7955
Bulgaria,2023,7230
Switzerland,2014,920
Switzerland,2015,945
Switzerland,2016,900
Switzerland,2017,1225
Switzerland,2018,1205
Switzerland,2019,1165
Switzerland,2020,1305
Switzerland,2021,2100
Switzerland,2022,1630
Switzerland,2023,1295
Cyprus,2014,425
Cyprus,2015,415
Cyprus,2016,565
Cyprus,2017,1425
Cyprus,2018,2025
Cyprus,2019,900
Cyprus,2020,360
Cyprus,2021,440
Cyprus,2022,425
Cyprus,2023,465
Czechia,2014,330
Czechia,2015,465
Czechia,2016,365
Czechia,2017,230
Czechia,2018,315
Czechia,2019,460
Czechia,2020,440
Czechia,2021,340
Czechia,2022,290
Czechia,2023,405
Germany,2014,3605
Germany,2015,3670
Germany,2016,3775
Germany,2017,4250
Germany,2018,5175
Germany,2019,6730
Germany,2020,4210
Germany,2021,4635
Germany,2022,5970
Germany,2023,5820
Denmark,2014,85
Denmark,2015,125
Denmark,2016,120
Denmark,2017,300
Denmark,2018,325
Denmark,2019,650
Denmark,2020,480
Denmark,2021,640
Denmark,2022,535
Denmark,2023,510
Estonia,2014,695
Estonia,2015,965
Estonia,2016,875
Estonia,2017,1175
Estonia,2018,1635
Estonia,2019,2120
Estonia,2020,500
Estonia,2021,565
Estonia,2022,5465
Estonia,2023,5855
Greece,2014,6445
Greece,2015,6890
Greece,2016,18145
Greece,2017,21175
Greece,2018,14295
Greece,2019,7015
Greece,2020,3145
Greece,2021,3075
Greece,2022,5450
Greece,2023,7270
Spain,2014,172185
Spain,2015,168345
Spain,2016,192135
Spain,2017,203025
Spain,2018,230540
Spain,2019,493455
Spain,2020,3515
Spain,2021,2545
Spain,2022,7250
Spain,2023,7250
Finland,2014,1590
Finland,2015,1070
Finland,2016,950
Finland,2017,1400
Finland,2018,1760
Finland,2019,1775
Finland,2020,1735
Finland,2021,1180
Finland,2022,3985
Finland,2023,2225
France,2014,11030
France,2015,10860
France,2016,8580
France,2017,10215
France,2018,9515
France,2019,9880
France,2020,4240
France,2021,8210
France,2022,9180
France,2023,9650
Croatia,2014,8645
Croatia,2015,9355
Croatia,2016,9135
Croatia,2017,10015
Croatia,2018,13240
Croatia,2019,13025
Croatia,2020,14710
Croatia,2021,14190
Croatia,2022,11800
Croatia,2023,10900
Hungary,2014,13325
Hungary,2015,11505
Hungary,2016,9905
Hungary,2017,14010
Hungary,2018,15050
Hungary,2019,14240
Hungary,2020,36500
Hungary,2021,34650
Hungary,2022,15780
Hungary,2023,12575
Ireland,2014,2475
Ireland,2015,3450
Ireland,2016,3950
Ireland,2017,3745
Ireland,2018,4795
Ireland,2019,7455
Ireland,2020,2790
Ireland,2021,3725
Ireland,2022,9240
Ireland,2023,7405
Iceland,2014,15
Iceland,2015,20
Iceland,2016,25
Iceland,2017,55
Iceland,2018,160
Iceland,2019,25
Iceland,2020,15
Iceland,2021,55
Italy,2014,7005
Italy,2015,7425
Italy,2016,9715
Italy,2017,11260
Italy,2018,8245
Italy,2019,9720
Italy,2020,4060
Italy,2021,5760
Italy,2022,5795
Italy,2023,6295
Liechtenstein,2014,10
Liechtenstein,2015,0
Liechtenstein,2016,0
Liechtenstein,2017,0
Liechtenstein,2018,0
Liechtenstein,2019,0
Liechtenstein,2020,0
Liechtenstein,2021,0
Liechtenstein,2022,0
Liechtenstein,2023,0
Lithuania,2014,3450
Lithuania,2015,3480
Lithuania,2016,4575
Lithuania,2017,5180
Lithuania,2018,5200
Lithuania,2019,6085
Lithuania,2020,4555
Lithuania,2021,3585
Lithuania,2022,5240
Lithuania,2023,4255
Luxembourg,2014,5
Luxembourg,2015,5
Luxembourg,2016,10
Luxembourg,2017,5
Luxembourg,2018,5
Luxembourg,2019,5
Luxembourg,2020,5
Luxembourg,2021,5
Luxembourg,2022,10
Luxembourg,2023,10
Latvia,2014,2050
Latvia,2015,875
Latvia,2016,800
Latvia,2017,1065
Latvia,2018,1685
Latvia,2019,1800
Latvia,2020,640
Latvia,2021,855
Latvia,2022,2260
Latvia,2023,3625
Montenegro,2021,815
Montenegro,2022,805
Montenegro,2023,520
Malta,2014,275
Malta,2015,400
Malta,2016,380
Malta,2017,460
Malta,2018,405
Malta,2019,385
Malta,2020,110
Malta,2021,265
Malta,2022,350
Malta,2023,365
Netherlands,2014,2310
Netherlands,2015,2295
Netherlands,2016,2700
Netherlands,2017,2410
Netherlands,2018,2555
Netherlands,2019,2900
Netherlands,2020,1980
Netherlands,2021,3745
Netherlands,2022,3070
Netherlands,2023,2475
Norway,2014,250
Norway,2015,465
Norway,2016,525
Norway,2017,385
Norway,2018,360
Norway,2019,350
Norway,2020,125
Norway,2021,1975
Norway,2022,495
Norway,2023,320
Poland,2014,20125
Poland,2015,30245
Poland,2016,34485
Poland,2017,38660
Poland,2018,53695
Poland,2019,65425
Poland,2020,28130
Poland,2021,26160
Poland,2022,23330
Poland,2023,14850
Portugal,2014,955
Portugal,2015,1280
Portugal,2016,1655
Portugal,2017,2140
Portugal,2018,3760
Portugal,2019,4995
Portugal,2020,1510
Portugal,2021,1150
Portugal,2022,1750
Portugal,2023,1560
Romania,2014,4045
Romania,2015,4810
Romania,2016,5390
Romania,2017,5305
Romania,2018,7260
Romania,2019,7640
Romania,2020,12570
Romania,2021,11010
Romania,2022,8945
Romania,2023,7155
Sweden,2014,345
Sweden,2015,615
Sweden,2016,1405
Sweden,2017,880
Sweden,2018,1090
Sweden,2019,1565
Sweden,2020,1200
Sweden,2021,550
Sweden,2022,905
Sweden,2023,905
Slovenia,2014,4410
Slovenia,2015,4410
Slovenia,2016,4455
Slovenia,2017,3680
Slovenia,2018,3535
Slovenia,2019,3875
Slovenia,2020,4260
Slovenia,2021,3905
Slovenia,2022,4025
Slovenia,2023,735
Slovakia,2014,455
Slovakia,2015,465
Slovakia,2016,750
Slovakia,2017,1085
Slovakia,2018,1755
Slovakia,2019,1375
Slovakia,2020,435
Slovakia,2021,465
Slovakia,2022,1110
Slovakia,2023,985
United Kingdom,2014,15905
United Kingdom,2015,14950
United Kingdom,2016,14480
United Kingdom,2017,14280
United Kingdom,2018,16540
United Kingdom,2019,18275
