c_birth,sex,geo,TIME_PERIOD,OBS_VALUE
EU27 countries (from 2020) except reporting country,Females,Austria,2022,52.9
EU27 countries (from 2020) except reporting country,Females,Austria,2024,52.7
EU27 countries (from 2020) except reporting country,Females,Belgium,2022,51.6
EU27 countries (from 2020) except reporting country,Females,Belgium,2024,51.6
EU27 countries (from 2020) except reporting country,Females,Bulgaria,2022,46.9
EU27 countries (from 2020) except reporting country,Females,Bulgaria,2024,45.5
EU27 countries (from 2020) except reporting country,Females,Switzerland,2022,49.4
EU27 countries (from 2020) except reporting country,Females,Switzerland,2024,49.0
EU27 countries (from 2020) except reporting country,Females,Cyprus,2022,54.1
EU27 countries (from 2020) except reporting country,Females,Cyprus,2024,50.2
EU27 countries (from 2020) except reporting country,Females,Czechia,2022,45.3
EU27 countries (from 2020) except reporting country,Females,Czechia,2024,51.1
EU27 countries (from 2020) except reporting country,Females,Germany,2022,51.9
EU27 countries (from 2020) except reporting country,Females,Germany,2024,51.8
EU27 countries (from 2020) except reporting country,Females,Denmark,2022,48.1
EU27 countries (from 2020) except reporting country,Females,Denmark,2024,47.9
EU27 countries (from 2020) except reporting country,Females,Estonia,2022,42.3
EU27 countries (from 2020) except reporting country,Females,Estonia,2024,42.1
EU27 countries (from 2020) except reporting country,Females,Greece,2022,60.7
EU27 countries (from 2020) except reporting country,Females,Greece,2023,60.8
EU27 countries (from 2020) except reporting country,Females,Greece,2024,60.8
EU27 countries (from 2020) except reporting country,Females,Spain,2022,50.4
EU27 countries (from 2020) except reporting country,Females,Spain,2024,51.0
EU27 countries (from 2020) except reporting country,Females,Finland,2022,45.8
EU27 countries (from 2020) except reporting country,Females,Finland,2023,45.8
EU27 countries (from 2020) except reporting country,Females,Finland,2024,45.6
EU27 countries (from 2020) except reporting country,Females,France,2021,53.1
EU27 countries (from 2020) except reporting country,Females,France,2022,53.1
EU27 countries (from 2020) except reporting country,Females,France,2024,53.4
EU27 countries (from 2020) except reporting country,Females,Croatia,2022,54.5
EU27 countries (from 2020) except reporting country,Females,Croatia,2024,53.8
EU27 countries (from 2020) except reporting country,Females,Hungary,2022,51.1
EU27 countries (from 2020) except reporting country,Females,Hungary,2024,51.0
EU27 countries (from 2020) except reporting country,Females,Ireland,2022,50.7
EU27 countries (from 2020) except reporting country,Females,Ireland,2024,50.4
EU27 countries (from 2020) except reporting country,Females,Iceland,2022,43.1
EU27 countries (from 2020) except reporting country,Females,Iceland,2024,43.2
EU27 countries (from 2020) except reporting country,Females,Italy,2022,61.2
EU27 countries (from 2020) except reporting country,Females,Italy,2024,61.0
EU27 countries (from 2020) except reporting country,Females,Liechtenstein,2022,53.3
EU27 countries (from 2020) except reporting country,Females,Liechtenstein,2024,53.0
EU27 countries (from 2020) except reporting country,Females,Lithuania,2022,52.5
EU27 countries (from 2020) except reporting country,Females,Luxembourg,2022,48.3
EU27 countries (from 2020) except reporting country,Females,Luxembourg,2024,48.4
EU27 countries (from 2020) except reporting country,Females,Latvia,2022,55.5
EU27 countries (from 2020) except reporting country,Females,Latvia,2024,55.6
EU27 countries (from 2020) except reporting country,Females,Malta,2022,42.0
EU27 countries (from 2020) except reporting country,Females,Malta,2024,43.5
EU27 countries (from 2020) except reporting country,Females,Netherlands,2022,52.3
EU27 countries (from 2020) except reporting country,Females,Netherlands,2024,51.8
EU27 countries (from 2020) except reporting country,Females,Norway,2022,43.4
EU27 countries (from 2020) except reporting country,Females,Norway,2023,43.6
EU27 countries (from 2020) except reporting country,Females,Norway,2024,43.7
EU27 countries (from 2020) except reporting country,Females,Poland,2022,52.1
EU27 countries (from 2020) except reporting country,Females,Poland,2023,52.3
EU27 countries (from 2020) except reporting country,Females,Poland,2024,52.5
EU27 countries (from 2020) except reporting country,Females,Portugal,2022,51.4
EU27 countries (from 2020) except reporting country,Females,Portugal,2023,50.4
EU27 countries (from 2020) except reporting country,Females,Portugal,2024,50.5
EU27 countries (from 2020) except reporting country,Females,Romania,2022,48.2
EU27 countries (from 2020) except reporting country,Females,Romania,2024,48.3
EU27 countries (from 2020) except reporting country,Females,Sweden,2022,52.0
EU27 countries (from 2020) except reporting country,Females,Sweden,2024,51.4
EU27 countries (from 2020) except reporting country,Females,Slovenia,2022,50.8
EU27 countries (from 2020) except reporting country,Females,Slovenia,2024,51.2
EU27 countries (from 2020) except reporting country,Females,Slovakia,2022,51.9
EU27 countries (from 2020) except reporting country,Females,Slovakia,2024,51.7
EU27 countries (from 2020) except reporting country,Females,Türkiye,2024,53.9
EU27 countries (from 2020) except reporting country,Males,Austria,2022,47.1
EU27 countries (from 2020) except reporting country,Males,Austria,2024,47.3
EU27 countries (from 2020) except reporting country,Males,Belgium,2022,48.4
EU27 countries (from 2020) except reporting country,Males,Belgium,2024,48.4
EU27 countries (from 2020) except reporting country,Males,Bulgaria,2022,53.1
EU27 countries (from 2020) except reporting country,Males,Bulgaria,2024,54.5
EU27 countries (from 2020) except reporting country,Males,Switzerland,2022,50.6
EU27 countries (from 2020) except reporting country,Males,Switzerland,2024,51.0
EU27 countries (from 2020) except reporting country,Males,Cyprus,2022,45.9
EU27 countries (from 2020) except reporting country,Males,Cyprus,2024,49.8
EU27 countries (from 2020) except reporting country,Males,Czechia,2022,54.7
EU27 countries (from 2020) except reporting country,Males,Czechia,2024,48.9
EU27 countries (from 2020) except reporting country,Males,Germany,2022,48.1
EU27 countries (from 2020) except reporting country,Males,Germany,2024,48.2
EU27 countries (from 2020) except reporting country,Males,Denmark,2022,51.9
EU27 countries (from 2020) except reporting country,Males,Denmark,2024,52.1
EU27 countries (from 2020) except reporting country,Males,Estonia,2022,57.7
EU27 countries (from 2020) except reporting country,Males,Estonia,2024,57.9
EU27 countries (from 2020) except reporting country,Males,Greece,2022,39.3
EU27 countries (from 2020) except reporting country,Males,Greece,2023,39.2
EU27 countries (from 2020) except reporting country,Males,Greece,2024,39.2
EU27 countries (from 2020) except reporting country,Males,Spain,2022,49.6
EU27 countries (from 2020) except reporting country,Males,Spain,2024,49.0
EU27 countries (from 2020) except reporting country,Males,Finland,2022,54.2
EU27 countries (from 2020) except reporting country,Males,Finland,2023,54.2
EU27 countries (from 2020) except reporting country,Males,Finland,2024,54.4
EU27 countries (from 2020) except reporting country,Males,France,2021,46.9
EU27 countries (from 2020) except reporting country,Males,France,2022,46.9
EU27 countries (from 2020) except reporting country,Males,France,2024,46.6
EU27 countries (from 2020) except reporting country,Males,Croatia,2022,45.5
EU27 countries (from 2020) except reporting country,Males,Croatia,2024,46.2
EU27 countries (from 2020) except reporting country,Males,Hungary,2022,48.9
