citizen,lev_perc,geo,TIME_PERIOD,OBS_VALUE
EU27 countries (from 2020) except reporting country,Bad,Albania,2021,0.0
EU27 countries (from 2020) except reporting country,Bad,Austria,2015,3.7
EU27 countries (from 2020) except reporting country,Bad,Austria,2016,5.2
EU27 countries (from 2020) except reporting country,Bad,Austria,2017,3.8
EU27 countries (from 2020) except reporting country,Bad,Austria,2018,5.7
EU27 countries (from 2020) except reporting country,Bad,Austria,2019,6.1
EU27 countries (from 2020) except reporting country,Bad,Austria,2020,6.3
EU27 countries (from 2020) except reporting country,Bad,Austria,2021,3.7
EU27 countries (from 2020) except reporting country,Bad,Austria,2022,4.5
EU27 countries (from 2020) except reporting country,Bad,Austria,2023,4.8
EU27 countries (from 2020) except reporting country,Bad,Belgium,2015,11.5
EU27 countries (from 2020) except reporting country,Bad,Belgium,2016,10.1
EU27 countries (from 2020) except reporting country,Bad,Belgium,2017,7.1
EU27 countries (from 2020) except reporting country,Bad,Belgium,2018,7.3
EU27 countries (from 2020) except reporting country,Bad,Belgium,2019,7.2
EU27 countries (from 2020) except reporting country,Bad,Belgium,2020,6.3
EU27 countries (from 2020) except reporting country,Bad,Belgium,2021,7.4
EU27 countries (from 2020) except reporting country,Bad,Belgium,2022,5.5
EU27 countries (from 2020) except reporting country,Bad,Belgium,2023,6.0
EU27 countries (from 2020) except reporting country,Bad,Belgium,2024,6.3
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2015,22.3
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2016,3.9
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2017,4.9
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2018,8.2
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2021,4.1
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2022,14.0
EU27 countries (from 2020) except reporting country,Bad,Bulgaria,2024,10.5
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2015,4.6
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2016,5.0
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2017,2.5
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2018,4.7
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2019,4.4
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2020,4.1
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2021,3.6
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2022,4.8
EU27 countries (from 2020) except reporting country,Bad,Switzerland,2023,4.1
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2015,2.1
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2016,1.7
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2017,2.0
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2018,3.1
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2019,2.1
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2020,3.7
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2021,1.1
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2022,1.9
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2023,2.1
EU27 countries (from 2020) except reporting country,Bad,Cyprus,2024,1.0
EU27 countries (from 2020) except reporting country,Bad,Czechia,2015,1.4
EU27 countries (from 2020) except reporting country,Bad,Czechia,2016,5.7
EU27 countries (from 2020) except reporting country,Bad,Czechia,2017,4.6
EU27 countries (from 2020) except reporting country,Bad,Czechia,2018,3.7
EU27 countries (from 2020) except reporting country,Bad,Czechia,2019,2.1
EU27 countries (from 2020) except reporting country,Bad,Czechia,2020,3.1
EU27 countries (from 2020) except reporting country,Bad,Czechia,2021,10.0
EU27 countries (from 2020) except reporting country,Bad,Czechia,2022,10.9
EU27 countries (from 2020) except reporting country,Bad,Czechia,2023,2.6
EU27 countries (from 2020) except reporting country,Bad,Czechia,2024,2.9
EU27 countries (from 2020) except reporting country,Bad,Germany,2015,6.5
EU27 countries (from 2020) except reporting country,Bad,Germany,2016,6.2
EU27 countries (from 2020) except reporting country,Bad,Germany,2017,4.7
EU27 countries (from 2020) except reporting country,Bad,Germany,2018,4.8
EU27 countries (from 2020) except reporting country,Bad,Germany,2019,6.0
EU27 countries (from 2020) except reporting country,Bad,Germany,2020,6.6
EU27 countries (from 2020) except reporting country,Bad,Germany,2021,6.8
EU27 countries (from 2020) except reporting country,Bad,Germany,2022,6.0
EU27 countries (from 2020) except reporting country,Bad,Germany,2023,5.4
EU27 countries (from 2020) except reporting country,Bad,Germany,2024,6.7
EU27 countries (from 2020) except reporting country,Bad,Denmark,2015,5.1
EU27 countries (from 2020) except reporting country,Bad,Denmark,2016,8.6
EU27 countries (from 2020) except reporting country,Bad,Denmark,2017,2.6
EU27 countries (from 2020) except reporting country,Bad,Denmark,2018,12.0
EU27 countries (from 2020) except reporting country,Bad,Denmark,2019,3.6
EU27 countries (from 2020) except reporting country,Bad,Denmark,2020,3.9
EU27 countries (from 2020) except reporting country,Bad,Denmark,2021,4.5
EU27 countries (from 2020) except reporting country,Bad,Denmark,2022,8.4
EU27 countries (from 2020) except reporting country,Bad,Denmark,2023,6.3
EU27 countries (from 2020) except reporting country,Bad,Denmark,2024,5.1
EU27 countries (from 2020) except reporting country,Bad,Estonia,2015,20.9
EU27 countries (from 2020) except reporting country,Bad,Estonia,2016,1.9
EU27 countries (from 2020) except reporting country,Bad,Estonia,2017,20.1
EU27 countries (from 2020) except reporting country,Bad,Estonia,2018,12.3
EU27 countries (from 2020) except reporting country,Bad,Estonia,2019,5.6
EU27 countries (from 2020) except reporting country,Bad,Estonia,2020,1.7
EU27 countries (from 2020) except reporting country,Bad,Estonia,2021,7.9
EU27 countries (from 2020) except reporting country,Bad,Estonia,2022,2.6
EU27 countries (from 2020) except reporting country,Bad,Estonia,2023,4.9
EU27 countries (from 2020) except reporting country,Bad,Estonia,2024,7.9
EU27 countries (from 2020) except reporting country,Bad,Greece,2015,3.2
EU27 countries (from 2020) except reporting country,Bad,Greece,2016,2.8
EU27 countries (from 2020) except reporting country,Bad,Greece,2017,3.2
EU27 countries (from 2020) except reporting country,Bad,Greece,2018,2.6
EU27 countries (from 2020) except reporting country,Bad,Greece,2019,0.5
EU27 countries (from 2020) except reporting country,Bad,Greece,2020,2.9
EU27 countries (from 2020) except reporting country,Bad,Greece,2021,3.2
EU27 countries (from 2020) except reporting country,Bad,Greece,2022,3.7
EU27 countries (from 2020) except reporting country,Bad,Greece,2023,3.1
EU27 countries (from 2020) except reporting country,Bad,Spain,2015,4.2
EU27 countries (from 2020) except reporting country,Bad,Spain,2016,6.9
EU27 countries (from 2020) except reporting country,Bad,Spain,2017,5.2
EU27 countries (from 2020) except reporting country,Bad,Spain,2018,5.0
EU27 countries (from 2020) except reporting country,Bad,Spain,2019,3.7
EU27 countries (from 2020) except reporting country,Bad,Spain,2020,4.1
EU27 countries (from 2020) except reporting country,Bad,Spain,2021,4.3
EU27 countries (from 2020) except reporting country,Bad,Spain,2022,4.0
EU27 countries (from 2020) except reporting country,Bad,Spain,2023,4.0
EU27 countries (from 2020) except reporting country,Bad,Spain,2024,4.6
EU27 countries (from 2020) except reporting country,Bad,Finland,2015,6.4
EU27 countries (from 2020) except reporting country,Bad,Finland,2016,2.9
EU27 countries (from 2020) except reporting country,Bad,Finland,2017,7.3
EU27 countries (from 2020) except reporting country,Bad,Finland,2018,4.5
EU27 countries (from 2020) except reporting country,Bad,Finland,2019,4.9
EU27 countries (from 2020) except reporting country,Bad,Finland,2020,6.2
EU27 countries (from 2020) except reporting country,Bad,Finland,2021,8.2
EU27 countries (from 2020) except reporting country,Bad,Finland,2022,6.6
EU27 countries (from 2020) except reporting country,Bad,Finland,2023,4.3
EU27 countries (from 2020) except reporting country,Bad,Finland,2024,3.0
EU27 countries (from 2020) except reporting country,Bad,France,2015,13.8
EU27 countries (from 2020) except reporting country,Bad,France,2016,16.3
EU27 countries (from 2020) except reporting country,Bad,France,2017,11.5
EU27 countries (from 2020) except reporting country,Bad,France,2018,11.1
EU27 countries (from 2020) except reporting country,Bad,France,2019,13.2
EU27 countries (from 2020) except reporting country,Bad,France,2020,10.3
EU27 countries (from 2020) except reporting country,Bad,France,2021,9.3
EU27 countries (from 2020) except reporting country,Bad,France,2022,10.2
EU27 countries (from 2020) except reporting country,Bad,France,2023,11.5
EU27 countries (from 2020) except reporting country,Bad,Croatia,2015,13.0
EU27 countries (from 2020) except reporting country,Bad,Croatia,2016,6.9
EU27 countries (from 2020) except reporting country,Bad,Croatia,2017,12.6
EU27 countries (from 2020) except reporting country,Bad,Croatia,2018,22.5
EU27 countries (from 2020) except reporting country,Bad,Croatia,2019,10.3
EU27 countries (from 2020) except reporting country,Bad,Croatia,2020,12.3
EU27 countries (from 2020) except reporting country,Bad,Croatia,2021,12.5
EU27 countries (from 2020) except reporting country,Bad,Croatia,2022,5.7
EU27 countries (from 2020) except reporting country,Bad,Croatia,2023,3.6
EU27 countries (from 2020) except reporting country,Bad,Hungary,2015,3.1
EU27 countries (from 2020) except reporting country,Bad,Hungary,2016,5.1
EU27 countries (from 2020) except reporting country,Bad,Hungary,2017,6.2
EU27 countries (from 2020) except reporting country,Bad,Hungary,2018,2.1
EU27 countries (from 2020) except reporting country,Bad,Hungary,2019,7.3
EU27 countries (from 2020) except reporting country,Bad,Hungary,2020,4.6
EU27 countries (from 2020) except reporting country,Bad,Hungary,2021,8.8
EU27 countries (from 2020) except reporting country,Bad,Hungary,2022,6.9
EU27 countries (from 2020) except reporting country,Bad,Hungary,2023,10.0
EU27 countries (from 2020) except reporting country,Bad,Hungary,2024,1.9
EU27 countries (from 2020) except reporting country,Bad,Ireland,2015,1.5
EU27 countries (from 2020) except reporting country,Bad,Ireland,2016,1.3
EU27 countries (from 2020) except reporting country,Bad,Ireland,2017,1.1
EU27 countries (from 2020) except reporting country,Bad,Ireland,2018,2.0
EU27 countries (from 2020) except reporting country,Bad,Ireland,2019,2.6
EU27 countries (from 2020) except reporting country,Bad,Ireland,2020,1.9
EU27 countries (from 2020) except reporting country,Bad,Ireland,2021,4.2
EU27 countries (from 2020) except reporting country,Bad,Ireland,2022,0.1
EU27 countries (from 2020) except reporting country,Bad,Ireland,2023,2.1
EU27 countries (from 2020) except reporting country,Bad,Iceland,2015,0.7
EU27 countries (from 2020) except reporting country,Bad,Iceland,2016,6.2
EU27 countries (from 2020) except reporting country,Bad,Iceland,2017,2.4
