DATAFLOW,LAST UPDATE,freq,unit,indic_il,citizen,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2017,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2018,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2019,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2020,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2021,3454,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2015,17608,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2016,18004,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2017,20465,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2018,20823,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2019,21977,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2020,22009,,
