DATAFLOW,LAST UPDATE,freq,reason,apprehen,citizen,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Austria,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Austria,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Belgium,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Belgium,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Belgium,2023,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Bulgaria,2021,880,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Bulgaria,2022,5645,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Bulgaria,2023,3795,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2020,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2023,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Cyprus,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Cyprus,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Cyprus,2023,5670,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Czechia,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Czechia,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Czechia,2023,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Germany,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Germany,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Germany,2023,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Denmark,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Denmark,2022,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Denmark,2023,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Estonia,2021,0,,
ESTAT:MIGR_EIPRE$DEFAULTVIEW(1.0),,Annual,Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Estonia,2022,5,,
