DATAFLOW,LAST UPDATE,freq,border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2014,455,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2015,560,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2016,460,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2017,740,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2018,400,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2019,770,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2020,310,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2021,555,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2022,575,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Austria,2023,680,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2014,1535,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2015,1640,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2016,1530,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2017,2440,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2018,2200,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2019,2300,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2020,770,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2021,1140,,
ESTAT:MIGR_EIRFS$DEFAULTVIEW(1.0),,Annual,Total,Person,Total,Total,Belgium,2022,1720,,
