DATAFLOW,LAST UPDATE,freq,reason,citizen,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2012,37816,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2013,34308,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2014,40062,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2015,51282,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2016,50066,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2017,55968,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2018,46521,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2019,39865,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2020,34759,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2021,47892,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2022,55258,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Austria,2023,62890,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2012,48484,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2013,43861,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2014,45513,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2015,52565,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2016,58216,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2017,59827,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2018,59624,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2019,60312,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2020,47640,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2021,63504,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2022,68522,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Belgium,2023,74366,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2012,6418,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2013,6436,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2014,8795,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2015,9595,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2016,7942,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2017,10958,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2018,11864,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2019,13500,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2020,10267,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2021,11784,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2022,15839,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Bulgaria,2023,19375,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2012,44764,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2013,49238,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2014,43252,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2015,41105,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2016,42021,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2017,42179,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2018,43726,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2019,31004,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2021,45012,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2022,50919,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Switzerland,2023,50680,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2012,11715,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2013,11455,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2014,13841,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2015,15569,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2016,16970,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2017,18971,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2018,20990,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2019,23325,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2020,16910,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2021,22190,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2022,38917,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Cyprus,2023,34694,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2012,42122,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2013,45544,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2014,35458,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2015,68804,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2016,80068,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2017,57721,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2018,71201,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2019,117069,,
ESTAT:TPS00170(1.0),03/03/25 11:00:00,Annual,Total,Total,Total,Person,Czechia,2020,54332,,
