STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1986,,32107,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1987,,33856,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1988,,34940,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1989,,36624,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1990,,36708,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1991,,39706,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1992,,43635,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1993,,45559,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1994,,48401,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1995,,47589,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1996,,46967,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1997,,47283,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1998,,47789,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,1999,,48114,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2000,,47862,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2001,,47507,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2002,,47642,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2003,,48089,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2004,,52415,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2005,,56289.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2006,,57441.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2007,,59595.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2008,,61044.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2009,,61902.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2010,,61122.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2011,,56163,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2012,,56163,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2013,,54801,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AD,Andorra,2019,,55262,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2002,,1930245,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2003,,1936273,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2004,,1939914,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2005,,1944314.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AL,Albania,2006,,1948463.0,,,,,
