STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,citizen,Country of citizenship,age,Age class,wstatus,Labour force and employment status,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2014,,244.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2015,,253.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2016,,282.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2017,,293.7,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2018,,311.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2019,,321.0,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2020,,329.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2021,,331.7,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2022,,382.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2023,,403.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,AT,Austria,2024,,424.9,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BA,Bosnia and Herzegovina,2021,,1.4,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BA,Bosnia and Herzegovina,2022,,0.7,,u,low reliability,,
