unit,coicop,geo,TIME_PERIOD,OBS_VALUE
Annual average index,All-items HICP,Albania,2016,101.51
Annual average index,All-items HICP,Albania,2017,104.76
Annual average index,All-items HICP,Albania,2018,106.59
Annual average index,All-items HICP,Albania,2019,108.39
Annual average index,All-items HICP,Albania,2020,110.74
Annual average index,All-items HICP,Albania,2021,113.26
Annual average index,All-items HICP,Albania,2022,120.69
Annual average index,All-items HICP,Albania,2023,127.13
Annual average index,All-items HICP,Albania,2024,130.38
Annual average index,All-items HICP,Austria,2013,97.77
Annual average index,All-items HICP,Austria,2014,99.2
Annual average index,All-items HICP,Austria,2015,100.0
Annual average index,All-items HICP,Austria,2016,100.97
Annual average index,All-items HICP,Austria,2017,103.22
Annual average index,All-items HICP,Austria,2018,105.41
Annual average index,All-items HICP,Austria,2019,106.98
Annual average index,All-items HICP,Austria,2020,108.47
Annual average index,All-items HICP,Austria,2021,111.46
Annual average index,All-items HICP,Austria,2022,121.07
Annual average index,All-items HICP,Austria,2023,130.4
Annual average index,All-items HICP,Austria,2024,134.21
Annual average index,All-items HICP,Belgium,2013,98.9
Annual average index,All-items HICP,Belgium,2014,99.38
Annual average index,All-items HICP,Belgium,2015,100.0
Annual average index,All-items HICP,Belgium,2016,101.77
Annual average index,All-items HICP,Belgium,2017,104.03
Annual average index,All-items HICP,Belgium,2018,106.44
Annual average index,All-items HICP,Belgium,2019,107.77
Annual average index,All-items HICP,Belgium,2020,108.23
Annual average index,All-items HICP,Belgium,2021,111.71
Annual average index,All-items HICP,Belgium,2022,123.26
Annual average index,All-items HICP,Belgium,2023,126.07
Annual average index,All-items HICP,Belgium,2024,131.52
Annual average index,All-items HICP,Bulgaria,2013,102.72
Annual average index,All-items HICP,Bulgaria,2014,101.08
Annual average index,All-items HICP,Bulgaria,2015,100.0
Annual average index,All-items HICP,Bulgaria,2016,98.68
Annual average index,All-items HICP,Bulgaria,2017,99.85
Annual average index,All-items HICP,Bulgaria,2018,102.48
Annual average index,All-items HICP,Bulgaria,2019,104.99
Annual average index,All-items HICP,Bulgaria,2020,106.27
Annual average index,All-items HICP,Bulgaria,2021,109.3
Annual average index,All-items HICP,Bulgaria,2022,123.52
Annual average index,All-items HICP,Bulgaria,2023,134.15
Annual average index,All-items HICP,Bulgaria,2024,137.63
Annual average index,All-items HICP,Switzerland,2013,100.83
Annual average index,All-items HICP,Switzerland,2014,100.84
Annual average index,All-items HICP,Switzerland,2015,100.0
Annual average index,All-items HICP,Switzerland,2016,99.47
Annual average index,All-items HICP,Switzerland,2017,100.11
Annual average index,All-items HICP,Switzerland,2018,101.03
Annual average index,All-items HICP,Switzerland,2019,101.41
