indic_de,geo,TIME_PERIOD,OBS_VALUE
Population on 1 January - total,Andorra,2003,67159
Population on 1 January - total,Andorra,2004,72320
Population on 1 January - total,Andorra,2005,76875
Population on 1 January - total,Andorra,2006,78549
Population on 1 January - total,Andorra,2007,81222
Population on 1 January - total,Andorra,2008,83137
Population on 1 January - total,Andorra,2009,84484
Population on 1 January - total,Andorra,2010,84082
Population on 1 January - total,Andorra,2011,78115
Population on 1 January - total,Andorra,2012,78115
Population on 1 January - total,Andorra,2013,76246
Population on 1 January - total,Andorra,2016,71732
Population on 1 January - total,Andorra,2018,74794
Population on 1 January - total,Andorra,2019,76177
Population on 1 January - total,Andorra,2020,77543
Population on 1 January - total,Andorra,2022,79535
Population on 1 January - total,Andorra,2023,81588
Population on 1 January - total,Andorra,2024,85101
Population on 1 January - total,Albania,2003,3044993
Population on 1 January - total,Albania,2004,3034231
Population on 1 January - total,Albania,2005,3019634
Population on 1 January - total,Albania,2006,3003329
Population on 1 January - total,Albania,2007,2981755
Population on 1 January - total,Albania,2008,2958266
Population on 1 January - total,Albania,2009,2936355
Population on 1 January - total,Albania,2010,2918674
Population on 1 January - total,Albania,2011,2907361
Population on 1 January - total,Albania,2012,2903008
Population on 1 January - total,Albania,2013,2897770
Population on 1 January - total,Albania,2014,2892394
Population on 1 January - total,Albania,2015,2885796
Population on 1 January - total,Albania,2016,2875592
Population on 1 January - total,Albania,2017,2876591
Population on 1 January - total,Albania,2018,2870324
Population on 1 January - total,Albania,2019,2862427
Population on 1 January - total,Albania,2020,2845955
Population on 1 January - total,Albania,2021,2829741
Population on 1 January - total,Albania,2022,2793592
Population on 1 January - total,Albania,2023,2761785
Population on 1 January - total,Armenia,2003,3210300
Population on 1 January - total,Armenia,2004,3212200
Population on 1 January - total,Armenia,2005,3215800
Population on 1 January - total,Armenia,2006,3219234
Population on 1 January - total,Armenia,2007,3222953
Population on 1 January - total,Armenia,2008,3230086
Population on 1 January - total,Armenia,2009,3237976
Population on 1 January - total,Armenia,2010,3249482
Population on 1 January - total,Armenia,2011,3262650
Population on 1 January - total,Armenia,2012,3274285
Population on 1 January - total,Armenia,2013,3026878
Population on 1 January - total,Armenia,2014,3017079
Population on 1 January - total,Armenia,2015,3010598
Population on 1 January - total,Armenia,2016,2998577
Population on 1 January - total,Armenia,2017,2986151
Population on 1 January - total,Armenia,2018,2972732
Population on 1 January - total,Armenia,2019,2965269
Population on 1 January - total,Armenia,2020,2959694
Population on 1 January - total,Armenia,2021,2963251
Population on 1 January - total,Armenia,2023,2977130
Population on 1 January - total,Armenia,2024,2991201
Population on 1 January - total,Austria,2003,8100273
Population on 1 January - total,Austria,2004,8142573
Population on 1 January - total,Austria,2005,8201359
Population on 1 January - total,Austria,2006,8254298
Population on 1 January - total,Austria,2007,8282984
Population on 1 January - total,Austria,2008,8307989
Population on 1 January - total,Austria,2009,8335003
Population on 1 January - total,Austria,2010,8351643
Population on 1 January - total,Austria,2011,8375164
Population on 1 January - total,Austria,2012,8408121
Population on 1 January - total,Austria,2013,8451860
Population on 1 January - total,Austria,2014,8507786
Population on 1 January - total,Austria,2015,8584926
Population on 1 January - total,Austria,2016,8700471
Population on 1 January - total,Austria,2017,8772865
Population on 1 January - total,Austria,2018,8822267
Population on 1 January - total,Austria,2019,8858775
Population on 1 January - total,Austria,2020,8901064
Population on 1 January - total,Austria,2021,8932664
Population on 1 January - total,Austria,2022,8978929
Population on 1 January - total,Austria,2023,9104772
Population on 1 January - total,Austria,2024,9158750
Population on 1 January - total,Azerbaijan,2003,8202500
Population on 1 January - total,Azerbaijan,2004,8265700
Population on 1 January - total,Azerbaijan,2005,8347300
Population on 1 January - total,Azerbaijan,2006,8436400
Population on 1 January - total,Azerbaijan,2007,8532700
Population on 1 January - total,Azerbaijan,2008,8629900
Population on 1 January - total,Azerbaijan,2009,8896900
Population on 1 January - total,Azerbaijan,2010,8997586
Population on 1 January - total,Azerbaijan,2011,9111078
Population on 1 January - total,Azerbaijan,2012,9235085
Population on 1 January - total,Azerbaijan,2013,9356483
Population on 1 January - total,Azerbaijan,2014,9477119
Population on 1 January - total,Azerbaijan,2015,9593038
Population on 1 January - total,Azerbaijan,2016,9705643
Population on 1 January - total,Azerbaijan,2017,9809981
Population on 1 January - total,Azerbaijan,2018,9898085
Population on 1 January - total,Azerbaijan,2019,9981457
Population on 1 January - total,Azerbaijan,2020,10067108
Population on 1 January - total,Azerbaijan,2021,10119133
Population on 1 January - total,Azerbaijan,2022,10156366
Population on 1 January - total,Azerbaijan,2023,10127145
Population on 1 January - total,Azerbaijan,2024,10180770
Population on 1 January - total,Bosnia and Herzegovina,2003,3830349
