iccs,unit,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,Number,Albania,2008,88.0
Intentional homicide,Number,Albania,2009,82.0
Intentional homicide,Number,Albania,2010,118.0
Intentional homicide,Number,Albania,2011,124.0
Intentional homicide,Number,Albania,2012,125.0
Intentional homicide,Number,Albania,2013,107.0
Intentional homicide,Number,Albania,2014,98.0
Intentional homicide,Number,Albania,2015,54.0
Intentional homicide,Number,Albania,2016,71.0
Intentional homicide,Number,Albania,2017,52.0
Intentional homicide,Number,Albania,2018,51.0
Intentional homicide,Number,Albania,2019,58.0
Intentional homicide,Number,Albania,2020,52.0
Intentional homicide,Number,Albania,2021,61.0
Intentional homicide,Number,Albania,2022,42.0
Intentional homicide,Number,Austria,2008,58.0
Intentional homicide,Number,Austria,2009,51.0
Intentional homicide,Number,Austria,2010,61.0
Intentional homicide,Number,Austria,2011,80.0
Intentional homicide,Number,Austria,2012,88.0
Intentional homicide,Number,Austria,2013,63.0
Intentional homicide,Number,Austria,2014,43.0
Intentional homicide,Number,Austria,2015,42.0
Intentional homicide,Number,Austria,2016,49.0
Intentional homicide,Number,Austria,2017,61.0
Intentional homicide,Number,Austria,2018,73.0
Intentional homicide,Number,Austria,2019,74.0
Intentional homicide,Number,Austria,2020,54.0
Intentional homicide,Number,Austria,2021,59.0
Intentional homicide,Number,Austria,2022,65.0
Intentional homicide,Number,Bosnia and Herzegovina,2008,66.0
Intentional homicide,Number,Bosnia and Herzegovina,2009,67.0
Intentional homicide,Number,Bosnia and Herzegovina,2010,54.0
Intentional homicide,Number,Bosnia and Herzegovina,2011,49.0
Intentional homicide,Number,Bosnia and Herzegovina,2012,60.0
Intentional homicide,Number,Bosnia and Herzegovina,2013,46.0
Intentional homicide,Number,Bosnia and Herzegovina,2014,49.0
Intentional homicide,Number,Bosnia and Herzegovina,2015,56.0
Intentional homicide,Number,Bosnia and Herzegovina,2016,42.0
Intentional homicide,Number,Bosnia and Herzegovina,2017,34.0
Intentional homicide,Number,Bosnia and Herzegovina,2018,36.0
Intentional homicide,Number,Bosnia and Herzegovina,2019,37.0
