unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2014,149.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2015,154.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2016,170.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2017,179.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2018,189.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2019,205.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2020,219.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2021,213.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2022,236.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Austria,2023,245.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,2021,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,2022,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2014,143.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2015,150.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2016,150.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2017,167.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2018,170.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2019,181.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2020,178.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2021,185.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2022,206.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Belgium,2023,204.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2016,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2017,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2018,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2019,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2020,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2021,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2022,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Bulgaria,2023,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2014,310.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2015,325.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2016,338.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2017,339.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2018,351.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2019,361.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2020,365.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2021,363.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2022,373.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Switzerland,2023,397.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2014,16.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2015,17.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2016,18.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2017,19.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2018,19.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2019,23.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2020,22.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2021,20.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2022,23.5
