hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE
Single person,Total,Percentage,Albania,2017,71.5
Single person,Total,Percentage,Albania,2018,66.5
Single person,Total,Percentage,Albania,2019,65.1
Single person,Total,Percentage,Albania,2020,58.6
Single person,Total,Percentage,Albania,2021,58.3
Single person,Total,Percentage,Austria,2015,30.0
Single person,Total,Percentage,Austria,2016,31.0
Single person,Total,Percentage,Austria,2017,30.1
Single person,Total,Percentage,Austria,2018,28.5
Single person,Total,Percentage,Austria,2019,26.1
Single person,Total,Percentage,Austria,2020,23.8
Single person,Total,Percentage,Austria,2021,23.1
Single person,Total,Percentage,Austria,2022,26.8
Single person,Total,Percentage,Austria,2023,30.2
Single person,Total,Percentage,Belgium,2015,33.5
Single person,Total,Percentage,Belgium,2016,33.5
Single person,Total,Percentage,Belgium,2017,33.6
Single person,Total,Percentage,Belgium,2018,33.8
Single person,Total,Percentage,Belgium,2019,33.2
Single person,Total,Percentage,Belgium,2020,31.8
Single person,Total,Percentage,Belgium,2021,31.2
Single person,Total,Percentage,Belgium,2022,32.2
Single person,Total,Percentage,Belgium,2023,29.6
Single person,Total,Percentage,Belgium,2024,28.2
Single person,Total,Percentage,Bulgaria,2015,80.9
Single person,Total,Percentage,Bulgaria,2016,80.0
Single person,Total,Percentage,Bulgaria,2017,78.4
Single person,Total,Percentage,Bulgaria,2018,74.8
Single person,Total,Percentage,Bulgaria,2019,72.9
Single person,Total,Percentage,Bulgaria,2020,71.3
Single person,Total,Percentage,Bulgaria,2021,64.2
Single person,Total,Percentage,Bulgaria,2022,61.3
Single person,Total,Percentage,Bulgaria,2023,64.8
Single person,Total,Percentage,Bulgaria,2024,60.4
Single person,Total,Percentage,Switzerland,2015,23.7
Single person,Total,Percentage,Switzerland,2016,22.8
Single person,Total,Percentage,Switzerland,2017,22.5
Single person,Total,Percentage,Switzerland,2018,23.2
Single person,Total,Percentage,Switzerland,2019,22.9
Single person,Total,Percentage,Switzerland,2020,22.3
Single person,Total,Percentage,Switzerland,2021,22.1
Single person,Total,Percentage,Switzerland,2022,21.1
Single person,Total,Percentage,Switzerland,2023,20.6
Single person,Total,Percentage,Cyprus,2015,63.4
Single person,Total,Percentage,Cyprus,2016,61.6
Single person,Total,Percentage,Cyprus,2017,52.8
Single person,Total,Percentage,Cyprus,2018,47.8
Single person,Total,Percentage,Cyprus,2019,46.8
Single person,Total,Percentage,Cyprus,2020,41.4
Single person,Total,Percentage,Cyprus,2021,40.2
Single person,Total,Percentage,Cyprus,2022,43.2
Single person,Total,Percentage,Cyprus,2023,42.4
Single person,Total,Percentage,Cyprus,2024,40.2
Single person,Total,Percentage,Czechia,2015,49.5
Single person,Total,Percentage,Czechia,2016,45.5
Single person,Total,Percentage,Czechia,2017,42.7
Single person,Total,Percentage,Czechia,2018,36.0
Single person,Total,Percentage,Czechia,2019,31.8
Single person,Total,Percentage,Czechia,2020,30.5
Single person,Total,Percentage,Czechia,2021,28.0
Single person,Total,Percentage,Czechia,2022,28.6
Single person,Total,Percentage,Czechia,2023,29.3
Single person,Total,Percentage,Czechia,2024,26.4
Single person,Total,Percentage,Germany,2015,43.8
Single person,Total,Percentage,Germany,2016,42.6
Single person,Total,Percentage,Germany,2017,40.7
Single person,Total,Percentage,Germany,2018,39.7
Single person,Total,Percentage,Germany,2019,37.9
Single person,Total,Percentage,Germany,2020,44.6
Single person,Total,Percentage,Germany,2021,40.1
Single person,Total,Percentage,Germany,2022,40.9
Single person,Total,Percentage,Germany,2023,42.1
Single person,Total,Percentage,Germany,2024,39.9
Single person,Total,Percentage,Denmark,2015,32.9
Single person,Total,Percentage,Denmark,2016,30.8
