unit,indic_il,citizen,sex,age,geo,TIME_PERIOD,OBS_VALUE
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2017,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2018,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2019,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2020,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Albania,2021,3454.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2015,17608.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2016,18004.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2017,20465.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2018,20823.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2019,21977.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2020,22009.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2021,22707.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2022,24061.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2023,28099.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2015,20003.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2016,20033.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2017,20439.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2018,20915.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2019,21928.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2020,23812.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2021,23694.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2022,25395.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2023,26767.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2024,28485.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2015,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2016,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2017,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2018,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2019,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2020,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2021,3399.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2022,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2023,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2024,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2015,39740.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2016,45192.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2017,44162.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2018,42911.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2019,43063.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2020,44447.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2021,45592.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2022,46717.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2023,52820.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2015,10487.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2016,10667.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2017,11208.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2018,12891.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2019,12887.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2020,13865.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2021,13554.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2022,15056.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2023,15751.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2024,17365.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2015,8018.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2016,8610.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2017,9786.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2018,11179.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2019,12293.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2020,12795.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2021,10235.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2022,11481.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2023,16338.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2024,17149.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2015,21156.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2016,20467.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2017,21915.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2018,21673.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2019,25288.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2020,22833.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2021,21817.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2022,21693.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2023,23627.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2024,24200.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2015,23533.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2016,24587.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2017,27148.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2018,26493.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2019,27881.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2020,29812.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2021,30195.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2022,31505.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2023,32973.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2024,33185.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,16957.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,16728.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,18407.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,17899.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,19141.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,20295.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,20302.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2015,16959.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2016,16729.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2017,18410.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2018,17902.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2019,19142.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2020,20298.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2015,16957.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2016,16728.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2017,18407.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2018,17899.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2019,19141.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2020,20295.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2021,20302.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2015,16947.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2016,16721.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2017,18396.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2018,17893.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2019,19134.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2020,20288.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2021,20184.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2022,20704.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2023,22380.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2015,6978.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2016,7482.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2017,8966.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2018,10782.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2019,12404.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2020,12513.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2021,12847.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2022,16034.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2023,14853.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2024,17318.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2015,5850.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2016,6261.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2017,6376.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2018,7200.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2019,8051.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2020,7386.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2021,7583.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2022,9273.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2023,10190.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2015,11058.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2016,8843.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2017,11257.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2018,9661.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2019,9897.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2020,12610.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2021,13150.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2022,12930.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2023,14998.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2024,16683.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,18096.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,18539.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,18605.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,19089.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,19933.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (2007-2013),2015,18104.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (2007-2013),2016,18545.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (2007-2013),2017,18614.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (2007-2013),2018,19094.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (2007-2013),2019,19939.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2015,16972.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2016,16810.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2017,18493.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2018,18043.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2019,19153.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2020,20361.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2021,20144.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2022,20714.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 27 countries (from 2020),2023,22553.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 28 countries (2013-2020),2015,18096.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 28 countries (2013-2020),2016,18539.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 28 countries (2013-2020),2017,18605.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 28 countries (2013-2020),2018,19089.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,European Union - 28 countries (2013-2020),2019,19933.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2015,22417.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2016,20349.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2017,23292.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2018,25382.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2019,22787.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2020,23358.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2021,24327.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2022,22643.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2023,26630.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Finland,2024,29116.0
