reason,apprehen,citizen,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Austria,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Austria,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Belgium,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Belgium,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Belgium,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Bulgaria,2021,880
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Bulgaria,2022,5645
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Bulgaria,2023,3795
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2020,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Switzerland,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Cyprus,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Cyprus,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Cyprus,2023,5670
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Czechia,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Czechia,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Czechia,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Germany,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Germany,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Germany,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Denmark,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Denmark,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Denmark,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Estonia,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Estonia,2022,5
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Estonia,2023,10
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Greece,2021,6035
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Greece,2022,7165
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Greece,2023,7620
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Spain,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Spain,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Spain,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,European Union - 27 countries (from 2020),2023,121010
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Finland,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Finland,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Finland,2023,15
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,France,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Croatia,2021,1160
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Croatia,2022,11680
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Croatia,2023,12160
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Hungary,2021,61295
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Hungary,2022,132595
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Hungary,2023,90310
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Ireland,2019,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Ireland,2020,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Ireland,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Ireland,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Ireland,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Iceland,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Italy,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Italy,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Italy,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Liechtenstein,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Liechtenstein,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Liechtenstein,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Lithuania,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Lithuania,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Lithuania,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Luxembourg,2021,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Luxembourg,2022,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Luxembourg,2023,0
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Latvia,2021,50
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Latvia,2022,240
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Latvia,2023,10
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Montenegro,2021,5
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Montenegro,2022,15
Illegal entry,Between border crossing points - at land,Total,Total,Total,Person,Montenegro,2023,10
