border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE
Total,Person,Total,Total,Austria,2014,455
Total,Person,Total,Total,Austria,2015,560
Total,Person,Total,Total,Austria,2016,460
Total,Person,Total,Total,Austria,2017,740
Total,Person,Total,Total,Austria,2018,400
Total,Person,Total,Total,Austria,2019,770
Total,Person,Total,Total,Austria,2020,310
Total,Person,Total,Total,Austria,2021,555
Total,Person,Total,Total,Austria,2022,575
Total,Person,Total,Total,Austria,2023,680
Total,Person,Total,Total,Belgium,2014,1535
Total,Person,Total,Total,Belgium,2015,1640
Total,Person,Total,Total,Belgium,2016,1530
Total,Person,Total,Total,Belgium,2017,2440
Total,Person,Total,Total,Belgium,2018,2200
Total,Person,Total,Total,Belgium,2019,2300
Total,Person,Total,Total,Belgium,2020,770
Total,Person,Total,Total,Belgium,2021,1140
Total,Person,Total,Total,Belgium,2022,1720
Total,Person,Total,Total,Belgium,2023,1805
Total,Person,Total,Total,Bulgaria,2014,2315
Total,Person,Total,Total,Bulgaria,2015,2405
Total,Person,Total,Total,Bulgaria,2016,2170
Total,Person,Total,Total,Bulgaria,2017,2870
Total,Person,Total,Total,Bulgaria,2018,3220
Total,Person,Total,Total,Bulgaria,2019,4245
Total,Person,Total,Total,Bulgaria,2020,4685
Total,Person,Total,Total,Bulgaria,2021,6180
Total,Person,Total,Total,Bulgaria,2022,7955
Total,Person,Total,Total,Bulgaria,2023,7230
Total,Person,Total,Total,Switzerland,2014,920
Total,Person,Total,Total,Switzerland,2015,945
Total,Person,Total,Total,Switzerland,2016,900
Total,Person,Total,Total,Switzerland,2017,1225
Total,Person,Total,Total,Switzerland,2018,1205
Total,Person,Total,Total,Switzerland,2019,1165
Total,Person,Total,Total,Switzerland,2020,1305
Total,Person,Total,Total,Switzerland,2021,2100
Total,Person,Total,Total,Switzerland,2022,1630
Total,Person,Total,Total,Switzerland,2023,1295
Total,Person,Total,Total,Cyprus,2014,425
Total,Person,Total,Total,Cyprus,2015,415
Total,Person,Total,Total,Cyprus,2016,565
Total,Person,Total,Total,Cyprus,2017,1425
Total,Person,Total,Total,Cyprus,2018,2025
Total,Person,Total,Total,Cyprus,2019,900
Total,Person,Total,Total,Cyprus,2020,360
Total,Person,Total,Total,Cyprus,2021,440
Total,Person,Total,Total,Cyprus,2022,425
Total,Person,Total,Total,Cyprus,2023,465
Total,Person,Total,Total,Czechia,2014,330
Total,Person,Total,Total,Czechia,2015,465
Total,Person,Total,Total,Czechia,2016,365
Total,Person,Total,Total,Czechia,2017,230
Total,Person,Total,Total,Czechia,2018,315
Total,Person,Total,Total,Czechia,2019,460
Total,Person,Total,Total,Czechia,2020,440
Total,Person,Total,Total,Czechia,2021,340
Total,Person,Total,Total,Czechia,2022,290
Total,Person,Total,Total,Czechia,2023,405
Total,Person,Total,Total,Germany,2014,3605
Total,Person,Total,Total,Germany,2015,3670
Total,Person,Total,Total,Germany,2016,3775
Total,Person,Total,Total,Germany,2017,4250
Total,Person,Total,Total,Germany,2018,5175
Total,Person,Total,Total,Germany,2019,6730
Total,Person,Total,Total,Germany,2020,4210
Total,Person,Total,Total,Germany,2021,4635
Total,Person,Total,Total,Germany,2022,5970
Total,Person,Total,Total,Germany,2023,5820
Total,Person,Total,Total,Denmark,2014,85
Total,Person,Total,Total,Denmark,2015,125
Total,Person,Total,Total,Denmark,2016,120
Total,Person,Total,Total,Denmark,2017,300
Total,Person,Total,Total,Denmark,2018,325
Total,Person,Total,Total,Denmark,2019,650
Total,Person,Total,Total,Denmark,2020,480
Total,Person,Total,Total,Denmark,2021,640
Total,Person,Total,Total,Denmark,2022,535
Total,Person,Total,Total,Denmark,2023,510
Total,Person,Total,Total,Estonia,2014,695
Total,Person,Total,Total,Estonia,2015,965
Total,Person,Total,Total,Estonia,2016,875
Total,Person,Total,Total,Estonia,2017,1175
Total,Person,Total,Total,Estonia,2018,1635
Total,Person,Total,Total,Estonia,2019,2120
Total,Person,Total,Total,Estonia,2020,500
Total,Person,Total,Total,Estonia,2021,565
Total,Person,Total,Total,Estonia,2022,5465
Total,Person,Total,Total,Estonia,2023,5855
Total,Person,Total,Total,Greece,2014,6445
Total,Person,Total,Total,Greece,2015,6890
Total,Person,Total,Total,Greece,2016,18145
Total,Person,Total,Total,Greece,2017,21175
Total,Person,Total,Total,Greece,2018,14295
Total,Person,Total,Total,Greece,2019,7015
Total,Person,Total,Total,Greece,2020,3145
Total,Person,Total,Total,Greece,2021,3075
Total,Person,Total,Total,Greece,2022,5450
Total,Person,Total,Total,Greece,2023,7270
Total,Person,Total,Total,Spain,2014,172185
Total,Person,Total,Total,Spain,2015,168345
Total,Person,Total,Total,Spain,2016,192135
Total,Person,Total,Total,Spain,2017,203025
Total,Person,Total,Total,Spain,2018,230540
Total,Person,Total,Total,Spain,2019,493455
Total,Person,Total,Total,Spain,2020,3515
Total,Person,Total,Total,Spain,2021,2545
Total,Person,Total,Total,Spain,2022,7250
Total,Person,Total,Total,Spain,2023,7250
Total,Person,Total,Total,European Union - 27 countries (from 2020),2014,270565
Total,Person,Total,Total,European Union - 27 countries (from 2020),2015,278025
Total,Person,Total,Total,European Union - 27 countries (from 2020),2016,318990
Total,Person,Total,Total,European Union - 27 countries (from 2020),2017,349150
Total,Person,Total,Total,European Union - 27 countries (from 2020),2018,393685
Total,Person,Total,Total,European Union - 27 countries (from 2020),2019,670795
Total,Person,Total,Total,European Union - 27 countries (from 2020),2020,137840
Total,Person,Total,Total,European Union - 27 countries (from 2020),2021,139520
Total,Person,Total,Total,European Union - 27 countries (from 2020),2022,142420
Total,Person,Total,Total,European Union - 27 countries (from 2020),2023,123260
Total,Person,Total,Total,Finland,2014,1590
Total,Person,Total,Total,Finland,2015,1070
Total,Person,Total,Total,Finland,2016,950
