citizen,unit,geo,TIME_PERIOD,OBS_VALUE
Foreign country,Number,Albania,2013,84.0
Foreign country,Number,Albania,2014,99.0
Foreign country,Number,Albania,2015,89.0
Foreign country,Number,Albania,2016,89.0
Foreign country,Number,Albania,2017,101.0
Foreign country,Number,Albania,2018,90.0
Foreign country,Number,Albania,2019,113.0
Foreign country,Number,Albania,2020,109.0
Foreign country,Number,Albania,2021,114.0
Foreign country,Number,Albania,2022,123.0
Foreign country,Number,Austria,2013,4373.0
Foreign country,Number,Austria,2014,4449.0
Foreign country,Number,Austria,2015,4702.0
Foreign country,Number,Austria,2016,4686.0
Foreign country,Number,Austria,2017,4831.0
Foreign country,Number,Austria,2018,5029.0
Foreign country,Number,Austria,2019,4794.0
Foreign country,Number,Austria,2020,4298.0
Foreign country,Number,Austria,2021,4156.0
Foreign country,Number,Austria,2022,4644.0
Foreign country,Number,Bosnia and Herzegovina,2013,54.0
Foreign country,Number,Bosnia and Herzegovina,2014,46.0
Foreign country,Number,Bosnia and Herzegovina,2015,57.0
Foreign country,Number,Bosnia and Herzegovina,2016,49.0
Foreign country,Number,Bosnia and Herzegovina,2017,32.0
Foreign country,Number,Bosnia and Herzegovina,2018,51.0
Foreign country,Number,Bosnia and Herzegovina,2019,78.0
Foreign country,Number,Bosnia and Herzegovina,2020,174.0
Foreign country,Number,Bosnia and Herzegovina,2021,100.0
Foreign country,Number,Bosnia and Herzegovina,2022,120.0
Foreign country,Number,Belgium,2013,5271.0
Foreign country,Number,Belgium,2015,4812.0
Foreign country,Number,Belgium,2017,4627.0
Foreign country,Number,Belgium,2018,4555.0
Foreign country,Number,Belgium,2019,4771.0
Foreign country,Number,Belgium,2020,4593.0
Foreign country,Number,Belgium,2021,4706.0
Foreign country,Number,Belgium,2022,4730.0
Foreign country,Number,Bulgaria,2013,253.0
Foreign country,Number,Bulgaria,2014,232.0
Foreign country,Number,Bulgaria,2015,242.0
Foreign country,Number,Bulgaria,2016,215.0
Foreign country,Number,Bulgaria,2017,186.0
Foreign country,Number,Bulgaria,2018,161.0
Foreign country,Number,Bulgaria,2019,137.0
Foreign country,Number,Bulgaria,2020,154.0
Foreign country,Number,Bulgaria,2021,159.0
Foreign country,Number,Bulgaria,2022,134.0
Foreign country,Number,Switzerland,2013,4857.0
Foreign country,Number,Switzerland,2014,4673.0
Foreign country,Number,Switzerland,2015,4514.0
Foreign country,Number,Switzerland,2016,4599.0
Foreign country,Number,Switzerland,2017,4615.0
Foreign country,Number,Switzerland,2018,4679.0
Foreign country,Number,Switzerland,2019,4478.0
Foreign country,Number,Switzerland,2020,4340.0
Foreign country,Number,Switzerland,2021,4230.0
Foreign country,Number,Switzerland,2022,4396.0
Foreign country,Number,Cyprus,2013,306.0
Foreign country,Number,Cyprus,2014,239.0
Foreign country,Number,Cyprus,2015,214.0
Foreign country,Number,Cyprus,2016,237.0
Foreign country,Number,Cyprus,2017,151.0
Foreign country,Number,Cyprus,2018,276.0
Foreign country,Number,Cyprus,2019,372.0
Foreign country,Number,Cyprus,2020,260.0
Foreign country,Number,Cyprus,2021,417.0
Foreign country,Number,Cyprus,2022,531.0
Foreign country,Number,Czechia,2013,1523.0
Foreign country,Number,Czechia,2014,1549.0
Foreign country,Number,Czechia,2015,1670.0
Foreign country,Number,Czechia,2016,1807.0
Foreign country,Number,Czechia,2017,1814.0
Foreign country,Number,Czechia,2018,1768.0
Foreign country,Number,Czechia,2019,1794.0
