citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE
European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2022,53.0
European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2023,53.1
European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2024,52.8
European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2022,52.1
European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2023,52.7
European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2024,52.7
European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2022,27.2
European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2023,32.8
European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2024,33.1
European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2022,48.1
European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2023,48.4
European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2024,48.1
European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2022,47.8
European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2023,47.7
European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2024,53.6
European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2022,31.1
European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2023,32.0
European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2024,32.4
European Free Trade Association except reporting country,Total,Percentage,Females,Germany,2022,54.5
European Free Trade Association except reporting country,Total,Percentage,Females,Germany,2023,54.4
European Free Trade Association except reporting country,Total,Percentage,Females,Germany,2024,54.6
European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2022,58.1
European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2023,58.2
European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2024,58.3
European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2022,23.3
European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2023,24.9
European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2024,26.9
European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2022,62.9
European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2023,62.6
European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2024,62.6
European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2022,51.2
European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2023,51.4
European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2024,51.5
European Free Trade Association except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2022,53.4
European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2022,39.1
European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2023,38.9
European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2024,38.9
European Free Trade Association except reporting country,Total,Percentage,Females,France,2021,53.8
European Free Trade Association except reporting country,Total,Percentage,Females,France,2022,54.7
European Free Trade Association except reporting country,Total,Percentage,Females,France,2023,52.7
European Free Trade Association except reporting country,Total,Percentage,Females,France,2024,54.8
European Free Trade Association except reporting country,Total,Percentage,Females,Croatia,2022,45.3
European Free Trade Association except reporting country,Total,Percentage,Females,Croatia,2023,45.4
European Free Trade Association except reporting country,Total,Percentage,Females,Croatia,2024,46.2
European Free Trade Association except reporting country,Total,Percentage,Females,Hungary,2022,55.9
European Free Trade Association except reporting country,Total,Percentage,Females,Hungary,2023,56.1
European Free Trade Association except reporting country,Total,Percentage,Females,Hungary,2024,56.7
European Free Trade Association except reporting country,Total,Percentage,Females,Ireland,2022,51.3
European Free Trade Association except reporting country,Total,Percentage,Females,Ireland,2023,52.1
European Free Trade Association except reporting country,Total,Percentage,Females,Ireland,2024,51.4
European Free Trade Association except reporting country,Total,Percentage,Females,Iceland,2022,54.2
European Free Trade Association except reporting country,Total,Percentage,Females,Iceland,2023,55.3
European Free Trade Association except reporting country,Total,Percentage,Females,Iceland,2024,56.7
European Free Trade Association except reporting country,Total,Percentage,Females,Italy,2022,57.7
European Free Trade Association except reporting country,Total,Percentage,Females,Italy,2023,57.6
European Free Trade Association except reporting country,Total,Percentage,Females,Italy,2024,57.1
European Free Trade Association except reporting country,Total,Percentage,Females,Liechtenstein,2022,48.9
European Free Trade Association except reporting country,Total,Percentage,Females,Liechtenstein,2023,49.0
European Free Trade Association except reporting country,Total,Percentage,Females,Liechtenstein,2024,49.1
European Free Trade Association except reporting country,Total,Percentage,Females,Lithuania,2022,29.1
European Free Trade Association except reporting country,Total,Percentage,Females,Lithuania,2023,27.9
European Free Trade Association except reporting country,Total,Percentage,Females,Luxembourg,2022,48.9
European Free Trade Association except reporting country,Total,Percentage,Females,Luxembourg,2023,48.8
European Free Trade Association except reporting country,Total,Percentage,Females,Luxembourg,2024,48.4
European Free Trade Association except reporting country,Total,Percentage,Females,Latvia,2022,29.0
European Free Trade Association except reporting country,Total,Percentage,Females,Latvia,2023,26.2
European Free Trade Association except reporting country,Total,Percentage,Females,Latvia,2024,28.8
European Free Trade Association except reporting country,Total,Percentage,Females,Malta,2022,38.8
European Free Trade Association except reporting country,Total,Percentage,Females,Malta,2023,41.3
European Free Trade Association except reporting country,Total,Percentage,Females,Malta,2024,42.2
European Free Trade Association except reporting country,Total,Percentage,Females,Netherlands,2022,55.3
European Free Trade Association except reporting country,Total,Percentage,Females,Netherlands,2023,55.5
European Free Trade Association except reporting country,Total,Percentage,Females,Netherlands,2024,55.2
European Free Trade Association except reporting country,Total,Percentage,Females,Norway,2022,49.0
European Free Trade Association except reporting country,Total,Percentage,Females,Norway,2023,48.9
European Free Trade Association except reporting country,Total,Percentage,Females,Norway,2024,48.7
European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2022,47.1
European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2023,46.6
European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2024,46.1
European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2022,46.0
European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2023,46.3
European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2024,45.7
European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2022,34.2
European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2023,70.7
European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2024,55.0
European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2022,50.8
European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2023,50.7
European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2024,50.6
European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2022,43.8
European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2023,43.6
European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2024,45.5
European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2022,36.8
European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2023,39.0
European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2024,38.5
European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2022,47.0
European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2023,46.9
European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2024,47.2
European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2022,47.9
European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2023,47.3
European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2024,47.3
European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2022,72.8
European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2023,67.2
European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2024,66.9
European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2022,51.9
European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2023,51.6
