c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE
European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2022,53.5
European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2024,53.5
European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2022,53.7
European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2024,53.5
European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2022,47.6
European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2024,45.5
European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2022,56.0
European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2024,55.2
European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2022,48.3
European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2024,54.6
European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2022,29.9
European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2024,41.4
European Free Trade Association except reporting country,Total,Percentage,Females,Germany,2024,52.0
European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2022,57.9
European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2024,58.0
European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2022,32.5
European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2024,34.3
European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2022,57.9
European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2023,58.4
European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2024,58.6
European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2022,50.5
European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2024,50.6
European Free Trade Association except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2022,52.6
European Free Trade Association except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2024,52.8
European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2022,43.5
European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2023,43.1
European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2024,42.9
European Free Trade Association except reporting country,Total,Percentage,Females,France,2021,54.2
