indic_de,geo,TIME_PERIOD,OBS_VALUE
Total fertility rate,Albania,2012,1.71
Total fertility rate,Albania,2013,1.73
Total fertility rate,Albania,2014,1.73
Total fertility rate,Albania,2015,1.59
Total fertility rate,Albania,2016,1.54
Total fertility rate,Albania,2017,1.48
Total fertility rate,Albania,2018,1.37
Total fertility rate,Albania,2020,1.34
Total fertility rate,Albania,2021,1.31
Total fertility rate,Albania,2022,1.21
Total fertility rate,Armenia,2015,1.62
Total fertility rate,Armenia,2016,1.62
Total fertility rate,Armenia,2017,1.56
Total fertility rate,Armenia,2018,1.57
Total fertility rate,Armenia,2019,1.6
Total fertility rate,Austria,2012,1.44
Total fertility rate,Austria,2013,1.44
Total fertility rate,Austria,2014,1.46
Total fertility rate,Austria,2015,1.49
Total fertility rate,Austria,2016,1.53
Total fertility rate,Austria,2017,1.52
Total fertility rate,Austria,2018,1.47
Total fertility rate,Austria,2019,1.46
Total fertility rate,Austria,2020,1.44
Total fertility rate,Austria,2021,1.48
Total fertility rate,Austria,2022,1.41
Total fertility rate,Austria,2023,1.32
Total fertility rate,Azerbaijan,2012,2.0
Total fertility rate,Azerbaijan,2013,1.98
Total fertility rate,Azerbaijan,2014,1.97
Total fertility rate,Azerbaijan,2015,1.94
Total fertility rate,Azerbaijan,2016,1.9
Total fertility rate,Azerbaijan,2017,1.75
Total fertility rate,Azerbaijan,2018,1.73
Total fertility rate,Azerbaijan,2019,1.81
Total fertility rate,Belgium,2012,1.8
Total fertility rate,Belgium,2013,1.76
Total fertility rate,Belgium,2014,1.74
Total fertility rate,Belgium,2015,1.7
Total fertility rate,Belgium,2016,1.68
Total fertility rate,Belgium,2017,1.65
Total fertility rate,Belgium,2018,1.62
Total fertility rate,Belgium,2019,1.6
Total fertility rate,Belgium,2020,1.55
Total fertility rate,Belgium,2021,1.6
Total fertility rate,Belgium,2022,1.53
Total fertility rate,Belgium,2023,1.47
Total fertility rate,Bulgaria,2012,1.5
Total fertility rate,Bulgaria,2013,1.54
Total fertility rate,Bulgaria,2014,1.62
Total fertility rate,Bulgaria,2015,1.64
Total fertility rate,Bulgaria,2016,1.67
Total fertility rate,Bulgaria,2017,1.71
Total fertility rate,Bulgaria,2018,1.73
Total fertility rate,Bulgaria,2019,1.79
Total fertility rate,Bulgaria,2020,1.77
Total fertility rate,Bulgaria,2021,1.8
Total fertility rate,Bulgaria,2022,1.78
Total fertility rate,Bulgaria,2023,1.81
Total fertility rate,Belarus,2012,1.62
Total fertility rate,Belarus,2013,1.67
Total fertility rate,Belarus,2014,1.7
Total fertility rate,Belarus,2015,1.72
Total fertility rate,Belarus,2016,1.73
Total fertility rate,Belarus,2017,1.54
Total fertility rate,Belarus,2018,1.45
Total fertility rate,Switzerland,2012,1.52
Total fertility rate,Switzerland,2013,1.52
Total fertility rate,Switzerland,2014,1.54
Total fertility rate,Switzerland,2015,1.54
Total fertility rate,Switzerland,2016,1.54
Total fertility rate,Switzerland,2017,1.52
Total fertility rate,Switzerland,2018,1.52
Total fertility rate,Switzerland,2019,1.48
Total fertility rate,Switzerland,2020,1.46
Total fertility rate,Switzerland,2021,1.52
Total fertility rate,Switzerland,2022,1.39
Total fertility rate,Switzerland,2023,1.33
