DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2022,53.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Austria,2024,53.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2022,53.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Belgium,2024,53.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2022,47.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Bulgaria,2024,45.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2022,56.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Switzerland,2024,55.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2022,48.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Cyprus,2024,54.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2022,29.9,b,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Czechia,2024,41.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Germany,2024,52.0,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2022,57.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Denmark,2024,58.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2022,32.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Estonia,2024,34.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2022,57.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2023,58.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Greece,2024,58.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2022,50.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Spain,2024,50.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2022,52.6,bep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2024,52.8,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2022,43.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2023,43.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Finland,2024,42.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,France,2021,54.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,France,2022,54.7,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,France,2024,53.7,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Croatia,2022,48.7,b,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Croatia,2024,47.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Hungary,2022,49.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Hungary,2024,50.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Ireland,2022,51.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Ireland,2024,51.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Iceland,2022,51.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Iceland,2024,51.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Italy,2022,53.8,,
