DATAFLOW,LAST UPDATE,freq,sex,age,citizen,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Albania,2017,,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Albania,2018,,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Albania,2019,,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Albania,2020,,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Albania,2021,0,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2015,3.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2016,5.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2017,3.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2018,5.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2019,6.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2020,6.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2021,3.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2022,4.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Austria,2023,4.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2015,11.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2016,10.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2017,7.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2018,7.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2019,7.2,b,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2020,6.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2021,7.4,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2022,5.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2023,6.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Belgium,2024,6.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2015,22.3,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2016,3.9,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2017,4.9,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2018,8.2,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2019,,u,
