DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2012,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2013,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2014,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2015,1.59,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2016,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2017,1.48,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2018,1.37,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2020,1.34,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2021,1.31,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Albania,2022,1.21,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Armenia,2015,1.62,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Armenia,2016,1.62,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Armenia,2017,1.56,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Armenia,2018,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Armenia,2019,1.60,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2012,1.44,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2013,1.44,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2014,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2015,1.49,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2016,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2017,1.52,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2018,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2019,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2020,1.44,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2021,1.48,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2022,1.41,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Austria,2023,1.32,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2012,2.00,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2013,1.98,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2014,1.97,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2015,1.94,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2016,1.90,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2017,1.75,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2018,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Azerbaijan,2019,1.81,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2012,1.80,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2013,1.76,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2014,1.74,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2015,1.70,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2016,1.68,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2017,1.65,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2018,1.62,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2019,1.60,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2020,1.55,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2021,1.60,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2022,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belgium,2023,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2012,1.50,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2013,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2014,1.62,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2015,1.64,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2016,1.67,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2017,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2018,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2019,1.79,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2020,1.77,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2021,1.80,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2022,1.78,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Bulgaria,2023,1.81,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2012,1.62,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2013,1.67,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2014,1.70,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2015,1.72,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2016,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2017,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Belarus,2018,1.45,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2012,1.52,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2013,1.52,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2014,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2015,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2016,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2017,1.52,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2018,1.52,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2019,1.48,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2020,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2021,1.52,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2022,1.39,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Switzerland,2023,1.33,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2012,1.39,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2013,1.30,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2014,1.31,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2015,1.32,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2016,1.37,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2017,1.32,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2018,1.32,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2019,1.33,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2020,1.36,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2021,1.39,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2022,1.37,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Cyprus,2023,1.40,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2012,1.45,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2013,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2014,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2015,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2016,1.63,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2017,1.69,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2018,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2019,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2020,1.74,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2021,1.83,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2022,1.64,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Czechia,2023,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2012,1.41,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2013,1.42,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2014,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2015,1.50,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2016,1.60,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2017,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2018,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2019,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2020,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2021,1.58,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2022,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Germany,2023,1.39,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2012,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2013,1.67,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2014,1.69,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2015,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2016,1.79,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2017,1.75,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2018,1.73,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Denmark,2019,1.70,,
