Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2008,Austria,Ukraine,AUT,UKR,221,0,515,0,0,0,0,0
2009,Austria,Ukraine,AUT,UKR,259,0,368,0,0,0,0,0
2010,Austria,Ukraine,AUT,UKR,282,0,238,0,0,0,0,0
2011,Austria,Ukraine,AUT,UKR,308,0,141,0,0,0,0,0
2012,Austria,Ukraine,AUT,UKR,309,0,131,0,0,0,0,0
2013,Austria,Ukraine,AUT,UKR,311,0,125,0,0,0,0,0
2014,Austria,Ukraine,AUT,UKR,300,0,0,0,0,0,0,0
2015,Austria,Ukraine,AUT,UKR,287,0,756,0,0,0,0,0
2016,Austria,Ukraine,AUT,UKR,301,0,846,0,0,0,0,0
2017,Austria,Ukraine,AUT,UKR,292,0,770,0,0,0,0,0
2018,Austria,Ukraine,AUT,UKR,282,0,537,0,0,0,0,0
2019,Austria,Ukraine,AUT,UKR,265,0,313,0,0,0,0,0
2020,Austria,Ukraine,AUT,UKR,251,0,182,0,0,0,0,0
2021,Austria,Ukraine,AUT,UKR,253,0,113,0,0,0,0,0
2022,Austria,Ukraine,AUT,UKR,89862,12000,249,0,0,0,0,0
2023,Austria,Ukraine,AUT,UKR,83748,5736,68,0,0,0,0,0
2024,Austria,Ukraine,AUT,UKR,77150,0,63,0,0,0,0,0
2008,Belgium,Ukraine,BEL,UKR,100,0,0,0,0,0,0,0
2009,Belgium,Ukraine,BEL,UKR,89,0,0,0,0,0,0,0
2010,Belgium,Ukraine,BEL,UKR,86,0,0,0,0,0,0,0
2011,Belgium,Ukraine,BEL,UKR,84,0,54,0,0,0,0,0
2012,Belgium,Ukraine,BEL,UKR,85,0,32,0,0,0,0,0
2013,Belgium,Ukraine,BEL,UKR,33,0,22,0,0,0,0,0
2014,Belgium,Ukraine,BEL,UKR,33,0,269,0,0,0,0,0
2015,Belgium,Ukraine,BEL,UKR,122,0,234,0,0,0,0,0
2016,Belgium,Ukraine,BEL,UKR,166,0,220,0,0,0,0,0
2017,Belgium,Ukraine,BEL,UKR,166,0,195,0,0,0,0,0
2018,Belgium,Ukraine,BEL,UKR,166,0,185,0,0,0,0,0
2019,Belgium,Ukraine,BEL,UKR,254,0,105,0,0,0,0,0
2020,Belgium,Ukraine,BEL,UKR,254,0,155,0,0,0,0,0
2021,Belgium,Ukraine,BEL,UKR,289,0,155,0,0,0,0,0
2022,Belgium,Ukraine,BEL,UKR,61975,6000,685,0,0,0,0,0
2023,Belgium,Ukraine,BEL,UKR,75260,5155,0,0,0,0,0,0
2024,Belgium,Ukraine,BEL,UKR,81295,1200,800,0,0,0,0,0
2009,Bulgaria,Ukraine,BGR,UKR,0,0,7,0,0,0,0,0
2010,Bulgaria,Ukraine,BGR,UKR,0,0,8,0,0,0,0,0
2014,Bulgaria,Ukraine,BGR,UKR,0,0,36,0,0,0,0,0
2015,Bulgaria,Ukraine,BGR,UKR,0,0,75,0,0,0,0,0
2016,Bulgaria,Ukraine,BGR,UKR,0,0,78,0,0,0,0,0
2017,Bulgaria,Ukraine,BGR,UKR,0,0,50,0,0,0,0,0
2018,Bulgaria,Ukraine,BGR,UKR,0,0,40,0,0,0,0,0
2019,Bulgaria,Ukraine,BGR,UKR,0,0,40,0,0,0,0,0
2020,Bulgaria,Ukraine,BGR,UKR,0,0,32,0,0,0,0,0
2021,Bulgaria,Ukraine,BGR,UKR,0,0,6,0,0,0,0,0
2022,Bulgaria,Ukraine,BGR,UKR,149215,43000,16,0,0,0,0,0
2023,Bulgaria,Ukraine,BGR,UKR,68276,4677,5,0,0,0,0,0
2024,Bulgaria,Ukraine,BGR,UKR,61070,1100,5,0,0,0,0,0
2008,Cyprus,Ukraine,CYP,UKR,21,0,274,0,0,0,0,0
2009,Cyprus,Ukraine,CYP,UKR,28,0,58,0,0,0,0,0
2010,Cyprus,Ukraine,CYP,UKR,28,0,71,0,0,0,0,0
2011,Cyprus,Ukraine,CYP,UKR,28,0,60,0,0,0,0,0
2012,Cyprus,Ukraine,CYP,UKR,28,0,11,0,0,0,0,0
2013,Cyprus,Ukraine,CYP,UKR,28,0,5,0,0,0,0,0
2014,Cyprus,Ukraine,CYP,UKR,29,0,89,0,0,0,0,0
2015,Cyprus,Ukraine,CYP,UKR,29,0,125,0,0,0,0,0
2016,Cyprus,Ukraine,CYP,UKR,29,0,121,0,0,0,0,0
2017,Cyprus,Ukraine,CYP,UKR,30,0,110,0,0,0,0,0
2018,Cyprus,Ukraine,CYP,UKR,30,0,120,0,0,0,0,0
2019,Cyprus,Ukraine,CYP,UKR,30,0,135,0,0,0,0,0
2020,Cyprus,Ukraine,CYP,UKR,30,0,139,0,0,0,0,0
2021,Cyprus,Ukraine,CYP,UKR,31,0,64,0,0,0,0,0
2022,Cyprus,Ukraine,CYP,UKR,12472,0,94,0,0,0,0,0
2023,Cyprus,Ukraine,CYP,UKR,19019,1303,111,0,0,0,0,0
2024,Cyprus,Ukraine,CYP,UKR,20407,300,95,0,0,0,0,0
2008,Czechia,Ukraine,CZE,UKR,85,0,216,0,0,0,0,0
