Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2008,-,Ukraine,-,UKR,28416,0,1900,0,0,0,0,0
2009,-,Ukraine,-,UKR,24512,0,1530,0,0,0,0,0
2010,-,Ukraine,-,UKR,25102,0,1250,0,0,0,0,0
2011,-,Ukraine,-,UKR,25372,0,1039,0,0,0,0,0
2012,-,Ukraine,-,UKR,25248,0,1209,0,0,0,0,0
2013,-,Ukraine,-,UKR,5154,0,1631,0,0,0,0,6
2014,-,Ukraine,-,UKR,237617,0,15085,823000,0,0,0,5
2015,-,Ukraine,-,UKR,321399,0,22350,1600000,0,0,0,5
2016,-,Ukraine,-,UKR,239062,6,34638,1800000,0,0,0,5
2017,-,Ukraine,-,UKR,139581,5,37670,1800000,0,0,0,5
2018,-,Ukraine,-,UKR,93248,5,31965,1500002,0,0,0,0
2019,-,Ukraine,-,UKR,59844,0,27991,734000,0,0,0,1680257
2020,-,Ukraine,-,UKR,35156,0,21426,734000,0,0,0,1620005
2021,-,Ukraine,-,UKR,27562,0,19426,854000,0,0,0,1424805
2022,-,Ukraine,-,UKR,5684177,1017000,34637,5914000,2616000,0,0,545130
2023,-,Ukraine,-,UKR,5960362,324573,33988,3689000,1318680,0,0,988425
2024,-,Ukraine,-,UKR,6066598,73067,40022,3669000,571000,0,0,521294
