STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,citizen,Country of citizenship,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1995,,7.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1996,,9.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1997,,9.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1998,,8.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,1999,,9.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2000,,9.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2001,,7.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2002,,8.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2003,,7.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2004,,14.5,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2005,,11.8,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2006,,11.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2007,,11.1,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2008,,8.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2009,,10.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2010,,9.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2011,,9.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2012,,9.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2013,,9.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2014,,10.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2015,,10.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),"Unemployment rates by sex, age and citizenship (%)",A,Annual,PC,Percentage,F,Females,Y15-64,From 15 to 64 years,FOR,Foreign country,AT,Austria,2016,,11.2,,,,,
