geo,TIME_PERIOD,OBS_VALUE
Albania,2013,1.7
Albania,2014,2.2
Albania,2015,2.2
Albania,2016,3.9
Albania,2017,3.3
Albania,2018,3.7
Albania,2019,2.1
Albania,2020,-3.3
Albania,2021,9.0
Albania,2022,4.8
Albania,2023,3.9
Albania,2024,4.0
Austria,2013,-0.3
Austria,2014,0.8
Austria,2015,1.3
Austria,2016,2.1
Austria,2017,2.3
Austria,2018,2.5
Austria,2019,1.8
Austria,2020,-6.3
Austria,2021,4.8
Austria,2022,5.3
Austria,2023,-1.0
Austria,2024,-1.0
Bosnia and Herzegovina,2013,2.3
Bosnia and Herzegovina,2014,1.2
Bosnia and Herzegovina,2015,4.3
Bosnia and Herzegovina,2016,3.2
Bosnia and Herzegovina,2017,3.2
Bosnia and Herzegovina,2018,3.8
Bosnia and Herzegovina,2019,2.9
Bosnia and Herzegovina,2020,-3.0
Bosnia and Herzegovina,2021,7.4
Bosnia and Herzegovina,2022,4.2
Bosnia and Herzegovina,2023,2.0
Bosnia and Herzegovina,2024,2.5
Belgium,2013,0.3
Belgium,2014,1.8
Belgium,2015,1.5
Belgium,2016,1.2
Belgium,2017,1.5
Belgium,2018,1.9
Belgium,2019,2.4
Belgium,2020,-4.8
Belgium,2021,6.2
Belgium,2022,4.3
Belgium,2023,1.2
Belgium,2024,1.0
Bulgaria,2013,-0.5
Bulgaria,2014,0.9
Bulgaria,2015,3.4
Bulgaria,2016,3.0
Bulgaria,2017,2.7
Bulgaria,2018,2.5
Bulgaria,2019,3.8
Bulgaria,2020,-3.2
Bulgaria,2021,7.8
Bulgaria,2022,4.0
Bulgaria,2023,1.9
Bulgaria,2024,2.8
Switzerland,2013,1.8
Switzerland,2014,2.3
Switzerland,2015,1.6
Switzerland,2016,2.1
Switzerland,2017,1.4
Switzerland,2018,2.9
Switzerland,2019,1.1
Switzerland,2020,-2.1
Switzerland,2021,5.6
Switzerland,2022,3.0
Switzerland,2023,0.7
Switzerland,2024,1.3
Cyprus,2013,-6.6
Cyprus,2014,-1.8
Cyprus,2015,3.4
Cyprus,2016,6.6
Cyprus,2017,5.8
Cyprus,2018,6.3
Cyprus,2019,5.9
Cyprus,2020,-3.2
Cyprus,2021,11.4
Cyprus,2022,7.2
Cyprus,2023,2.8
Cyprus,2024,3.4
Czechia,2013,0.0
Czechia,2014,2.2
Czechia,2015,5.0
Czechia,2016,2.6
Czechia,2017,5.2
Czechia,2018,2.8
Czechia,2019,3.6
Czechia,2020,-5.3
Czechia,2021,4.0
Czechia,2022,2.8
Czechia,2023,-0.1
Czechia,2024,1.1
Germany,2013,0.4
Germany,2014,2.2
Germany,2015,1.7
Germany,2016,2.3
Germany,2017,2.7
Germany,2018,1.1
Germany,2019,1.0
Germany,2020,-4.1
Germany,2021,3.7
Germany,2022,1.4
Germany,2023,-0.3
Germany,2024,-0.2
Denmark,2013,1.4
Denmark,2014,1.3
Denmark,2015,2.1
Denmark,2016,3.1
Denmark,2017,3.1
Denmark,2018,1.9
Denmark,2019,1.7
Denmark,2020,-1.8
Denmark,2021,7.4
Denmark,2022,1.5
Denmark,2023,2.5
Denmark,2024,3.7
Estonia,2013,1.8
Estonia,2014,3.3
Estonia,2015,1.8
Estonia,2016,3.1
Estonia,2017,5.6
Estonia,2018,3.7
Estonia,2019,3.7
Estonia,2020,-2.9
Estonia,2021,7.2
Estonia,2022,0.1
Estonia,2023,-3.0
Estonia,2024,-0.3
Greece,2013,-2.3
Greece,2014,0.8
Greece,2015,-0.2
Greece,2016,0.0
Greece,2017,1.5
Greece,2018,2.1
Greece,2019,2.3
Greece,2020,-9.2
Greece,2021,8.7
Greece,2022,5.7
Greece,2023,2.3
Greece,2024,2.3
Spain,2013,-1.4
Spain,2014,1.5
Spain,2015,4.1
Spain,2016,2.9
Spain,2017,2.9
Spain,2018,2.4
Spain,2019,2.0
Spain,2020,-10.9
Spain,2021,6.7
Spain,2022,6.2
Spain,2023,2.7
Spain,2024,3.2
Finland,2013,-1.0
Finland,2014,-0.5
Finland,2015,0.5
Finland,2016,2.6
Finland,2017,3.3
Finland,2018,1.2
Finland,2019,1.3
Finland,2020,-2.5
Finland,2021,2.7
Finland,2022,0.8
Finland,2023,-0.9
Finland,2024,-0.1
France,2013,0.8
France,2014,1.0
France,2015,1.1
France,2016,0.9
France,2017,2.1
France,2018,1.6
France,2019,2.0
France,2020,-7.4
France,2021,6.9
France,2022,2.7
France,2023,1.4
France,2024,1.2
Croatia,2013,-0.1
Croatia,2014,-0.6
Croatia,2015,2.3
Croatia,2016,3.5
Croatia,2017,3.3
Croatia,2018,2.9
Croatia,2019,3.1
Croatia,2020,-8.3
Croatia,2021,12.6
Croatia,2022,7.3
Croatia,2023,3.3
Croatia,2024,3.9
Hungary,2013,2.0
Hungary,2014,4.3
Hungary,2015,3.7
Hungary,2016,2.4
Hungary,2017,4.1
Hungary,2018,5.6
Hungary,2019,5.1
Hungary,2020,-4.3
Hungary,2021,7.2
Hungary,2022,4.3
Hungary,2023,-0.8
Hungary,2024,0.5
Ireland,2013,2.2
Ireland,2014,9.3
Ireland,2015,24.6
Ireland,2016,1.2
Ireland,2017,10.0
Ireland,2018,7.5
Ireland,2019,5.0
Ireland,2020,7.2
Ireland,2021,16.3
Ireland,2022,8.6
Ireland,2023,-5.5
Ireland,2024,1.2
Iceland,2013,4.6
Iceland,2014,1.7
Iceland,2015,4.4
Iceland,2016,6.3
Iceland,2017,4.2
Iceland,2018,4.9
Iceland,2019,1.9
Iceland,2020,-6.9
Iceland,2021,5.0
Iceland,2022,9.0
Iceland,2023,5.6
Iceland,2024,0.5
Italy,2013,-1.8
Italy,2014,0.0
Italy,2015,0.9
Italy,2016,1.2
Italy,2017,1.6
Italy,2018,0.8
Italy,2019,0.4
Italy,2020,-8.9
Italy,2021,8.9
Italy,2022,4.8
Italy,2023,0.7
Italy,2024,0.7
Lithuania,2013,4.0
Lithuania,2014,3.8
Lithuania,2015,2.8
Lithuania,2016,2.7
Lithuania,2017,4.6
Lithuania,2018,4.9
Lithuania,2019,4.7
Lithuania,2020,0.0
