Country of citizenship,year,geo,Number
Total,2008,Austria,12750
Total,2009,Austria,15815
Total,2010,Austria,11060
Total,2011,Austria,14455
Total,2012,Austria,17450
Total,2013,Austria,17520
Total,2014,Austria,28065
Total,2015,Austria,88180
Total,2016,Austria,42285
Total,2017,Austria,24735
Total,2018,Austria,13745
Total,2019,Austria,12885
Total,2020,Austria,14775
Total,2021,Austria,39930
Total,2022,Austria,112270
Total,2023,Austria,59230
Total,2024,Austria,24940
Total,2008,Belgium,15940
Total,2009,Belgium,22955
Total,2010,Belgium,26560
Total,2011,Belgium,32270
Total,2012,Belgium,28305
Total,2013,Belgium,21225
Total,2014,Belgium,22850
Total,2015,Belgium,44760
Total,2016,Belgium,18325
Total,2017,Belgium,18370
Total,2018,Belgium,22565
Total,2019,Belgium,27505
Total,2020,Belgium,16735
Total,2021,Belgium,25035
Total,2022,Belgium,36795
Total,2023,Belgium,35225
Total,2024,Belgium,39560
Total,2008,Bulgaria,745
Total,2009,Bulgaria,855
Total,2010,Bulgaria,1025
Total,2011,Bulgaria,890
Total,2012,Bulgaria,1385
Total,2013,Bulgaria,7145
Total,2014,Bulgaria,11080
Total,2015,Bulgaria,20390
Total,2016,Bulgaria,19420
Total,2017,Bulgaria,3695
Total,2018,Bulgaria,2535
Total,2019,Bulgaria,2150
Total,2020,Bulgaria,3525
Total,2021,Bulgaria,11000
Total,2022,Bulgaria,20390
Total,2023,Bulgaria,22510
Total,2024,Bulgaria,12260
Total,2008,Switzerland,16605
Total,2009,Switzerland,16005
Total,2010,Switzerland,15565
Total,2011,Switzerland,23880
Total,2012,Switzerland,28640
Total,2013,Switzerland,21460
Total,2014,Switzerland,23770
Total,2015,Switzerland,39515
Total,2016,Switzerland,27195
Total,2017,Switzerland,18085
Total,2018,Switzerland,15235
Total,2019,Switzerland,14255
Total,2020,Switzerland,11035
Total,2021,Switzerland,14905
Total,2022,Switzerland,24500
Total,2023,Switzerland,30190
Total,2024,Switzerland,27700
Total,2008,Cyprus,3920
Total,2009,Cyprus,3200
Total,2010,Cyprus,2875
Total,2011,Cyprus,1770
Total,2012,Cyprus,1635
Total,2013,Cyprus,1255
Total,2014,Cyprus,1745
Total,2015,Cyprus,2265
Total,2016,Cyprus,2940
Total,2017,Cyprus,4600
Total,2018,Cyprus,7765
Total,2019,Cyprus,13650
Total,2020,Cyprus,7495
Total,2021,Cyprus,13670
Total,2022,Cyprus,22190
Total,2023,Cyprus,11910
Total,2024,Cyprus,9185
Total,2008,Czechia,1650
Total,2009,Czechia,1245
Total,2010,Czechia,790
Total,2011,Czechia,755
Total,2012,Czechia,755
Total,2013,Czechia,710
Total,2014,Czechia,1155
Total,2015,Czechia,1525
Total,2016,Czechia,1480
Total,2017,Czechia,1450
Total,2018,Czechia,1700
Total,2019,Czechia,1920
Total,2020,Czechia,1165
Total,2021,Czechia,1410
Total,2022,Czechia,1690
Total,2023,Czechia,1405
Total,2024,Czechia,1360
Total,2008,Germany,26945
Total,2009,Germany,33035
Total,2010,Germany,48590
Total,2011,Germany,53345
Total,2012,Germany,77650
Total,2013,Germany,126995
Total,2014,Germany,202815
Total,2015,Germany,476620
Total,2016,Germany,745265
Total,2017,Germany,222625
Total,2018,Germany,184235
Total,2019,Germany,165685
Total,2020,Germany,122015
Total,2021,Germany,190615
Total,2022,Germany,243880
Total,2023,Germany,351600
Total,2024,Germany,250615
Total,2008,Denmark,2375
Total,2009,Denmark,3775
