citizen,geo,TIME_PERIOD,Crimes Num Per 100k inhabitants
Foreign country,Albania,2014,3.42
Foreign country,Albania,2015,3.08
Foreign country,Albania,2016,3.08
Foreign country,Albania,2017,3.51
Foreign country,Albania,2018,3.14
Foreign country,Albania,2019,3.95
Foreign country,Albania,2020,3.83
Foreign country,Albania,2021,4.03
Foreign country,Albania,2022,4.4
Foreign country,Austria,2013,51.74
Foreign country,Austria,2014,52.3
Foreign country,Austria,2015,54.83
Foreign country,Austria,2016,53.92
Foreign country,Austria,2017,55.07
Foreign country,Austria,2018,57.0
Foreign country,Austria,2019,54.12
Foreign country,Austria,2020,48.29
Foreign country,Austria,2021,46.53
Foreign country,Austria,2022,51.72
Foreign country,Belgium,2013,47.22
Foreign country,Belgium,2015,42.82
Foreign country,Belgium,2017,40.76
Foreign country,Belgium,2018,39.96
Foreign country,Belgium,2019,41.65
Foreign country,Belgium,2020,39.86
Foreign country,Belgium,2021,40.73
Foreign country,Belgium,2022,40.71
Foreign country,Bulgaria,2013,3.47
Foreign country,Bulgaria,2014,3.2
Foreign country,Bulgaria,2015,3.36
Foreign country,Bulgaria,2016,3.01
Foreign country,Bulgaria,2017,2.62
Foreign country,Bulgaria,2018,2.28
Foreign country,Bulgaria,2019,1.96
Foreign country,Bulgaria,2020,2.22
Foreign country,Bulgaria,2021,2.3
Foreign country,Bulgaria,2022,1.96
Foreign country,Switzerland,2013,60.42
Foreign country,Switzerland,2014,57.41
Foreign country,Switzerland,2015,54.8
Foreign country,Switzerland,2016,55.23
Foreign country,Switzerland,2017,54.81
Foreign country,Switzerland,2018,55.15
Foreign country,Switzerland,2019,52.41
Foreign country,Switzerland,2020,50.43
Foreign country,Switzerland,2021,48.79
Foreign country,Switzerland,2022,50.3
Foreign country,Cyprus,2013,35.34
Foreign country,Cyprus,2014,27.86
Foreign country,Cyprus,2015,25.27
Foreign country,Cyprus,2016,27.94
Foreign country,Cyprus,2017,17.66
Foreign country,Cyprus,2018,31.94
Foreign country,Cyprus,2019,42.47
Foreign country,Cyprus,2020,29.28
Foreign country,Cyprus,2021,46.54
Foreign country,Cyprus,2022,58.69
Foreign country,Czechia,2013,14.48
Foreign country,Czechia,2014,14.73
Foreign country,Czechia,2015,15.85
Foreign country,Czechia,2016,17.12
Foreign country,Czechia,2017,17.15
Foreign country,Czechia,2018,16.66
Foreign country,Czechia,2019,16.85
Foreign country,Czechia,2020,14.34
Foreign country,Czechia,2021,13.04
Foreign country,Czechia,2022,13.87
Foreign country,Denmark,2013,19.6
Foreign country,Denmark,2014,17.81
Foreign country,Denmark,2015,15.28
Foreign country,Denmark,2016,16.72
Foreign country,Denmark,2017,16.84
Foreign country,Denmark,2018,17.97
Foreign country,Denmark,2019,19.58
Foreign country,Denmark,2020,20.11
Foreign country,Denmark,2021,18.39
Foreign country,Denmark,2022,19.49
Foreign country,Estonia,2013,90.29
Foreign country,Estonia,2014,93.17
Foreign country,Estonia,2015,83.35
Foreign country,Estonia,2016,80.55
Foreign country,Estonia,2017,75.7
Foreign country,Estonia,2018,69.44
Foreign country,Estonia,2019,63.18
Foreign country,Estonia,2020,60.12
Foreign country,Estonia,2021,54.51
Foreign country,Estonia,2022,51.51
Foreign country,Greece,2013,69.28
Foreign country,Greece,2014,62.98
Foreign country,Greece,2015,48.71
Foreign country,Greece,2016,48.17
Foreign country,Greece,2017,49.14
Foreign country,Greece,2018,54.2
Foreign country,Greece,2019,58.87
Foreign country,Greece,2020,63.43
Foreign country,Greece,2021,60.86
Foreign country,Greece,2022,57.57
Foreign country,Spain,2013,45.19
Foreign country,Spain,2014,42.35
Foreign country,Spain,2015,38.47
Foreign country,Spain,2016,36.89
Foreign country,Spain,2017,35.57
Foreign country,Spain,2018,35.44
