geo,Number in 1000 persons,year,Sex
Austria,1570.0,1995,Females
Austria,1555.1,1996,Females
Austria,1557.1,1997,Females
Austria,1574.3,1998,Females
Austria,1600.4,1999,Females
Austria,1608.7,2000,Females
Austria,1619.9,2001,Females
Austria,1645.0,2002,Females
Austria,1671.6,2003,Females
Austria,1631.1,2004,Females
Austria,1689.2,2005,Females
Austria,1724.9,2006,Females
Austria,1763.3,2007,Females
Austria,1806.7,2008,Females
Austria,1822.1,2009,Females
Austria,1840.4,2010,Females
Austria,1862.3,2011,Females
Austria,1884.6,2012,Females
Austria,1896.6,2013,Females
Austria,1908.1,2014,Females
Austria,1923.0,2015,Females
Austria,1955.6,2016,Females
Austria,1976.7,2017,Females
Austria,1993.2,2018,Females
Austria,2013.6,2019,Females
Austria,1993.4,2020,Females
Austria,1988.4,2021,Females
Austria,2058.1,2022,Females
Austria,2079.2,2023,Females
Austria,2092.1,2024,Females
Bosnia and Herzegovina,418.4,2021,Females
Bosnia and Herzegovina,423.1,2022,Females
Bosnia and Herzegovina,441.8,2023,Females
Bosnia and Herzegovina,456.9,2024,Females
Belgium,1509.8,1995,Females
Belgium,1514.3,1996,Females
Belgium,1555.2,1997,Females
Belgium,1581.1,1998,Females
Belgium,1672.7,1999,Females
Belgium,1730.6,2000,Females
Belgium,1693.7,2001,Females
Belgium,1714.5,2002,Females
Belgium,1731.4,2003,Females
Belgium,1792.8,2004,Females
Belgium,1838.0,2005,Females
Belgium,1861.8,2006,Females
Belgium,1927.0,2007,Females
Belgium,1974.9,2008,Females
Belgium,1983.8,2009,Females
Belgium,2018.0,2010,Females
Belgium,2035.9,2011,Females
Belgium,2045.7,2012,Females
Belgium,2064.8,2013,Females
Belgium,2094.9,2014,Females
Belgium,2102.4,2015,Females
Belgium,2107.5,2016,Females
Belgium,2126.1,2017,Females
Belgium,2204.2,2018,Females
Belgium,2244.8,2019,Females
Belgium,2225.2,2020,Females
Belgium,2259.0,2021,Females
Belgium,2330.5,2022,Females
Belgium,2346.6,2023,Females
Belgium,2353.5,2024,Females
Bulgaria,1327.8,2000,Females
Bulgaria,1304.1,2001,Females
Bulgaria,1318.4,2002,Females
Bulgaria,1332.7,2003,Females
Bulgaria,1379.9,2004,Females
Bulgaria,1378.4,2005,Females
Bulgaria,1445.6,2006,Females
Bulgaria,1508.2,2007,Females
Bulgaria,1550.8,2008,Females
Bulgaria,1506.1,2009,Females
Bulgaria,1423.4,2010,Females
Bulgaria,1386.4,2011,Females
Bulgaria,1377.7,2012,Females
Bulgaria,1371.5,2013,Females
Bulgaria,1384.1,2014,Females
Bulgaria,1401.8,2015,Females
Bulgaria,1385.0,2016,Females
Bulgaria,1434.8,2017,Females
Bulgaria,1432.2,2018,Females
Bulgaria,1380.4,2019,Females
Bulgaria,1324.1,2020,Females
Bulgaria,1304.1,2021,Females
Bulgaria,1337.5,2022,Females
Bulgaria,1331.9,2023,Females
Bulgaria,1330.4,2024,Females
Switzerland,1601.0,1996,Females
Switzerland,1612.3,1997,Females
Switzerland,1645.2,1998,Females
Switzerland,1665.1,1999,Females
Switzerland,1666.8,2000,Females
Switzerland,1709.7,2001,Females
Switzerland,1748.7,2002,Females
Switzerland,1747.0,2003,Females
Switzerland,1752.2,2004,Females
Switzerland,1769.1,2005,Females
Switzerland,1799.6,2006,Females
Switzerland,1822.7,2007,Females
Switzerland,1892.8,2008,Females
Switzerland,1914.5,2009,Females
Switzerland,1871.6,2010,Females
Switzerland,1916.5,2011,Females
Switzerland,1944.7,2012,Females
Switzerland,1966.0,2013,Females
Switzerland,2006.8,2014,Females
Switzerland,2041.6,2015,Females
Switzerland,2074.6,2016,Females
Switzerland,2078.7,2017,Females
Switzerland,2099.4,2018,Females
Switzerland,2125.8,2019,Females
Switzerland,2123.3,2020,Females
Switzerland,2130.3,2021,Females
Switzerland,2151.2,2022,Females
Switzerland,2186.0,2023,Females
Switzerland,2205.9,2024,Females
Cyprus,112.1,1999,Females
Cyprus,120.2,2000,Females
