na_item,geo,TIME_PERIOD,Number per 1000 people
Gross domestic product at market prices,Albania,2013,1.7
Gross domestic product at market prices,Albania,2014,2.2
Gross domestic product at market prices,Albania,2015,2.2
Gross domestic product at market prices,Albania,2016,3.9
Gross domestic product at market prices,Albania,2017,3.3
Gross domestic product at market prices,Albania,2018,3.7
Gross domestic product at market prices,Albania,2019,2.1
Gross domestic product at market prices,Albania,2020,-3.3
Gross domestic product at market prices,Albania,2021,9.0
Gross domestic product at market prices,Albania,2022,4.8
Gross domestic product at market prices,Albania,2023,3.9
Gross domestic product at market prices,Albania,2024,4.0
Gross domestic product at market prices,Austria,2013,-0.3
Gross domestic product at market prices,Austria,2014,0.8
Gross domestic product at market prices,Austria,2015,1.3
Gross domestic product at market prices,Austria,2016,2.1
Gross domestic product at market prices,Austria,2017,2.3
Gross domestic product at market prices,Austria,2018,2.5
Gross domestic product at market prices,Austria,2019,1.8
Gross domestic product at market prices,Austria,2020,-6.3
Gross domestic product at market prices,Austria,2021,4.8
Gross domestic product at market prices,Austria,2022,5.3
Gross domestic product at market prices,Austria,2023,-1.0
Gross domestic product at market prices,Austria,2024,-1.0
Gross domestic product at market prices,Bosnia and Herzegovina,2013,2.3
Gross domestic product at market prices,Bosnia and Herzegovina,2014,1.2
Gross domestic product at market prices,Bosnia and Herzegovina,2015,4.3
Gross domestic product at market prices,Bosnia and Herzegovina,2016,3.2
Gross domestic product at market prices,Bosnia and Herzegovina,2017,3.2
Gross domestic product at market prices,Bosnia and Herzegovina,2018,3.8
Gross domestic product at market prices,Bosnia and Herzegovina,2019,2.9
Gross domestic product at market prices,Bosnia and Herzegovina,2020,-3.0
Gross domestic product at market prices,Bosnia and Herzegovina,2021,7.4
Gross domestic product at market prices,Bosnia and Herzegovina,2022,4.2
Gross domestic product at market prices,Bosnia and Herzegovina,2023,2.0
Gross domestic product at market prices,Bosnia and Herzegovina,2024,2.5
Gross domestic product at market prices,Belgium,2013,0.3
Gross domestic product at market prices,Belgium,2014,1.8
Gross domestic product at market prices,Belgium,2015,1.5
Gross domestic product at market prices,Belgium,2016,1.2
Gross domestic product at market prices,Belgium,2017,1.5
Gross domestic product at market prices,Belgium,2018,1.9
Gross domestic product at market prices,Belgium,2019,2.4
Gross domestic product at market prices,Belgium,2020,-4.8
Gross domestic product at market prices,Belgium,2021,6.2
Gross domestic product at market prices,Belgium,2022,4.3
Gross domestic product at market prices,Belgium,2023,1.2
Gross domestic product at market prices,Belgium,2024,1.0
Gross domestic product at market prices,Bulgaria,2013,-0.5
Gross domestic product at market prices,Bulgaria,2014,0.9
Gross domestic product at market prices,Bulgaria,2015,3.4
Gross domestic product at market prices,Bulgaria,2016,3.0
Gross domestic product at market prices,Bulgaria,2017,2.7
Gross domestic product at market prices,Bulgaria,2018,2.5
Gross domestic product at market prices,Bulgaria,2019,3.8
Gross domestic product at market prices,Bulgaria,2020,-3.2
Gross domestic product at market prices,Bulgaria,2021,7.8
Gross domestic product at market prices,Bulgaria,2022,4.0
Gross domestic product at market prices,Bulgaria,2023,1.9
Gross domestic product at market prices,Bulgaria,2024,2.8
Gross domestic product at market prices,Switzerland,2013,1.8
Gross domestic product at market prices,Switzerland,2014,2.3
