Sex,Employment status,geo,year,In thousands
Females,Employed persons,Austria,2014,244.8
Females,Employed persons,Austria,2015,253.2
Females,Employed persons,Austria,2016,282.5
Females,Employed persons,Austria,2017,293.7
Females,Employed persons,Austria,2018,311.2
Females,Employed persons,Austria,2019,321.0
Females,Employed persons,Austria,2020,329.8
Females,Employed persons,Austria,2021,331.7
Females,Employed persons,Austria,2022,382.1
Females,Employed persons,Austria,2023,403.1
Females,Employed persons,Austria,2024,424.9
Females,Employed persons,Bosnia and Herzegovina,2021,1.4
Females,Employed persons,Bosnia and Herzegovina,2022,0.7
Females,Employed persons,Belgium,2014,186.9
Females,Employed persons,Belgium,2015,204.0
Females,Employed persons,Belgium,2016,200.7
Females,Employed persons,Belgium,2017,211.9
Females,Employed persons,Belgium,2018,214.6
Females,Employed persons,Belgium,2019,225.0
Females,Employed persons,Belgium,2020,218.8
Females,Employed persons,Belgium,2021,234.2
Females,Employed persons,Belgium,2022,269.7
Females,Employed persons,Belgium,2023,275.9
Females,Employed persons,Belgium,2024,285.5
Females,Employed persons,Switzerland,2014,447.4
Females,Employed persons,Switzerland,2015,464.8
Females,Employed persons,Switzerland,2016,484.9
Females,Employed persons,Switzerland,2017,484.4
Females,Employed persons,Switzerland,2018,500.3
Females,Employed persons,Switzerland,2019,517.1
Females,Employed persons,Switzerland,2020,523.9
Females,Employed persons,Switzerland,2021,523.2
Females,Employed persons,Switzerland,2022,537.1
Females,Employed persons,Switzerland,2023,566.5
Females,Employed persons,Switzerland,2024,582.5
Females,Employed persons,Cyprus,2014,42.1
Females,Employed persons,Cyprus,2015,40.3
Females,Employed persons,Cyprus,2016,37.6
Females,Employed persons,Cyprus,2017,38.6
Females,Employed persons,Cyprus,2018,39.2
Females,Employed persons,Cyprus,2019,46.7
Females,Employed persons,Cyprus,2020,48.3
Females,Employed persons,Cyprus,2021,49.2
Females,Employed persons,Cyprus,2022,52.4
Females,Employed persons,Cyprus,2023,60.5
Females,Employed persons,Cyprus,2024,61.8
Females,Employed persons,Czechia,2014,38.6
Females,Employed persons,Czechia,2015,42.5
Females,Employed persons,Czechia,2016,40.8
Females,Employed persons,Czechia,2017,52.1
Females,Employed persons,Czechia,2018,52.1
Females,Employed persons,Czechia,2019,57.1
Females,Employed persons,Czechia,2020,62.7
Females,Employed persons,Czechia,2021,64.9
Females,Employed persons,Czechia,2022,66.2
Females,Employed persons,Czechia,2023,95.4
Females,Employed persons,Czechia,2024,107.8
Females,Employed persons,Germany,2014,1515.3
Females,Employed persons,Germany,2015,1602.2
Females,Employed persons,Germany,2016,1754.3
Females,Employed persons,Germany,2017,1856.4
Females,Employed persons,Germany,2018,1995.3
Females,Employed persons,Germany,2019,2099.0
Females,Employed persons,Germany,2020,2022.2
Females,Employed persons,Germany,2021,2057.3
Females,Employed persons,Germany,2022,2360.9
Females,Employed persons,Germany,2023,2527.2
Females,Employed persons,Germany,2024,2646.8
Females,Employed persons,Denmark,2014,76.5
Females,Employed persons,Denmark,2015,81.1
Females,Employed persons,Denmark,2016,76.5
Females,Employed persons,Denmark,2017,79.8
Females,Employed persons,Denmark,2018,82.0
Females,Employed persons,Denmark,2019,83.4
Females,Employed persons,Denmark,2020,87.4
Females,Employed persons,Denmark,2021,91.0
Females,Employed persons,Denmark,2022,92.3
Females,Employed persons,Denmark,2023,93.7
Females,Employed persons,Denmark,2024,108.2
Females,Employed persons,Estonia,2014,33.4
Females,Employed persons,Estonia,2015,33.2
Females,Employed persons,Estonia,2016,34.3
Females,Employed persons,Estonia,2017,33.3
Females,Employed persons,Estonia,2018,32.6
Females,Employed persons,Estonia,2019,36.0
Females,Employed persons,Estonia,2020,35.2
Females,Employed persons,Estonia,2021,34.5
Females,Employed persons,Estonia,2022,32.8
Females,Employed persons,Estonia,2023,40.7
Females,Employed persons,Estonia,2024,45.2
Females,Employed persons,Greece,2014,111.6
Females,Employed persons,Greece,2015,104.1
Females,Employed persons,Greece,2016,88.4
Females,Employed persons,Greece,2017,85.0
Females,Employed persons,Greece,2018,80.9
Females,Employed persons,Greece,2019,90.0
Females,Employed persons,Greece,2020,76.6
Females,Employed persons,Greece,2021,63.5
Females,Employed persons,Greece,2022,57.2
Females,Employed persons,Greece,2023,64.0
Females,Employed persons,Greece,2024,57.0
Females,Employed persons,Spain,2014,889.3
Females,Employed persons,Spain,2015,904.0
Females,Employed persons,Spain,2016,913.9
Females,Employed persons,Spain,2017,965.3
Females,Employed persons,Spain,2018,1018.7
Females,Employed persons,Spain,2019,1087.1
Females,Employed persons,Spain,2020,1050.4
Females,Employed persons,Spain,2021,1094.5
Females,Employed persons,Spain,2022,1200.9
Females,Employed persons,Spain,2023,1397.2
Females,Employed persons,Spain,2024,1469.0
Females,Employed persons,Finland,2014,28.1
Females,Employed persons,Finland,2015,31.4
Females,Employed persons,Finland,2016,30.9
Females,Employed persons,Finland,2017,30.5
Females,Employed persons,Finland,2018,32.2
Females,Employed persons,Finland,2019,35.6
Females,Employed persons,Finland,2020,36.0
Females,Employed persons,Finland,2021,49.0
Females,Employed persons,Finland,2022,63.4
Females,Employed persons,Finland,2023,69.1
Females,Employed persons,Finland,2024,67.1
Females,Employed persons,France,2014,631.5
Females,Employed persons,France,2015,625.4
Females,Employed persons,France,2016,634.7
Females,Employed persons,France,2017,686.0
Females,Employed persons,France,2018,711.4
Females,Employed persons,France,2019,726.8
Females,Employed persons,France,2020,720.6
Females,Employed persons,France,2021,782.7
Females,Employed persons,France,2022,856.9
Females,Employed persons,France,2023,953.7
Females,Employed persons,France,2024,950.3
Females,Employed persons,Croatia,2014,1.3
Females,Employed persons,Croatia,2015,1.5
Females,Employed persons,Croatia,2016,1.1
Females,Employed persons,Croatia,2017,1.2
Females,Employed persons,Croatia,2018,3.5
Females,Employed persons,Croatia,2019,3.3
Females,Employed persons,Croatia,2020,1.8
Females,Employed persons,Croatia,2021,1.9
Females,Employed persons,Croatia,2022,3.9
Females,Employed persons,Croatia,2023,4.3
Females,Employed persons,Croatia,2024,6.1
Females,Employed persons,Hungary,2014,9.7
Females,Employed persons,Hungary,2015,8.9
Females,Employed persons,Hungary,2016,9.9
Females,Employed persons,Hungary,2017,8.2
Females,Employed persons,Hungary,2018,9.3
Females,Employed persons,Hungary,2019,14.0
Females,Employed persons,Hungary,2020,11.0
Females,Employed persons,Hungary,2021,16.6
Females,Employed persons,Hungary,2022,17.6
Females,Employed persons,Hungary,2023,15.0
Females,Employed persons,Hungary,2024,17.2
Females,Employed persons,Ireland,2014,123.5
Females,Employed persons,Ireland,2015,127.5
Females,Employed persons,Ireland,2016,138.0
Females,Employed persons,Ireland,2017,148.2
Females,Employed persons,Ireland,2018,159.5
Females,Employed persons,Ireland,2019,168.2
Females,Employed persons,Ireland,2020,166.2
Females,Employed persons,Ireland,2021,181.9
Females,Employed persons,Ireland,2022,210.4
Females,Employed persons,Ireland,2023,240.5
Females,Employed persons,Ireland,2024,263.7
Females,Employed persons,Iceland,2014,4.5
Females,Employed persons,Iceland,2015,3.6
Females,Employed persons,Iceland,2016,4.1
Females,Employed persons,Iceland,2017,4.1
Females,Employed persons,Iceland,2018,4.4
Females,Employed persons,Iceland,2019,4.9
Females,Employed persons,Iceland,2020,5.3
Females,Employed persons,Iceland,2021,7.4
Females,Employed persons,Iceland,2022,10.0
Females,Employed persons,Iceland,2023,11.4
Females,Employed persons,Iceland,2024,12.1
Females,Employed persons,Italy,2014,1045.2
Females,Employed persons,Italy,2015,1055.0
Females,Employed persons,Italy,2016,1060.0
Females,Employed persons,Italy,2017,1054.9
Females,Employed persons,Italy,2018,1013.5
Females,Employed persons,Italy,2019,1008.5
Females,Employed persons,Italy,2020,902.5
