citizenship,geo,employment_rate,quarter,Sex,date
Foreign country,Austria,57.6,1998-Q1,Females,1998-01-01
Foreign country,Austria,55.7,1999-Q1,Females,1999-01-01
Foreign country,Austria,58.6,2000-Q1,Females,2000-01-01
Foreign country,Austria,57.5,2000-Q2,Females,2000-04-01
Foreign country,Austria,57.4,2001-Q1,Females,2001-01-01
Foreign country,Austria,58.5,2002-Q1,Females,2002-01-01
Foreign country,Austria,59.3,2003-Q1,Females,2003-01-01
Foreign country,Austria,59.7,2003-Q2,Females,2003-04-01
Foreign country,Austria,60.4,2003-Q3,Females,2003-07-01
Foreign country,Austria,56.6,2003-Q4,Females,2003-10-01
Foreign country,Austria,48.6,2004-Q1,Females,2004-01-01
Foreign country,Austria,49.7,2004-Q2,Females,2004-04-01
Foreign country,Austria,51.7,2004-Q3,Females,2004-07-01
Foreign country,Austria,50.8,2004-Q4,Females,2004-10-01
Foreign country,Austria,53.2,2005-Q1,Females,2005-01-01
Foreign country,Austria,51.8,2005-Q2,Females,2005-04-01
Foreign country,Austria,51.6,2005-Q3,Females,2005-07-01
Foreign country,Austria,50.9,2005-Q4,Females,2005-10-01
Foreign country,Austria,51.0,2006-Q1,Females,2006-01-01
Foreign country,Austria,52.3,2006-Q2,Females,2006-04-01
Foreign country,Austria,53.2,2006-Q3,Females,2006-07-01
Foreign country,Austria,52.2,2006-Q4,Females,2006-10-01
Foreign country,Austria,52.3,2007-Q1,Females,2007-01-01
Foreign country,Austria,51.0,2007-Q2,Females,2007-04-01
Foreign country,Austria,53.4,2007-Q3,Females,2007-07-01
Foreign country,Austria,53.0,2007-Q4,Females,2007-10-01
Foreign country,Austria,52.9,2008-Q1,Females,2008-01-01
Foreign country,Austria,54.1,2008-Q2,Females,2008-04-01
Foreign country,Austria,52.4,2008-Q3,Females,2008-07-01
Foreign country,Austria,52.0,2008-Q4,Females,2008-10-01
Foreign country,Austria,54.1,2009-Q1,Females,2009-01-01
Foreign country,Austria,54.1,2009-Q2,Females,2009-04-01
Foreign country,Austria,53.1,2009-Q3,Females,2009-07-01
Foreign country,Austria,53.5,2009-Q4,Females,2009-10-01
Foreign country,Austria,55.6,2010-Q1,Females,2010-01-01
Foreign country,Austria,54.8,2010-Q2,Females,2010-04-01
Foreign country,Austria,55.7,2010-Q3,Females,2010-07-01
Foreign country,Austria,56.0,2010-Q4,Females,2010-10-01
Foreign country,Austria,54.1,2011-Q1,Females,2011-01-01
Foreign country,Austria,55.3,2011-Q2,Females,2011-04-01
Foreign country,Austria,56.8,2011-Q3,Females,2011-07-01
Foreign country,Austria,57.1,2011-Q4,Females,2011-10-01
Foreign country,Austria,56.6,2012-Q1,Females,2012-01-01
Foreign country,Austria,57.1,2012-Q2,Females,2012-04-01
Foreign country,Austria,55.9,2012-Q3,Females,2012-07-01
Foreign country,Austria,56.0,2012-Q4,Females,2012-10-01
Foreign country,Austria,55.5,2013-Q1,Females,2013-01-01
Foreign country,Austria,56.0,2013-Q2,Females,2013-04-01
Foreign country,Austria,57.1,2013-Q3,Females,2013-07-01
Foreign country,Austria,56.3,2013-Q4,Females,2013-10-01
Foreign country,Austria,57.3,2014-Q1,Females,2014-01-01
Foreign country,Austria,60.3,2014-Q2,Females,2014-04-01
Foreign country,Austria,58.3,2014-Q3,Females,2014-07-01
Foreign country,Austria,57.7,2014-Q4,Females,2014-10-01
Foreign country,Austria,56.5,2015-Q1,Females,2015-01-01
Foreign country,Austria,57.0,2015-Q2,Females,2015-04-01
Foreign country,Austria,57.5,2015-Q3,Females,2015-07-01
Foreign country,Austria,56.8,2015-Q4,Females,2015-10-01
Foreign country,Austria,55.9,2016-Q1,Females,2016-01-01
Foreign country,Austria,56.6,2016-Q2,Females,2016-04-01
Foreign country,Austria,57.6,2016-Q3,Females,2016-07-01
Foreign country,Austria,57.9,2016-Q4,Females,2016-10-01
Foreign country,Austria,57.7,2017-Q1,Females,2017-01-01
Foreign country,Austria,58.5,2017-Q2,Females,2017-04-01
Foreign country,Austria,59.0,2017-Q3,Females,2017-07-01
Foreign country,Austria,58.7,2017-Q4,Females,2017-10-01
Foreign country,Austria,59.7,2018-Q1,Females,2018-01-01
Foreign country,Austria,60.2,2018-Q2,Females,2018-04-01
Foreign country,Austria,59.1,2018-Q3,Females,2018-07-01
Foreign country,Austria,60.6,2018-Q4,Females,2018-10-01
Foreign country,Austria,60.9,2019-Q1,Females,2019-01-01
Foreign country,Austria,60.8,2019-Q2,Females,2019-04-01
Foreign country,Austria,60.4,2019-Q3,Females,2019-07-01
Foreign country,Austria,61.0,2019-Q4,Females,2019-10-01
Foreign country,Austria,59.5,2020-Q1,Females,2020-01-01
Foreign country,Austria,57.4,2020-Q2,Females,2020-04-01
Foreign country,Austria,61.8,2020-Q3,Females,2020-07-01
Foreign country,Austria,59.2,2020-Q4,Females,2020-10-01
Foreign country,Austria,57.0,2021-Q1,Females,2021-01-01
Foreign country,Austria,57.5,2021-Q2,Females,2021-04-01
Foreign country,Austria,60.8,2021-Q3,Females,2021-07-01
Foreign country,Austria,62.0,2021-Q4,Females,2021-10-01
Foreign country,Austria,62.3,2022-Q1,Females,2022-01-01
Foreign country,Austria,62.9,2022-Q2,Females,2022-04-01
Foreign country,Austria,63.0,2022-Q3,Females,2022-07-01
Foreign country,Austria,62.7,2022-Q4,Females,2022-10-01
Foreign country,Austria,62.3,2023-Q1,Females,2023-01-01
Foreign country,Austria,63.2,2023-Q2,Females,2023-04-01
Foreign country,Austria,62.5,2023-Q3,Females,2023-07-01
Foreign country,Austria,62.9,2023-Q4,Females,2023-10-01
Foreign country,Austria,62.9,2024-Q1,Females,2024-01-01
Foreign country,Austria,63.8,2024-Q2,Females,2024-04-01
Foreign country,Austria,63.9,2024-Q3,Females,2024-07-01
Foreign country,Austria,64.0,2024-Q4,Females,2024-10-01
Foreign country,Austria,75.9,1998-Q1,Males,1998-01-01
Foreign country,Austria,79.3,1999-Q1,Males,1999-01-01
Foreign country,Austria,78.5,2000-Q1,Males,2000-01-01
Foreign country,Austria,82.0,2000-Q2,Males,2000-04-01
Foreign country,Austria,79.3,2001-Q1,Males,2001-01-01
Foreign country,Austria,75.4,2002-Q1,Males,2002-01-01
Foreign country,Austria,76.4,2003-Q1,Males,2003-01-01
Foreign country,Austria,78.0,2003-Q2,Males,2003-04-01
Foreign country,Austria,79.5,2003-Q3,Males,2003-07-01
Foreign country,Austria,78.1,2003-Q4,Males,2003-10-01
Foreign country,Austria,68.5,2004-Q1,Males,2004-01-01
Foreign country,Austria,71.1,2004-Q2,Males,2004-04-01
Foreign country,Austria,73.0,2004-Q3,Males,2004-07-01
Foreign country,Austria,71.2,2004-Q4,Males,2004-10-01
Foreign country,Austria,66.0,2005-Q1,Males,2005-01-01
Foreign country,Austria,70.7,2005-Q2,Males,2005-04-01
Foreign country,Austria,72.1,2005-Q3,Males,2005-07-01
Foreign country,Austria,69.2,2005-Q4,Males,2005-10-01
Foreign country,Austria,64.7,2006-Q1,Males,2006-01-01
Foreign country,Austria,71.7,2006-Q2,Males,2006-04-01
Foreign country,Austria,73.4,2006-Q3,Males,2006-07-01
Foreign country,Austria,70.8,2006-Q4,Males,2006-10-01
Foreign country,Austria,67.7,2007-Q1,Males,2007-01-01
Foreign country,Austria,72.8,2007-Q2,Males,2007-04-01
Foreign country,Austria,73.9,2007-Q3,Males,2007-07-01
Foreign country,Austria,73.6,2007-Q4,Males,2007-10-01
Foreign country,Austria,68.4,2008-Q1,Males,2008-01-01
Foreign country,Austria,75.1,2008-Q2,Males,2008-04-01
Foreign country,Austria,74.5,2008-Q3,Males,2008-07-01
Foreign country,Austria,73.4,2008-Q4,Males,2008-10-01
Foreign country,Austria,66.7,2009-Q1,Males,2009-01-01
Foreign country,Austria,69.0,2009-Q2,Males,2009-04-01
Foreign country,Austria,71.4,2009-Q3,Males,2009-07-01
Foreign country,Austria,69.5,2009-Q4,Males,2009-10-01
Foreign country,Austria,67.8,2010-Q1,Males,2010-01-01
Foreign country,Austria,71.3,2010-Q2,Males,2010-04-01
Foreign country,Austria,73.0,2010-Q3,Males,2010-07-01
Foreign country,Austria,70.7,2010-Q4,Males,2010-10-01
Foreign country,Austria,68.5,2011-Q1,Males,2011-01-01
Foreign country,Austria,73.7,2011-Q2,Males,2011-04-01
Foreign country,Austria,73.5,2011-Q3,Males,2011-07-01
Foreign country,Austria,72.3,2011-Q4,Males,2011-10-01
Foreign country,Austria,69.6,2012-Q1,Males,2012-01-01
Foreign country,Austria,74.0,2012-Q2,Males,2012-04-01
Foreign country,Austria,74.0,2012-Q3,Males,2012-07-01
Foreign country,Austria,70.6,2012-Q4,Males,2012-10-01
Foreign country,Austria,69.1,2013-Q1,Males,2013-01-01
Foreign country,Austria,72.6,2013-Q2,Males,2013-04-01
