citizenship,geo,employment_rate,year,Sex
Foreign country,Austria,59.3,1995,Females
Foreign country,Austria,55.4,1996,Females
Foreign country,Austria,57.7,1997,Females
Foreign country,Austria,57.6,1998,Females
Foreign country,Austria,55.7,1999,Females
Foreign country,Austria,58.6,2000,Females
Foreign country,Austria,57.4,2001,Females
Foreign country,Austria,58.5,2002,Females
Foreign country,Austria,59.3,2003,Females
Foreign country,Austria,48.6,2004,Females
Foreign country,Austria,51.9,2005,Females
Foreign country,Austria,52.2,2006,Females
Foreign country,Austria,52.4,2007,Females
Foreign country,Austria,52.8,2008,Females
Foreign country,Austria,53.7,2009,Females
Foreign country,Austria,55.5,2010,Females
Foreign country,Austria,55.8,2011,Females
Foreign country,Austria,56.4,2012,Females
Foreign country,Austria,56.2,2013,Females
Foreign country,Austria,58.4,2014,Females
Foreign country,Austria,57.0,2015,Females
Foreign country,Austria,57.0,2016,Females
Foreign country,Austria,58.5,2017,Females
Foreign country,Austria,59.9,2018,Females
Foreign country,Austria,60.8,2019,Females
Foreign country,Austria,59.5,2020,Females
Foreign country,Austria,59.3,2021,Females
Foreign country,Austria,62.8,2022,Females
Foreign country,Austria,62.7,2023,Females
Foreign country,Austria,63.7,2024,Females
Foreign country,Austria,80.6,1995,Males
Foreign country,Austria,76.6,1996,Males
Foreign country,Austria,77.3,1997,Males
Foreign country,Austria,75.9,1998,Males
Foreign country,Austria,79.3,1999,Males
Foreign country,Austria,78.5,2000,Males
Foreign country,Austria,79.3,2001,Males
Foreign country,Austria,75.4,2002,Males
Foreign country,Austria,76.4,2003,Males
Foreign country,Austria,68.5,2004,Males
Foreign country,Austria,69.5,2005,Males
Foreign country,Austria,70.1,2006,Males
Foreign country,Austria,72.0,2007,Males
Foreign country,Austria,72.8,2008,Males
Foreign country,Austria,69.1,2009,Males
Foreign country,Austria,70.7,2010,Males
Foreign country,Austria,72.0,2011,Males
Foreign country,Austria,72.1,2012,Males
Foreign country,Austria,71.2,2013,Males
Foreign country,Austria,69.9,2014,Males
Foreign country,Austria,70.3,2015,Males
Foreign country,Austria,69.1,2016,Males
Foreign country,Austria,71.2,2017,Males
Foreign country,Austria,74.4,2018,Males
Foreign country,Austria,73.4,2019,Males
Foreign country,Austria,71.3,2020,Males
Foreign country,Austria,74.2,2021,Males
Foreign country,Austria,76.4,2022,Males
Foreign country,Austria,74.8,2023,Males
Foreign country,Austria,74.1,2024,Males
Foreign country,Austria,70.6,1995,Total
Foreign country,Austria,66.4,1996,Total
Foreign country,Austria,67.9,1997,Total
Foreign country,Austria,66.9,1998,Total
Foreign country,Austria,67.7,1999,Total
Foreign country,Austria,68.5,2000,Total
Foreign country,Austria,68.7,2001,Total
Foreign country,Austria,67.0,2002,Total
Foreign country,Austria,68.0,2003,Total
Foreign country,Austria,58.8,2004,Total
Foreign country,Austria,60.5,2005,Total
Foreign country,Austria,61.1,2006,Total
Foreign country,Austria,62.1,2007,Total
Foreign country,Austria,62.5,2008,Total
Foreign country,Austria,61.2,2009,Total
Foreign country,Austria,62.9,2010,Total
Foreign country,Austria,63.6,2011,Total
Foreign country,Austria,63.9,2012,Total
Foreign country,Austria,63.4,2013,Total
Foreign country,Austria,63.9,2014,Total
Foreign country,Austria,63.5,2015,Total
Foreign country,Austria,62.8,2016,Total
Foreign country,Austria,64.8,2017,Total
Foreign country,Austria,66.9,2018,Total
Foreign country,Austria,67.0,2019,Total
Foreign country,Austria,65.3,2020,Total
Foreign country,Austria,66.7,2021,Total
Foreign country,Austria,69.5,2022,Total
Foreign country,Austria,68.7,2023,Total
Foreign country,Austria,68.9,2024,Total
Reporting country,Austria,59.2,1995,Females
Reporting country,Austria,58.9,1996,Females
Reporting country,Austria,58.6,1997,Females
Reporting country,Austria,59.1,1998,Females
Reporting country,Austria,60.0,1999,Females
Reporting country,Austria,59.8,2000,Females
Reporting country,Austria,60.0,2001,Females
Reporting country,Austria,61.2,2002,Females
Reporting country,Austria,61.4,2003,Females
Reporting country,Austria,60.2,2004,Females
Reporting country,Austria,62.2,2005,Females
Reporting country,Austria,63.5,2006,Females
Reporting country,Austria,64.9,2007,Females
Reporting country,Austria,66.4,2008,Females
Reporting country,Austria,66.8,2009,Females
Reporting country,Austria,67.1,2010,Females
Reporting country,Austria,67.6,2011,Females
Reporting country,Austria,68.3,2012,Females
Reporting country,Austria,68.6,2013,Females
Reporting country,Austria,68.5,2014,Females
Reporting country,Austria,69.0,2015,Females
Reporting country,Austria,69.9,2016,Females
Reporting country,Austria,70.3,2017,Females
Reporting country,Austria,70.5,2018,Females
Reporting country,Austria,71.1,2019,Females
Reporting country,Austria,70.5,2020,Females
Reporting country,Austria,70.3,2021,Females
Reporting country,Austria,71.9,2022,Females
Reporting country,Austria,72.4,2023,Females
Reporting country,Austria,72.8,2024,Females
Reporting country,Austria,77.3,1995,Males
Reporting country,Austria,76.0,1996,Males
Reporting country,Austria,75.8,1997,Males
Reporting country,Austria,75.9,1998,Males
Reporting country,Austria,76.5,1999,Males
Reporting country,Austria,76.0,2000,Males
Reporting country,Austria,75.7,2001,Males
Reporting country,Austria,75.3,2002,Males
Reporting country,Austria,75.3,2003,Males
Reporting country,Austria,72.0,2004,Males
Reporting country,Austria,74.3,2005,Males
Reporting country,Austria,75.5,2006,Males
Reporting country,Austria,76.9,2007,Males
Reporting country,Austria,77.4,2008,Males
Reporting country,Austria,76.4,2009,Males
Reporting country,Austria,76.7,2010,Males
Reporting country,Austria,76.8,2011,Males
Reporting country,Austria,76.8,2012,Males
Reporting country,Austria,76.8,2013,Males
Reporting country,Austria,76.2,2014,Males
Reporting country,Austria,76.0,2015,Males
Reporting country,Austria,76.7,2016,Males
Reporting country,Austria,77.3,2017,Males
Reporting country,Austria,78.2,2018,Males
Reporting country,Austria,79.0,2019,Males
Reporting country,Austria,77.7,2020,Males
Reporting country,Austria,77.3,2021,Males
Reporting country,Austria,78.5,2022,Males
Reporting country,Austria,78.9,2023,Males
Reporting country,Austria,78.5,2024,Males
Reporting country,Austria,68.2,1995,Total
Reporting country,Austria,67.4,1996,Total
Reporting country,Austria,67.1,1997,Total
Reporting country,Austria,67.5,1998,Total
Reporting country,Austria,68.2,1999,Total
Reporting country,Austria,67.9,2000,Total
Reporting country,Austria,67.8,2001,Total
Reporting country,Austria,68.2,2002,Total
Reporting country,Austria,68.3,2003,Total
Reporting country,Austria,66.1,2004,Total
Reporting country,Austria,68.2,2005,Total
Reporting country,Austria,69.5,2006,Total
Reporting country,Austria,70.9,2007,Total
Reporting country,Austria,71.9,2008,Total
Reporting country,Austria,71.6,2009,Total
Reporting country,Austria,71.9,2010,Total
Reporting country,Austria,72.2,2011,Total
Reporting country,Austria,72.6,2012,Total
Reporting country,Austria,72.7,2013,Total
Reporting country,Austria,72.3,2014,Total
Reporting country,Austria,72.5,2015,Total
Reporting country,Austria,73.3,2016,Total
Reporting country,Austria,73.8,2017,Total
Reporting country,Austria,74.4,2018,Total
Reporting country,Austria,75.0,2019,Total
Reporting country,Austria,74.1,2020,Total
Reporting country,Austria,73.8,2021,Total
Reporting country,Austria,75.2,2022,Total
Reporting country,Austria,75.6,2023,Total
Reporting country,Austria,75.7,2024,Total
Total,Austria,59.2,1995,Females
Total,Austria,58.6,1996,Females
Total,Austria,58.5,1997,Females
Total,Austria,59.0,1998,Females
Total,Austria,59.7,1999,Females
Total,Austria,59.7,2000,Females
Total,Austria,59.8,2001,Females
Total,Austria,61.0,2002,Females
Total,Austria,61.1,2003,Females
Total,Austria,59.2,2004,Females
Total,Austria,61.1,2005,Females
Total,Austria,62.2,2006,Females
Total,Austria,63.5,2007,Females
Total,Austria,64.8,2008,Females
Total,Austria,65.2,2009,Females
Total,Austria,65.7,2010,Females
Total,Austria,66.1,2011,Females
Total,Austria,66.7,2012,Females
Total,Austria,66.9,2013,Females
Total,Austria,66.9,2014,Females
Total,Austria,67.1,2015,Females
Total,Austria,67.7,2016,Females
Total,Austria,68.2,2017,Females
Total,Austria,68.6,2018,Females
Total,Austria,69.2,2019,Females
Total,Austria,68.3,2020,Females
Total,Austria,68.1,2021,Females
Total,Austria,70.0,2022,Females
Total,Austria,70.3,2023,Females
Total,Austria,70.7,2024,Females
Total,Austria,77.6,1995,Males
Total,Austria,76.1,1996,Males
Total,Austria,75.9,1997,Males
Total,Austria,75.9,1998,Males
Total,Austria,76.7,1999,Males
Total,Austria,76.2,2000,Males
Total,Austria,75.9,2001,Males
Total,Austria,75.3,2002,Males
Total,Austria,75.4,2003,Males
Total,Austria,71.6,2004,Males
Total,Austria,73.7,2005,Males
Total,Austria,74.9,2006,Males
Total,Austria,76.3,2007,Males
Total,Austria,76.8,2008,Males
Total,Austria,75.5,2009,Males
