reason,citizen,geo,year,Illegal Third Country Nationals
Illegal entry,United Arab Emirates,Switzerland,2022,5.0
Illegal entry,United Arab Emirates,Switzerland,2023,5.0
Illegal entry,United Arab Emirates,Germany,2022,15.0
Illegal entry,United Arab Emirates,Germany,2023,30.0
Illegal entry,United Arab Emirates,Hungary,2022,10.0
Illegal entry,United Arab Emirates,Hungary,2023,20.0
Illegal entry,Afghanistan,Bulgaria,2021,470.0
Illegal entry,Afghanistan,Bulgaria,2022,3315.0
Illegal entry,Afghanistan,Bulgaria,2023,5950.0
Illegal entry,Afghanistan,Switzerland,2020,185.0
Illegal entry,Afghanistan,Switzerland,2021,265.0
Illegal entry,Afghanistan,Switzerland,2022,390.0
Illegal entry,Afghanistan,Switzerland,2023,490.0
Illegal entry,Afghanistan,Cyprus,2023,705.0
Illegal entry,Afghanistan,Czechia,2021,530.0
Illegal entry,Afghanistan,Czechia,2022,245.0
Illegal entry,Afghanistan,Czechia,2023,50.0
Illegal entry,Afghanistan,Germany,2022,9470.0
Illegal entry,Afghanistan,Germany,2023,15070.0
Illegal entry,Afghanistan,Denmark,2021,5.0
Illegal entry,Afghanistan,Denmark,2022,15.0
Illegal entry,Afghanistan,Denmark,2023,5.0
Illegal entry,Afghanistan,Estonia,2022,5.0
Illegal entry,Afghanistan,Estonia,2023,10.0
Illegal entry,Afghanistan,Greece,2021,2785.0
Illegal entry,Afghanistan,Greece,2022,4575.0
Illegal entry,Afghanistan,Greece,2023,9535.0
Illegal entry,Afghanistan,Finland,2021,30.0
Illegal entry,Afghanistan,Finland,2022,10.0
Illegal entry,Afghanistan,Finland,2023,5.0
Illegal entry,Afghanistan,France,2021,305.0
Illegal entry,Afghanistan,France,2022,310.0
Illegal entry,Afghanistan,France,2023,95.0
Illegal entry,Afghanistan,Croatia,2021,3315.0
Illegal entry,Afghanistan,Croatia,2022,13130.0
Illegal entry,Afghanistan,Croatia,2023,21140.0
Illegal entry,Afghanistan,Hungary,2021,14905.0
Illegal entry,Afghanistan,Hungary,2022,25725.0
Illegal entry,Afghanistan,Hungary,2023,4735.0
Illegal entry,Afghanistan,Italy,2021,2300.0
Illegal entry,Afghanistan,Italy,2022,7770.0
Illegal entry,Afghanistan,Italy,2023,3545.0
Illegal entry,Afghanistan,Liechtenstein,2021,5.0
Illegal entry,Afghanistan,Latvia,2021,5.0
Illegal entry,Afghanistan,Latvia,2022,25.0
Illegal entry,Afghanistan,Latvia,2023,5.0
Illegal entry,Afghanistan,Netherlands,2023,5.0
Illegal entry,Afghanistan,Norway,2022,15.0
Illegal entry,Afghanistan,Norway,2023,25.0
Illegal entry,Afghanistan,Poland,2021,660.0
Illegal entry,Afghanistan,Poland,2022,140.0
Illegal entry,Afghanistan,Poland,2023,230.0
Illegal entry,Afghanistan,Romania,2021,340.0
Illegal entry,Afghanistan,Romania,2022,225.0
Illegal entry,Afghanistan,Romania,2023,30.0
Illegal entry,Afghanistan,Slovenia,2021,3415.0
Illegal entry,Afghanistan,Slovenia,2022,6030.0
Illegal entry,Afghanistan,Slovenia,2023,17710.0
Illegal entry,Afghanistan,Slovakia,2021,460.0
Illegal entry,Afghanistan,Slovakia,2022,175.0
Illegal entry,Afghanistan,Slovakia,2023,150.0
Illegal entry,Albania,Belgium,2022,10.0
Illegal entry,Albania,Bulgaria,2021,5.0
Illegal entry,Albania,Bulgaria,2022,10.0
Illegal entry,Albania,Bulgaria,2023,15.0
Illegal entry,Albania,Switzerland,2020,435.0
Illegal entry,Albania,Switzerland,2021,390.0
Illegal entry,Albania,Switzerland,2022,405.0
Illegal entry,Albania,Switzerland,2023,295.0
Illegal entry,Albania,Czechia,2021,35.0
Illegal entry,Albania,Czechia,2022,30.0
Illegal entry,Albania,Czechia,2023,10.0
Illegal entry,Albania,Germany,2022,1875.0
Illegal entry,Albania,Germany,2023,1680.0
Illegal entry,Albania,Denmark,2021,5.0
Illegal entry,Albania,Denmark,2022,5.0
Illegal entry,Albania,Greece,2021,9210.0
Illegal entry,Albania,Greece,2022,6935.0
Illegal entry,Albania,Greece,2023,3725.0
Illegal entry,Albania,Finland,2022,5.0
Illegal entry,Albania,France,2021,70.0
Illegal entry,Albania,France,2022,60.0
Illegal entry,Albania,France,2023,40.0
