geo,year,EU,Ukraine,national,non_EU,foreigners,foreigners_pop_share,non_EU_pop_share,ukraine_pop_share,ukraine_for_share,non_EU_for_share,iso_a3
Austria,1998,27468.0,410.0,13494.0,101367.0,128835.0,,,,0.31823650405557496,78.67970660146699,AUT
Austria,1999,30266.0,582.0,14331.0,128227.0,158493.0,,,,0.367208646438644,80.90388849980756,AUT
Austria,2001,36068.0,777.0,15142.0,134108.0,170176.0,,,,0.4565861226024821,78.8054719819481,AUT
Austria,2002,34008.0,1103.0,21981.0,137932.0,171940.0,,,,0.6415028498313365,80.22100732813773,AUT
Austria,2003,37727.0,1332.0,18528.0,148679.0,186406.0,2.3012310819647683,1.8354813473570584,0.016443890224440583,0.7145692735212386,79.76084460800618,AUT
Austria,2004,45107.0,1390.0,18301.0,163140.0,208247.0,2.5575085418331525,2.0035435973371074,0.017070771118662367,0.6674766023039947,78.33966395674368,AUT
Austria,2005,45534.0,1300.0,16470.0,150223.0,195757.0,2.3868849052943544,1.8316842367222312,0.015851031518069138,0.6640886405083855,76.73952911007014,AUT
Austria,2006,44632.0,1013.0,15636.0,121176.0,165808.0,2.0087474428473504,1.4680351981476802,0.012272394333231004,0.6109476020457396,73.08211907748722,AUT
Austria,2007,38066.0,589.0,8477.0,90818.0,128884.0,1.556009283610834,1.0964406064287942,0.007110963874854763,0.45700009310697987,70.46491418640018,AUT
Austria,2008,39541.0,604.0,8636.0,90810.0,130351.0,1.5689837817551275,1.0930442974828205,0.00727011073317502,0.46336430100267734,69.66574863253831,AUT
Austria,2009,0.0,0.0,8988.0,60233.0,60233.0,0.7226512096036438,0.7226512096036438,0.0,0.0,100.0,AUT
Austria,2010,0.0,0.0,8817.0,62610.0,62610.0,0.7496728488035229,0.7496728488035229,0.0,0.0,100.0,AUT
Austria,2011,46842.0,680.0,8082.0,101928.0,148770.0,1.776323424830845,1.2170269143386325,0.008119243993311653,0.45708140082005777,68.51381326880418,AUT
Austria,2012,52128.0,767.0,8272.0,114725.0,166853.0,1.984426722688696,1.3644546742369668,0.009122133232859042,0.4596860709726526,68.7581284124349,AUT
Austria,2013,0.0,0.0,9237.0,92710.0,92710.0,1.0969183114722676,1.0969183114722676,0.0,0.0,100.0,AUT
Austria,2014,66006.0,1299.0,9203.0,148350.0,214356.0,2.5195274070128235,1.7436968912946331,0.01526836711689739,0.6060012315960365,69.20730000559816,AUT
Austria,2015,67811.0,1584.0,9443.0,245786.0,313597.0,3.652879477353678,2.8629949751459707,0.018450945296441694,0.5051068728336049,78.37638752921744,AUT
Austria,2016,63659.0,1130.0,9768.0,176082.0,239741.0,2.7554945013896375,2.023821468975645,0.012987802614364212,0.471341989897431,73.44676129656588,AUT
Austria,2017,63314.0,1137.0,9684.0,141130.0,204444.0,2.3304131546535825,1.6087104953740883,0.012960418289806125,0.5561425133532899,69.03112832853985,AUT
Austria,2018,64179.0,1234.0,9578.0,128261.0,192440.0,2.1812987523501612,1.453832671353066,0.013987334547911552,0.6412388276865516,66.64986489295364,AUT
Austria,2019,66881.0,1294.0,9979.0,131798.0,198679.0,2.2427367214993046,1.4877677782763419,0.014606985728839485,0.6513018487107344,66.33715692146629,AUT
Austria,2020,64322.0,1140.0,10096.0,122863.0,187185.0,2.102950838236867,1.3803181282597226,0.012807457625290638,0.6090231589069637,65.63720383577744,AUT
Austria,2021,64422.0,1613.0,9631.0,153513.0,217935.0,2.4397536949783403,1.7185578680671296,0.018057323100924876,0.7401289375272444,70.43981003510221,AUT
Austria,2022,73560.0,63844.0,10501.0,308904.0,382464.0,4.259572606042435,3.4403212231659257,0.7110424862475246,16.692812918340028,80.76681726907631,AUT
Austria,2023,68937.0,12081.0,8639.0,209199.0,278136.0,3.054837617021052,2.297685213863675,0.13268866040797067,4.3435585468979205,75.21464319613426,AUT
Belarus,2007,529.0,1578.0,0.0,11601.0,12130.0,0.12486539397296463,0.1194199039967323,0.016243824541577755,13.00906842539159,95.63891178895301,BLR
Belgium,1998,0.0,0.0,24146.0,59666.0,59666.0,,,,0.0,100.0,BEL
Belgium,1999,0.0,0.0,24556.0,68152.0,68152.0,,,,0.0,100.0,BEL
Belgium,2000,0.0,0.0,26479.0,62909.0,62909.0,,,,0.0,100.0,BEL
