reason,geo,year,Migrants number,Migrants number per 100k inhabitants
Total,Austria,2014,455,5.35
Total,Austria,2015,560,6.52
Total,Austria,2016,460,5.29
Total,Austria,2017,740,8.44
Total,Austria,2018,400,4.53
Total,Austria,2019,770,8.69
Total,Austria,2020,310,3.48
Total,Austria,2021,555,6.21
Total,Austria,2022,575,6.4
Total,Austria,2023,680,7.47
Total,Belgium,2014,1535,13.73
Total,Belgium,2015,1640,14.59
Total,Belgium,2016,1530,13.53
Total,Belgium,2017,2440,21.49
Total,Belgium,2018,2200,19.3
Total,Belgium,2019,2300,20.08
Total,Belgium,2020,770,6.68
Total,Belgium,2021,1140,9.87
Total,Belgium,2022,1720,14.81
Total,Belgium,2023,1805,15.37
Total,Bulgaria,2014,2315,32.53
Total,Bulgaria,2015,2405,34.21
Total,Bulgaria,2016,2170,31.27
Total,Bulgaria,2017,2870,41.9
Total,Bulgaria,2018,3220,47.65
Total,Bulgaria,2019,4245,63.7
Total,Bulgaria,2020,4685,71.32
Total,Bulgaria,2021,6180,94.61
Total,Bulgaria,2022,7955,122.72
Total,Bulgaria,2023,7230,112.13
Total,Switzerland,2014,920,11.3
Total,Switzerland,2015,945,11.47
Total,Switzerland,2016,900,10.81
Total,Switzerland,2017,1225,14.55
Total,Switzerland,2018,1205,14.2
Total,Switzerland,2019,1165,13.63
Total,Switzerland,2020,1305,15.16
Total,Switzerland,2021,2100,24.22
Total,Switzerland,2022,1630,18.65
Total,Switzerland,2023,1295,14.69
Total,Cyprus,2014,425,49.53
Total,Cyprus,2015,415,49.0
Total,Cyprus,2016,565,66.6
Total,Cyprus,2017,1425,166.71
Total,Cyprus,2018,2025,234.31
Total,Cyprus,2019,900,102.75
Total,Cyprus,2020,360,40.54
Total,Cyprus,2021,440,49.11
Total,Cyprus,2022,425,46.98
Total,Cyprus,2023,465,50.5
Total,Czechia,2014,330,3.14
Total,Czechia,2015,465,4.41
Total,Czechia,2016,365,3.46
Total,Czechia,2017,230,2.17
Total,Czechia,2018,315,2.97
Total,Czechia,2019,460,4.32
Total,Czechia,2020,440,4.11
Total,Czechia,2021,340,3.24
Total,Czechia,2022,290,2.76
Total,Czechia,2023,405,3.74
Total,Germany,2014,3605,4.46
Total,Germany,2015,3670,4.52
Total,Germany,2016,3775,4.59
Total,Germany,2017,4250,5.15
Total,Germany,2018,5175,6.25
Total,Germany,2019,6730,8.11
Total,Germany,2020,4210,5.06
Total,Germany,2021,4635,5.57
Total,Germany,2022,5970,7.17
Total,Germany,2023,5820,6.9
Total,Denmark,2014,85,1.51
Total,Denmark,2015,125,2.21
Total,Denmark,2016,120,2.1
Total,Denmark,2017,300,5.22
Total,Denmark,2018,325,5.62
Total,Denmark,2019,650,11.2
Total,Denmark,2020,480,8.24
Total,Denmark,2021,640,10.96
Total,Denmark,2022,535,9.11
Total,Denmark,2023,510,8.6
Total,Estonia,2014,695,52.82
Total,Estonia,2015,965,73.39
Total,Estonia,2016,875,66.49
Total,Estonia,2017,1175,89.31
Total,Estonia,2018,1635,123.95
Total,Estonia,2019,2120,160.02
Total,Estonia,2020,500,37.62
Total,Estonia,2021,565,42.48
Total,Estonia,2022,5465,410.35
Total,Estonia,2023,5855,428.66
Total,Greece,2014,6445,58.98
Total,Greece,2015,6890,63.46
Total,Greece,2016,18145,168.26
Total,Greece,2017,21175,196.64
Total,Greece,2018,14295,133.09
Total,Greece,2019,7015,65.41
Total,Greece,2020,3145,29.34
Total,Greece,2021,3075,28.8
Total,Greece,2022,5450,52.1
Total,Greece,2023,7270,69.81
Total,Spain,2014,172185,370.32
Total,Spain,2015,168345,362.61
Total,Spain,2016,192135,413.92
Total,Spain,2017,203025,436.64
Total,Spain,2018,230540,494.24
Total,Spain,2019,493455,1051.72
Total,Spain,2020,3515,7.43
Total,Spain,2021,2545,5.37
Total,Spain,2022,7250,15.27
Total,Spain,2023,7250,15.08
Total,European Union - 27 countries (from 2020),2014,270565,
