geo,year,EU,from_Ukraine,national,non_EU,foreigners,iso_a3,foreigners_pop_share,non_EU_pop_share,ukraine_pop_share,ukraine_for_share,non_EU_for_share
Austria,2015,560680.0,8582.0,7438848.0,1715038.0,2275718.0,AUT,23.42583291935018,17.65429356288279,0.08834156873297273,0.3771117511044866,75.36250097771341
Austria,2016,606439.0,9669.0,7432797.0,1909181.0,2515620.0,AUT,25.286636054761274,19.190801913510462,0.09719134209995418,0.38435852791757097,75.89306016011957
Austria,2017,645156.0,10199.0,7430935.0,2016039.0,2661195.0,AUT,26.369012289774307,19.97634790673525,0.10105894394939421,0.38324887879317376,75.75690620191305
Austria,2018,683174.0,10700.0,7426387.0,2077116.0,2760290.0,AUT,27.09706020913395,20.390515965117967,0.1050391604642024,0.3876404290853497,75.2499193925276
Austria,2019,719239.0,11162.0,7419852.0,2128722.0,2847961.0,AUT,27.736782896221424,20.73199034692198,0.10870864126567166,0.39192952431581757,74.7454757982992
Austria,2020,757420.0,11585.0,7414841.0,2182845.0,2940265.0,AUT,28.39434960878237,21.079890442454186,0.11187717441038267,0.3940121043511384,74.23973689446359
Austria,2021,793687.0,11898.0,7401592.0,2234113.0,3027800.0,AUT,29.03141429529161,21.421315835093743,0.11408143446904671,0.3929585837902107,73.7866767950327
Austria,2022,826339.0,12673.0,7392220.0,2304653.0,3130992.0,AUT,29.753197027675583,21.90066112894048,0.12042900969779949,0.4047598971827459,73.60775754137985
Austria,2023,867389.0,79615.0,7374952.0,2487528.0,3354917.0,AUT,31.26708257109197,23.183209412901498,0.7419941473656388,2.3730840435098695,74.14573892588103
Austria,2024,901726.0,80665.0,7357884.0,2592729.0,3494455.0,AUT,32.20001697329949,23.890969495147544,0.7432959843956221,2.3083714055553726,74.19551832832302
Belgium,2015,828399.0,4870.0,9960371.0,1715202.0,2543601.0,BEL,20.34234401676523,13.717257204350746,0.038947624002996804,0.19146084625694046,67.43203827958865
Belgium,2016,852336.0,5100.0,9977874.0,1800413.0,2652749.0,BEL,21.002519036471913,14.25434834053712,0.040378055777612866,0.19225339449755707,67.8697079897118
Belgium,2017,867549.0,5030.0,9997952.0,1823076.0,2690625.0,BEL,21.20509652106773,14.367852281623069,0.039641955122311986,0.18694541231126596,67.75659930313589
Belgium,2018,881420.0,5125.0,10022157.0,1848398.0,2729818.0,BEL,21.40702126533341,14.49499391270764,0.040189852944347834,0.18774145382585947,67.7114005402558
Belgium,2019,900585.0,5335.0,10041769.0,1897366.0,2797951.0,BEL,21.79137083986255,14.777316016237114,0.04155075032788877,0.19067524770805494,67.81269579059818
Belgium,2020,921070.0,5630.0,10069121.0,1951132.0,2872202.0,BEL,22.194036884791455,15.076758380885789,0.04350405287001955,0.19601685396779195,67.93157305788381
Belgium,2021,937419.0,5835.0,10075908.0,1967340.0,2904759.0,BEL,22.377578902532512,15.155923805764374,0.044951465128872034,0.20087725005757795,67.72816608882182
Belgium,2022,957970.0,6187.0,10102757.0,2016124.0,2974094.0,BEL,22.74319711985707,15.417503801182717,0.047312613717170895,0.2080297394769634,67.78951842140833
Belgium,2023,981635.0,55634.0,10127198.0,2143306.0,3124941.0,BEL,23.580653659005538,16.173283422396942,0.4198114734534553,1.7803216124720436,68.58708692420112
Belgium,2024,996675.0,64135.0,10159203.0,2209369.0,3206044.0,BEL,23.987914327359608,16.53070085423786,0.47986393367814306,2.0004404181602,68.91262253418856
Bulgaria,2015,0.0,0.0,6963308.0,63879.0,63879.0,BGR,0.9090266133518291,0.9090266133518291,0.0,0.0,100.0
Bulgaria,2016,0.0,0.0,6863112.0,71491.0,71491.0,BGR,1.030931402994519,1.030931402994519,0.0,0.0,100.0
Bulgaria,2017,0.0,0.0,6767835.0,76562.0,76562.0,BGR,1.118608403340718,1.118608403340718,0.0,0.0,100.0
Bulgaria,2018,0.0,0.0,6668711.0,82370.0,82370.0,BGR,1.220100899396704,1.220100899396704,0.0,0.0,100.0
Bulgaria,2019,0.0,0.0,6565004.0,91243.0,91243.0,BGR,1.3707874722797997,1.3707874722797997,0.0,0.0,100.0
Bulgaria,2020,0.0,0.0,6457589.0,100768.0,100768.0,BGR,1.5364823842312945,1.5364823842312945,0.0,0.0,100.0
Bulgaria,2021,0.0,0.0,6410333.0,108438.0,108438.0,BGR,1.6634730687732395,1.6634730687732395,0.0,0.0,100.0
Bulgaria,2022,0.0,0.0,6417071.0,63861.0,63861.0,BGR,0.9853675366444209,0.9853675366444209,0.0,0.0,100.0
Bulgaria,2023,18598.0,8290.0,6362447.0,140850.0,159448.0,BGR,2.444810902352767,2.1596483844036127,0.12711029539727334,5.199187195825599,88.33600923184987
Bulgaria,2024,25298.0,17738.0,6322795.0,195553.0,220851.0,BGR,3.3750450436958235,2.9884410006287014,0.27107212095519834,8.03165935404413,88.5452182693309
Croatia,2015,0.0,0.0,4155133.0,24820.0,24820.0,HRV,0.5937865808538996,0.5937865808538996,0.0,0.0,100.0
Croatia,2016,0.0,0.0,4105450.0,24905.0,24905.0,HRV,0.6029748048291248,0.6029748048291248,0.0,0.0,100.0
Croatia,2017,0.0,0.0,4053451.0,24756.0,24756.0,HRV,0.6070314724093211,0.6070314724093211,0.0,0.0,100.0
Croatia,2018,0.0,0.0,3989351.0,24660.0,24660.0,HRV,0.6143480922199765,0.6143480922199765,0.0,0.0,100.0
Croatia,2019,0.0,0.0,3944089.0,24488.0,24488.0,HRV,0.6170473698759027,0.6170473698759027,0.0,0.0,100.0
Croatia,2020,0.0,0.0,3908418.0,25227.0,25227.0,HRV,0.6413135908298792,0.6413135908298792,0.0,0.0,100.0
Croatia,2021,0.0,0.0,3866581.0,26818.0,26818.0,HRV,0.6888068754319812,0.6888068754319812,0.0,0.0,100.0
Croatia,2022,10771.0,0.0,3826213.0,36477.0,47248.0,HRV,1.2197876782546668,0.9417159486051364,0.0,0.0,77.20326786318998
Croatia,2023,0.0,0.0,3780514.0,70753.0,70753.0,HRV,1.837135675090821,1.837135675090821,0.0,0.0,100.0
Croatia,2024,0.0,0.0,3746587.0,115732.0,115732.0,HRV,2.996438150240827,2.996438150240827,0.0,0.0,100.0
Cyprus,2015,0.0,0.0,694739.0,144599.0,144599.0,CYP,17.22774376949453,17.22774376949453,0.0,0.0,100.0
Cyprus,2016,0.0,0.0,701051.0,139606.0,139606.0,CYP,16.60677303585172,16.60677303585172,0.0,0.0,100.0
Cyprus,2017,0.0,0.0,706845.0,140384.0,140384.0,CYP,16.569782195840794,16.569782195840794,0.0,0.0,100.0
Cyprus,2018,0.0,0.0,713471.0,149168.0,149168.0,CYP,17.292053802343737,17.292053802343737,0.0,0.0,100.0
Cyprus,2019,0.0,0.0,720289.0,155610.0,155610.0,CYP,17.76574696397644,17.76574696397644,0.0,0.0,100.0
Cyprus,2020,0.0,0.0,727000.0,161005.0,161005.0,CYP,18.13109160421394,18.13109160421394,0.0,0.0,100.0
Cyprus,2021,0.0,0.0,730446.0,165561.0,165561.0,CYP,18.477645821963446,18.477645821963446,0.0,0.0,100.0
Cyprus,2022,0.0,0.0,734644.0,170061.0,170061.0,CYP,18.79739804687716,18.79739804687716,0.0,0.0,100.0
Cyprus,2023,0.0,0.0,729624.0,219460.0,219460.0,CYP,23.123348407517145,23.123348407517145,0.0,0.0,100.0
Cyprus,2024,0.0,0.0,734380.0,231985.0,231985.0,CYP,24.005939784656935,24.005939784656935,0.0,0.0,100.0
Czechia,2015,178681.0,108738.0,10080950.0,628973.0,807654.0,CZE,7.4174246762945915,5.776433783430824,0.9986404134083672,13.463438551657022,77.87654119214416
Czechia,2016,189470.0,112027.0,10077497.0,653043.0,842513.0,CZE,7.715313447515158,5.98024177633537,1.0258873389310081,13.296768121085373,77.51132623472871
Czechia,2017,201969.0,118032.0,10067977.0,703708.0,905677.0,CZE,8.253194423662347,6.412704464711572,1.0755943280150804,13.0324608000424,77.69966555405514
Czechia,2018,212652.0,114213.0,10094632.0,705830.0,918482.0,CZE,8.339893694008797,6.408995675519204,1.037063631594116,12.434974229217339,76.8474504671839
Czechia,2019,225400.0,129284.0,10092342.0,762113.0,987513.0,CZE,8.912688839339504,6.878366188005168,1.1668383746899216,13.091878284133982,77.17498402552675
Czechia,2020,236666.0,143129.0,10107293.0,795324.0,1031990.0,CZE,9.264420340160134,7.139813217780714,1.284903166568261,13.869223538987782,77.06702584327367
Czechia,2021,161422.0,145155.0,10006304.0,671617.0,833039.0,CZE,7.685327422519982,6.196104321082929,1.3391494299977407,17.424754423262296,80.6225158726062
Czechia,2022,173281.0,170977.0,9978470.0,733605.0,906886.0,CZE,8.331247962859461,6.739375358968508,1.5707065529138413,18.853196542895137,80.89274726922679
Czechia,2023,179800.0,469755.0,9972441.0,1062180.0,1241980.0,CZE,11.074847288148002,9.471554527870856,4.188847556195723,37.82307283531136,85.52311631427237
Czechia,2024,189495.0,538875.0,9954995.0,1164453.0,1353948.0,CZE,11.9723655871287,10.296744797458082,4.765034185776691,39.8002729794645,86.0042630883904
Denmark,2015,156941.0,7909.0,5237156.0,684890.0,841831.0,DNK,13.848211881354574,11.26651529276177,0.13010391369483107,0.9394997333193954,81.35718451803272
Denmark,2016,172497.0,8584.0,5244104.0,750263.0,922760.0,DNK,14.963196853376367,12.166037713820185,0.13919554574253623,0.9302527201005679,81.30640686635745
Denmark,2017,184704.0,9163.0,5263783.0,781488.0,966192.0,DNK,15.508762073684085,12.54399897270856,0.14707924189101884,0.9483622302813519,80.88330269760048
Denmark,2018,195039.0,10203.0,5275198.0,812239.0,1007278.0,DNK,16.033137253528704,12.92864469358896,0.16240412219640793,1.0129279106661715,80.63702374121146
