Sex,geo,Age class,year,Country of citizenship,Number
Females,Austria,Total,2012,Foreign country and stateless,470822
Females,Austria,Total,2013,Foreign country and stateless,496844
Females,Austria,Total,2014,Foreign country and stateless,526542
Females,Austria,Total,2015,Foreign country and stateless,562672
Females,Austria,Total,2016,Foreign country and stateless,611580
Females,Austria,Total,2017,Foreign country and stateless,646846
Females,Austria,Total,2018,Foreign country and stateless,675046
Females,Austria,Total,2019,Foreign country and stateless,697605
Females,Austria,Total,2020,Foreign country and stateless,722254
Females,Austria,Total,2021,Foreign country and stateless,743666
Females,Austria,Total,2022,Foreign country and stateless,767225
Females,Austria,Total,2023,Foreign country and stateless,843795
Females,Austria,Total,2024,Foreign country and stateless,877037
Females,Belgium,Total,2012,Foreign country and stateless,583505
Females,Belgium,Total,2013,Foreign country and stateless,595324
Females,Belgium,Total,2014,Foreign country and stateless,605081
Females,Belgium,Total,2015,Foreign country and stateless,623726
Females,Belgium,Total,2016,Foreign country and stateless,646151
Females,Belgium,Total,2017,Foreign country and stateless,657466
Females,Belgium,Total,2018,Foreign country and stateless,668306
Females,Belgium,Total,2019,Foreign country and stateless,685832
Females,Belgium,Total,2020,Foreign country and stateless,703828
Females,Belgium,Total,2021,Foreign country and stateless,712512
Females,Belgium,Total,2022,Foreign country and stateless,729954
Females,Belgium,Total,2023,Foreign country and stateless,782547
Females,Belgium,Total,2024,Foreign country and stateless,803504
Females,Bulgaria,Total,2012,Foreign country and stateless,21734
Females,Bulgaria,Total,2013,Foreign country and stateless,23565
Females,Bulgaria,Total,2014,Foreign country and stateless,27057
Females,Bulgaria,Total,2015,Foreign country and stateless,32120
Females,Bulgaria,Total,2016,Foreign country and stateless,35817
Females,Bulgaria,Total,2017,Foreign country and stateless,38468
Females,Bulgaria,Total,2018,Foreign country and stateless,41672
Females,Bulgaria,Total,2019,Foreign country and stateless,45747
Females,Bulgaria,Total,2020,Foreign country and stateless,50383
Females,Bulgaria,Total,2021,Foreign country and stateless,54170
Females,Bulgaria,Total,2022,Foreign country and stateless,31892
Females,Bulgaria,Total,2023,Foreign country and stateless,39432
Females,Bulgaria,Total,2024,Foreign country and stateless,55578
Females,Switzerland,Total,2012,Foreign country and stateless,851545
Females,Switzerland,Total,2013,Foreign country and stateless,876505
Females,Switzerland,Total,2014,Foreign country and stateless,908577
Females,Switzerland,Total,2015,Foreign country and stateless,937887
Females,Switzerland,Total,2016,Foreign country and stateless,961890
Females,Switzerland,Total,2017,Foreign country and stateless,984152
Females,Switzerland,Total,2018,Foreign country and stateless,997717
Females,Switzerland,Total,2019,Foreign country and stateless,1009948
Females,Switzerland,Total,2020,Foreign country and stateless,1024511
Females,Switzerland,Total,2021,Foreign country and stateless,1043026
Females,Switzerland,Total,2022,Foreign country and stateless,1059781
Females,Switzerland,Total,2023,Foreign country and stateless,1083564
Females,Switzerland,Total,2024,Foreign country and stateless,1147204
Females,Cyprus,Total,2012,Foreign country and stateless,94959
Females,Cyprus,Total,2013,Foreign country and stateless,96965
Females,Cyprus,Total,2014,Foreign country and stateless,92924
Females,Cyprus,Total,2015,Foreign country and stateless,91230
Females,Cyprus,Total,2016,Foreign country and stateless,89583
Females,Cyprus,Total,2017,Foreign country and stateless,89806
Females,Cyprus,Total,2018,Foreign country and stateless,92150
Females,Cyprus,Total,2019,Foreign country and stateless,94953
Females,Cyprus,Total,2020,Foreign country and stateless,96346
Females,Cyprus,Total,2021,Foreign country and stateless,101420
Females,Cyprus,Total,2022,Foreign country and stateless,108604
Females,Cyprus,Total,2023,Foreign country and stateless,114608
Females,Cyprus,Total,2024,Foreign country and stateless,119077
Females,Czechia,Total,2012,Foreign country and stateless,179606
Females,Czechia,Total,2013,Foreign country and stateless,181216
Females,Czechia,Total,2014,Foreign country and stateless,187538
Females,Czechia,Total,2015,Foreign country and stateless,196527
Females,Czechia,Total,2016,Foreign country and stateless,205060
Females,Czechia,Total,2017,Foreign country and stateless,220364
Females,Czechia,Total,2018,Foreign country and stateless,223540
Females,Czechia,Total,2019,Foreign country and stateless,239688
Females,Czechia,Total,2020,Foreign country and stateless,249456
Females,Czechia,Total,2021,Foreign country and stateless,221705
Females,Czechia,Total,2022,Foreign country and stateless,240293
Females,Czechia,Total,2023,Foreign country and stateless,429557
Females,Czechia,Total,2024,Foreign country and stateless,477450
Females,Germany,Total,2012,Foreign country and stateless,3151709
Females,Germany,Total,2013,Foreign country and stateless,3280251
Females,Germany,Total,2014,Foreign country and stateless,3440178
Females,Germany,Total,2015,Foreign country and stateless,3659559
Females,Germany,Total,2016,Foreign country and stateless,4047813
Females,Germany,Total,2017,Foreign country and stateless,4310525
Females,Germany,Total,2018,Foreign country and stateless,4531748
Females,Germany,Total,2019,Foreign country and stateless,4735291
Females,Germany,Total,2020,Foreign country and stateless,4901083
Females,Germany,Total,2021,Foreign country and stateless,5008273
Females,Germany,Total,2022,Foreign country and stateless,5171053
Females,Germany,Total,2023,Foreign country and stateless,5520406
Females,Germany,Total,2024,Foreign country and stateless,5769827
Females,Denmark,Total,2012,Foreign country and stateless,182613
Females,Denmark,Total,2013,Foreign country and stateless,190220
Females,Denmark,Total,2014,Foreign country and stateless,200915
Females,Denmark,Total,2015,Foreign country and stateless,211581
Females,Denmark,Total,2016,Foreign country and stateless,229333
Females,Denmark,Total,2017,Foreign country and stateless,238789
Females,Denmark,Total,2018,Foreign country and stateless,249080
Females,Denmark,Total,2019,Foreign country and stateless,258998
Females,Denmark,Total,2020,Foreign country and stateless,265385
Females,Denmark,Total,2021,Foreign country and stateless,267112
Females,Denmark,Total,2022,Foreign country and stateless,277175
Females,Denmark,Total,2023,Foreign country and stateless,310127
Females,Denmark,Total,2024,Foreign country and stateless,323762
Females,Estonia,Total,2012,Foreign country and stateless,102190
Females,Estonia,Total,2013,Foreign country and stateless,97743
Females,Estonia,Total,2014,Foreign country and stateless,96361
Females,Estonia,Total,2015,Foreign country and stateless,96926
Females,Estonia,Total,2016,Foreign country and stateless,96531
Females,Estonia,Total,2017,Foreign country and stateless,95551
Females,Estonia,Total,2018,Foreign country and stateless,95242
Females,Estonia,Total,2019,Foreign country and stateless,95451
Females,Estonia,Total,2020,Foreign country and stateless,95123
Females,Estonia,Total,2021,Foreign country and stateless,94871
Females,Estonia,Total,2022,Foreign country and stateless,95057
Females,Estonia,Total,2023,Foreign country and stateless,115789
Females,Estonia,Total,2024,Foreign country and stateless,121116
Females,Greece,Total,2012,Foreign country and stateless,456867
Females,Greece,Total,2013,Foreign country and stateless,449416
Females,Greece,Total,2014,Foreign country and stateless,443856
Females,Greece,Total,2015,Foreign country and stateless,434198
Females,Greece,Total,2016,Foreign country and stateless,426514
Females,Greece,Total,2017,Foreign country and stateless,426195
Females,Greece,Total,2018,Foreign country and stateless,422547
Females,Greece,Total,2019,Foreign country and stateless,422930
Females,Greece,Total,2020,Foreign country and stateless,459682
Females,Greece,Total,2021,Foreign country and stateless,466301
Females,Greece,Total,2022,Foreign country and stateless,368530
Females,Greece,Total,2023,Foreign country and stateless,379152
Females,Greece,Total,2024,Foreign country and stateless,365806
Females,Spain,Total,2012,Foreign country and stateless,2517872
Females,Spain,Total,2013,Foreign country and stateless,2459806
Females,Spain,Total,2014,Foreign country and stateless,2282615
Females,Spain,Total,2015,Foreign country and stateless,2179814
Females,Spain,Total,2016,Foreign country and stateless,2172689
Females,Spain,Total,2017,Foreign country and stateless,2179202
Females,Spain,Total,2018,Foreign country and stateless,2273660
Females,Spain,Total,2019,Foreign country and stateless,2415188
Females,Spain,Total,2020,Foreign country and stateless,2611104
Females,Spain,Total,2021,Foreign country and stateless,2688628
Females,Spain,Total,2022,Foreign country and stateless,2738916
Females,Spain,Total,2023,Foreign country and stateless,3046209
Females,Spain,Total,2024,Foreign country and stateless,3248304
Females,Finland,Total,2012,Foreign country and stateless,85564
Females,Finland,Total,2013,Foreign country and stateless,91169
Females,Finland,Total,2014,Foreign country and stateless,97029
Females,Finland,Total,2015,Foreign country and stateless,102788
Females,Finland,Total,2016,Foreign country and stateless,106812
Females,Finland,Total,2017,Foreign country and stateless,111714
Females,Finland,Total,2018,Foreign country and stateless,113541
Females,Finland,Total,2019,Foreign country and stateless,116862
Females,Finland,Total,2020,Foreign country and stateless,120992
Females,Finland,Total,2021,Foreign country and stateless,125607
Females,Finland,Total,2022,Foreign country and stateless,132502
Females,Finland,Total,2023,Foreign country and stateless,143925
Females,Finland,Total,2024,Foreign country and stateless,168411
Females,France,Total,2012,Foreign country and stateless,1950762
Females,France,Total,2013,Foreign country and stateless,2029577
Females,France,Total,2014,Foreign country and stateless,2095991
Females,France,Total,2015,Foreign country and stateless,2203815
Females,France,Total,2016,Foreign country and stateless,2264987
Females,France,Total,2017,Foreign country and stateless,2294015
Females,France,Total,2018,Foreign country and stateless,2476282
Females,France,Total,2019,Foreign country and stateless,2522065
Females,France,Total,2020,Foreign country and stateless,2591831
Females,France,Total,2021,Foreign country and stateless,2655047
Females,France,Total,2022,Foreign country and stateless,2730059
Females,France,Total,2023,Foreign country and stateless,2823699
Females,France,Total,2024,Foreign country and stateless,3029708
Females,Croatia,Total,2013,Foreign country and stateless,13594
Females,Croatia,Total,2014,Foreign country and stateless,13306
Females,Croatia,Total,2015,Foreign country and stateless,13252
Females,Croatia,Total,2016,Foreign country and stateless,12995
Females,Croatia,Total,2017,Foreign country and stateless,12687
Females,Croatia,Total,2018,Foreign country and stateless,12455
Females,Croatia,Total,2019,Foreign country and stateless,12119
Females,Croatia,Total,2020,Foreign country and stateless,11934
Females,Croatia,Total,2021,Foreign country and stateless,12458
Females,Croatia,Total,2022,Foreign country and stateless,15743
Females,Croatia,Total,2023,Foreign country and stateless,28778
Females,Croatia,Total,2024,Foreign country and stateless,44146
Females,Hungary,Total,2012,Foreign country and stateless,63331
Females,Hungary,Total,2013,Foreign country and stateless,61961
Females,Hungary,Total,2014,Foreign country and stateless,61652
Females,Hungary,Total,2015,Foreign country and stateless,64093
Females,Hungary,Total,2016,Foreign country and stateless,68796
Females,Hungary,Total,2017,Foreign country and stateless,65881
Females,Hungary,Total,2018,Foreign country and stateless,68847
Females,Hungary,Total,2019,Foreign country and stateless,75047
Females,Hungary,Total,2020,Foreign country and stateless,82794
Females,Hungary,Total,2021,Foreign country and stateless,81772
Females,Hungary,Total,2022,Foreign country and stateless,86839
Females,Hungary,Total,2023,Foreign country and stateless,99632
Females,Hungary,Total,2024,Foreign country and stateless,108646
Females,Ireland,Total,2012,Foreign country and stateless,276928
Females,Ireland,Total,2013,Foreign country and stateless,269194
Females,Ireland,Total,2014,Foreign country and stateless,265182
Females,Ireland,Total,2015,Foreign country and stateless,267719
Females,Ireland,Total,2016,Foreign country and stateless,273605
