year,geo,Refugees,Refugees_change,Refugees_arrived
2008,Austria,37546,,
2009,Austria,38895,1349.0,1349.0
2010,Austria,42613,3718.0,3718.0
2011,Austria,47055,4442.0,4442.0
2012,Austria,51707,4652.0,4652.0
2013,Austria,55575,3868.0,3868.0
2014,Austria,60724,5149.0,5149.0
2015,Austria,72198,11474.0,11474.0
2016,Austria,93242,21044.0,21044.0
2017,Austria,115252,22010.0,22010.0
2018,Austria,128779,13527.0,13527.0
2019,Austria,135951,7172.0,7172.0
2020,Austria,141816,5865.0,5865.0
2021,Austria,152514,10698.0,10698.0
2022,Austria,258613,106099.0,106099.0
2023,Austria,257811,-802.0,0.0
2024,Austria,266205,8394.0,8394.0
2008,Belgium,17025,,
2009,Belgium,15536,-1489.0,0.0
2010,Belgium,17891,2355.0,2355.0
2011,Belgium,22396,4505.0,4505.0
2012,Belgium,22023,-373.0,0.0
2013,Belgium,25617,3594.0,3594.0
2014,Belgium,29170,3553.0,3553.0
2015,Belgium,35302,6132.0,6132.0
2016,Belgium,42158,6856.0,6856.0
2017,Belgium,42158,0.0,0.0
2018,Belgium,42158,0.0,0.0
2019,Belgium,61662,19504.0,19504.0
2020,Belgium,64973,3311.0,3311.0
2021,Belgium,74063,9090.0,9090.0
2022,Belgium,150713,76650.0,76650.0
2023,Belgium,167831,17118.0,17118.0
2024,Belgium,172442,4611.0,4611.0
2008,Bulgaria,5108,,
2009,Bulgaria,5375,267.0,267.0
2010,Bulgaria,5519,144.0,144.0
2011,Bulgaria,5676,157.0,157.0
2012,Bulgaria,2273,-3403.0,0.0
2013,Bulgaria,4305,2032.0,2032.0
2014,Bulgaria,11026,6721.0,6721.0
2015,Bulgaria,16543,5517.0,5517.0
2016,Bulgaria,17794,1251.0,1251.0
2017,Bulgaria,19166,1372.0,1372.0
2018,Bulgaria,19906,740.0,740.0
2019,Bulgaria,20438,532.0,532.0
2020,Bulgaria,21113,675.0,675.0
2021,Bulgaria,22830,1717.0,1717.0
2022,Bulgaria,176297,153467.0,153467.0
2023,Bulgaria,97618,-78679.0,0.0
2024,Bulgaria,94545,-3073.0,0.0
2008,Croatia,1591,,
2009,Croatia,1240,-351.0,0.0
2010,Croatia,933,-307.0,0.0
2011,Croatia,818,-115.0,0.0
2012,Croatia,722,-96.0,0.0
2013,Croatia,679,-43.0,0.0
2014,Croatia,724,45.0,45.0
2015,Croatia,517,-207.0,0.0
2016,Croatia,300,-217.0,0.0
2017,Croatia,508,208.0,208.0
2018,Croatia,787,279.0,279.0
2019,Croatia,916,129.0,129.0
2020,Croatia,956,40.0,40.0
2021,Croatia,1020,64.0,64.0
2022,Croatia,20638,19618.0,19618.0
2023,Croatia,25029,4391.0,4391.0
2024,Croatia,26821,1792.0,1792.0
2008,Cyprus,1458,,
2009,Cyprus,2888,1430.0,1430.0
2010,Cyprus,3397,509.0,509.0
2011,Cyprus,3498,101.0,101.0
2012,Cyprus,3627,129.0,129.0
2013,Cyprus,3879,252.0,252.0
2014,Cyprus,5120,1241.0,1241.0
2015,Cyprus,7062,1942.0,1942.0
2016,Cyprus,8478,1416.0,1416.0
2017,Cyprus,9790,1312.0,1312.0
2018,Cyprus,11002,1212.0,1212.0
2019,Cyprus,12311,1309.0,1309.0
2020,Cyprus,13997,1686.0,1686.0
2021,Cyprus,16277,2280.0,2280.0
2022,Cyprus,29280,13003.0,13003.0
2023,Cyprus,39044,9764.0,9764.0
2024,Cyprus,43449,4405.0,4405.0
2008,Czechia,2095,,
2009,Czechia,2299,204.0,204.0
2010,Czechia,2424,125.0,125.0
2011,Czechia,2424,0.0,0.0
2012,Czechia,2780,356.0,356.0
2013,Czechia,2966,186.0,186.0
2014,Czechia,3129,163.0,163.0
2015,Czechia,3640,511.0,511.0
2016,Czechia,3640,0.0,0.0
2017,Czechia,3640,0.0,0.0
2018,Czechia,2186,-1454.0,0.0
2019,Czechia,2054,-132.0,0.0
2020,Czechia,1919,-135.0,0.0
2021,Czechia,1909,-10.0,0.0
2022,Czechia,435212,433303.0,433303.0
2023,Czechia,377120,-58092.0,0.0
2024,Czechia,361546,-15574.0,0.0
2008,Denmark,23385,,
2009,Denmark,20340,-3045.0,0.0
2010,Denmark,17907,-2433.0,0.0
2011,Denmark,13386,-4521.0,0.0
