year,geo,Country of Origin,iso_a3,Refugees
2008,Austria,Ukraine,AUT,221
2009,Austria,Ukraine,AUT,259
2010,Austria,Ukraine,AUT,282
2011,Austria,Ukraine,AUT,308
2012,Austria,Ukraine,AUT,309
2013,Austria,Ukraine,AUT,311
2014,Austria,Ukraine,AUT,300
2015,Austria,Ukraine,AUT,287
2016,Austria,Ukraine,AUT,301
2017,Austria,Ukraine,AUT,292
2018,Austria,Ukraine,AUT,282
2019,Austria,Ukraine,AUT,265
2020,Austria,Ukraine,AUT,251
2021,Austria,Ukraine,AUT,253
2022,Austria,Ukraine,AUT,89862
2023,Austria,Ukraine,AUT,83748
2024,Austria,Ukraine,AUT,77150
2008,Belgium,Ukraine,BEL,100
2009,Belgium,Ukraine,BEL,89
2010,Belgium,Ukraine,BEL,86
2011,Belgium,Ukraine,BEL,84
2012,Belgium,Ukraine,BEL,85
2013,Belgium,Ukraine,BEL,33
2014,Belgium,Ukraine,BEL,33
2015,Belgium,Ukraine,BEL,122
2016,Belgium,Ukraine,BEL,166
2017,Belgium,Ukraine,BEL,166
2018,Belgium,Ukraine,BEL,166
2019,Belgium,Ukraine,BEL,254
2020,Belgium,Ukraine,BEL,254
2021,Belgium,Ukraine,BEL,289
2022,Belgium,Ukraine,BEL,61975
2023,Belgium,Ukraine,BEL,75260
2024,Belgium,Ukraine,BEL,81295
2009,Bulgaria,Ukraine,BGR,0
2010,Bulgaria,Ukraine,BGR,0
2014,Bulgaria,Ukraine,BGR,0
2015,Bulgaria,Ukraine,BGR,0
2016,Bulgaria,Ukraine,BGR,0
2017,Bulgaria,Ukraine,BGR,0
2018,Bulgaria,Ukraine,BGR,0
2019,Bulgaria,Ukraine,BGR,0
2020,Bulgaria,Ukraine,BGR,0
2021,Bulgaria,Ukraine,BGR,0
2022,Bulgaria,Ukraine,BGR,149215
2023,Bulgaria,Ukraine,BGR,68276
2024,Bulgaria,Ukraine,BGR,61070
2008,Cyprus,Ukraine,CYP,21
2009,Cyprus,Ukraine,CYP,28
2010,Cyprus,Ukraine,CYP,28
2011,Cyprus,Ukraine,CYP,28
2012,Cyprus,Ukraine,CYP,28
2013,Cyprus,Ukraine,CYP,28
2014,Cyprus,Ukraine,CYP,29
2015,Cyprus,Ukraine,CYP,29
2016,Cyprus,Ukraine,CYP,29
2017,Cyprus,Ukraine,CYP,30
2018,Cyprus,Ukraine,CYP,30
2019,Cyprus,Ukraine,CYP,30
2020,Cyprus,Ukraine,CYP,30
2021,Cyprus,Ukraine,CYP,31
2022,Cyprus,Ukraine,CYP,12472
2023,Cyprus,Ukraine,CYP,19019
2024,Cyprus,Ukraine,CYP,20407
2008,Czechia,Ukraine,CZE,85
2009,Czechia,Ukraine,CZE,87
2010,Czechia,Ukraine,CZE,94
2011,Czechia,Ukraine,CZE,94
2012,Czechia,Ukraine,CZE,105
2013,Czechia,Ukraine,CZE,110
2014,Czechia,Ukraine,CZE,292
2015,Czechia,Ukraine,CZE,444
2016,Czechia,Ukraine,CZE,444
2017,Czechia,Ukraine,CZE,444
2018,Czechia,Ukraine,CZE,318
2019,Czechia,Ukraine,CZE,305
2020,Czechia,Ukraine,CZE,284
2021,Czechia,Ukraine,CZE,225
2022,Czechia,Ukraine,CZE,433501
2023,Czechia,Ukraine,CZE,374247
2024,Czechia,Ukraine,CZE,359495
2008,Denmark,Ukraine,DNK,49
2009,Denmark,Ukraine,DNK,35
2010,Denmark,Ukraine,DNK,19
2011,Denmark,Ukraine,DNK,10
2012,Denmark,Ukraine,DNK,9
2013,Denmark,Ukraine,DNK,16
2014,Denmark,Ukraine,DNK,12
2015,Denmark,Ukraine,DNK,15
2016,Denmark,Ukraine,DNK,25
2017,Denmark,Ukraine,DNK,26
2018,Denmark,Ukraine,DNK,27
2019,Denmark,Ukraine,DNK,28
2020,Denmark,Ukraine,DNK,29
2021,Denmark,Ukraine,DNK,29
2022,Denmark,Ukraine,DNK,32839
2023,Denmark,Ukraine,DNK,35940
2024,Denmark,Ukraine,DNK,33780
2014,Estonia,Ukraine,EST,0
2015,Estonia,Ukraine,EST,59
2016,Estonia,Ukraine,EST,80
2017,Estonia,Ukraine,EST,88
2018,Estonia,Ukraine,EST,64
2019,Estonia,Ukraine,EST,62
2020,Estonia,Ukraine,EST,29
2021,Estonia,Ukraine,EST,28
2022,Estonia,Ukraine,EST,40298
2023,Estonia,Ukraine,EST,41463
2024,Estonia,Ukraine,EST,39930
2008,Finland,Ukraine,FIN,19
2009,Finland,Ukraine,FIN,18
2010,Finland,Ukraine,FIN,15
2011,Finland,Ukraine,FIN,11
2012,Finland,Ukraine,FIN,8
2013,Finland,Ukraine,FIN,5
2014,Finland,Ukraine,FIN,9
2015,Finland,Ukraine,FIN,10
2016,Finland,Ukraine,FIN,10
2017,Finland,Ukraine,FIN,10
2018,Finland,Ukraine,FIN,8
2019,Finland,Ukraine,FIN,11
2020,Finland,Ukraine,FIN,11
2021,Finland,Ukraine,FIN,11
2022,Finland,Ukraine,FIN,44953
2023,Finland,Ukraine,FIN,63503
2024,Finland,Ukraine,FIN,63085
2008,France,Ukraine,FRA,678
2009,France,Ukraine,FRA,702
2010,France,Ukraine,FRA,712
2011,France,Ukraine,FRA,716
2012,France,Ukraine,FRA,719
2013,France,Ukraine,FRA,732
2014,France,Ukraine,FRA,737
2015,France,Ukraine,FRA,1038
2016,France,Ukraine,FRA,1382
2017,France,Ukraine,FRA,1605
2018,France,Ukraine,FRA,1715
2019,France,Ukraine,FRA,1839
2020,France,Ukraine,FRA,1921
2021,France,Ukraine,FRA,2801
2022,France,Ukraine,FRA,69302
2023,France,Ukraine,FRA,68181
2024,France,Ukraine,FRA,67756
2008,Germany,Ukraine,DEU,22156
2009,Germany,Ukraine,DEU,18412
2010,Germany,Ukraine,DEU,19398
2011,Germany,Ukraine,DEU,19922
2012,Germany,Ukraine,DEU,20059
2013,Germany,Ukraine,DEU,261
2014,Germany,Ukraine,DEU,299
2015,Germany,Ukraine,DEU,320
2016,Germany,Ukraine,DEU,355
2017,Germany,Ukraine,DEU,631
2018,Germany,Ukraine,DEU,741
2019,Germany,Ukraine,DEU,847
2020,Germany,Ukraine,DEU,895
2021,Germany,Ukraine,DEU,918
2022,Germany,Ukraine,DEU,1002999
2023,Germany,Ukraine,DEU,1097503
2024,Germany,Ukraine,DEU,1142420
2008,Greece,Ukraine,GRC,5
2009,Greece,Ukraine,GRC,5
2010,Greece,Ukraine,GRC,5
2011,Greece,Ukraine,GRC,5
2012,Greece,Ukraine,GRC,5
2013,Greece,Ukraine,GRC,6
2014,Greece,Ukraine,GRC,10
2015,Greece,Ukraine,GRC,85
2016,Greece,Ukraine,GRC,112
2017,Greece,Ukraine,GRC,134
2018,Greece,Ukraine,GRC,145
2019,Greece,Ukraine,GRC,151
2020,Greece,Ukraine,GRC,158
2021,Greece,Ukraine,GRC,169
2022,Greece,Ukraine,GRC,21827
2023,Greece,Ukraine,GRC,27043
2024,Greece,Ukraine,GRC,30711
2011,Croatia,Ukraine,HRV,0
2012,Croatia,Ukraine,HRV,5
2013,Croatia,Ukraine,HRV,5
2014,Croatia,Ukraine,HRV,5
2015,Croatia,Ukraine,HRV,5
2016,Croatia,Ukraine,HRV,5
2017,Croatia,Ukraine,HRV,5
2018,Croatia,Ukraine,HRV,8
2019,Croatia,Ukraine,HRV,8
2020,Croatia,Ukraine,HRV,8
2021,Croatia,Ukraine,HRV,8
2022,Croatia,Ukraine,HRV,19416
2023,Croatia,Ukraine,HRV,23733
2024,Croatia,Ukraine,HRV,25475
2008,Hungary,Ukraine,HUN,49
2009,Hungary,Ukraine,HUN,47
2010,Hungary,Ukraine,HUN,44
2011,Hungary,Ukraine,HUN,44
2012,Hungary,Ukraine,HUN,41
2013,Hungary,Ukraine,HUN,9
2014,Hungary,Ukraine,HUN,10
2015,Hungary,Ukraine,HUN,17
2016,Hungary,Ukraine,HUN,19
2017,Hungary,Ukraine,HUN,19
2018,Hungary,Ukraine,HUN,19
2019,Hungary,Ukraine,HUN,15
2020,Hungary,Ukraine,HUN,14
2021,Hungary,Ukraine,HUN,13
2022,Hungary,Ukraine,HUN,29632
2023,Hungary,Ukraine,HUN,57401
2024,Hungary,Ukraine,HUN,62625
2008,Ireland,Ukraine,IRL,199
2009,Ireland,Ukraine,IRL,193
2010,Ireland,Ukraine,IRL,187
2011,Ireland,Ukraine,IRL,175
2012,Ireland,Ukraine,IRL,134
2013,Ireland,Ukraine,IRL,104
2014,Ireland,Ukraine,IRL,97
2015,Ireland,Ukraine,IRL,103
2016,Ireland,Ukraine,IRL,108
2017,Ireland,Ukraine,IRL,110
2018,Ireland,Ukraine,IRL,78
2019,Ireland,Ukraine,IRL,81
2020,Ireland,Ukraine,IRL,85
2021,Ireland,Ukraine,IRL,79
2022,Ireland,Ukraine,IRL,70578
2023,Ireland,Ukraine,IRL,100545
2024,Ireland,Ukraine,IRL,105367
2008,Italy,Ukraine,ITA,63
2009,Italy,Ukraine,ITA,76
2010,Italy,Ukraine,ITA,71
2011,Italy,Ukraine,ITA,60
2012,Italy,Ukraine,ITA,60
2013,Italy,Ukraine,ITA,77
2014,Italy,Ukraine,ITA,236
2015,Italy,Ukraine,ITA,1870
2016,Italy,Ukraine,ITA,3720
2017,Italy,Ukraine,ITA,4947
2018,Italy,Ukraine,ITA,5861
2019,Italy,Ukraine,ITA,6353
2020,Italy,Ukraine,ITA,2920
2021,Italy,Ukraine,ITA,3379
2022,Italy,Ukraine,ITA,149872
2023,Italy,Ukraine,ITA,164667
2024,Italy,Ukraine,ITA,169768
2012,Lithuania,Ukraine,LTU,5
2013,Lithuania,Ukraine,LTU,6
2014,Lithuania,Ukraine,LTU,34
