Country of citizenship,geo,OBS_VALUE,month
Ukraine,Austria,73785.0,2022-07
Ukraine,Austria,76920.0,2022-08
Ukraine,Austria,79735.0,2022-09
Ukraine,Austria,82310.0,2022-10
Ukraine,Austria,84380.0,2022-11
Ukraine,Austria,86485.0,2022-12
Ukraine,Austria,87600.0,2023-01
Ukraine,Austria,84595.0,2023-02
Ukraine,Austria,70585.0,2023-03
Ukraine,Austria,71935.0,2023-04
Ukraine,Austria,73230.0,2023-05
Ukraine,Austria,74780.0,2023-06
Ukraine,Austria,76050.0,2023-07
Ukraine,Austria,77330.0,2023-08
Ukraine,Austria,78770.0,2023-09
Ukraine,Austria,80275.0,2023-10
Ukraine,Austria,81585.0,2023-11
Ukraine,Austria,82375.0,2023-12
Ukraine,Austria,82530.0,2024-01
Ukraine,Austria,81115.0,2024-02
Ukraine,Austria,72075.0,2024-03
Ukraine,Austria,72080.0,2024-04
Ukraine,Austria,75225.0,2024-05
Ukraine,Austria,76755.0,2024-06
Ukraine,Austria,78460.0,2024-07
Ukraine,Austria,79315.0,2024-08
Ukraine,Austria,80945.0,2024-09
Ukraine,Austria,82540.0,2024-10
Ukraine,Austria,83620.0,2024-11
Ukraine,Austria,84580.0,2024-12
Ukraine,Austria,84170.0,2025-01
Ukraine,Austria,83745.0,2025-02
Ukraine,Austria,80295.0,2025-03
Ukraine,Belgium,25930.0,2022-03
Ukraine,Belgium,36745.0,2022-04
Ukraine,Belgium,43780.0,2022-05
Ukraine,Belgium,47945.0,2022-06
Ukraine,Belgium,51035.0,2022-07
Ukraine,Belgium,54100.0,2022-08
Ukraine,Belgium,56245.0,2022-09
Ukraine,Belgium,55205.0,2022-10
Ukraine,Belgium,60050.0,2022-11
Ukraine,Belgium,61760.0,2022-12
Ukraine,Belgium,61100.0,2023-01
Ukraine,Belgium,62165.0,2023-02
Ukraine,Belgium,63085.0,2023-03
Ukraine,Belgium,63930.0,2023-04
Ukraine,Belgium,64950.0,2023-05
Ukraine,Belgium,66125.0,2023-06
Ukraine,Belgium,67125.0,2023-07
Ukraine,Belgium,68500.0,2023-08
Ukraine,Belgium,69770.0,2023-09
Ukraine,Belgium,71070.0,2023-10
Ukraine,Belgium,72085.0,2023-11
Ukraine,Belgium,72970.0,2023-12
Ukraine,Belgium,74115.0,2024-01
Ukraine,Belgium,75075.0,2024-02
Ukraine,Belgium,75985.0,2024-03
Ukraine,Belgium,76935.0,2024-04
Ukraine,Belgium,77875.0,2024-05
Ukraine,Belgium,78730.0,2024-06
Ukraine,Belgium,80090.0,2024-07
Ukraine,Belgium,81510.0,2024-08
Ukraine,Belgium,82805.0,2024-09
Ukraine,Belgium,83930.0,2024-10
Ukraine,Belgium,84685.0,2024-11
Ukraine,Belgium,85485.0,2024-12
Ukraine,Belgium,86530.0,2025-01
Ukraine,Belgium,87285.0,2025-02
Ukraine,Belgium,87770.0,2025-03
Ukraine,Bulgaria,30505.0,2022-03
Ukraine,Bulgaria,92030.0,2022-04
Ukraine,Bulgaria,111895.0,2022-05
Ukraine,Bulgaria,118810.0,2022-06
Ukraine,Bulgaria,125275.0,2022-07
Ukraine,Bulgaria,129755.0,2022-08
Ukraine,Bulgaria,134235.0,2022-09
Ukraine,Bulgaria,141480.0,2022-10
Ukraine,Bulgaria,144315.0,2022-11
Ukraine,Bulgaria,146805.0,2022-12
Ukraine,Bulgaria,149200.0,2023-01
Ukraine,Bulgaria,150980.0,2023-02
Ukraine,Bulgaria,152930.0,2023-03
Ukraine,Bulgaria,154380.0,2023-04
Ukraine,Bulgaria,157010.0,2023-05
Ukraine,Bulgaria,160040.0,2023-06
Ukraine,Bulgaria,162325.0,2023-07
Ukraine,Bulgaria,164210.0,2023-08
Ukraine,Bulgaria,165855.0,2023-09
Ukraine,Bulgaria,167605.0,2023-10
Ukraine,Bulgaria,169135.0,2023-11
Ukraine,Bulgaria,170250.0,2023-12
Ukraine,Bulgaria,171555.0,2024-01
Ukraine,Bulgaria,45425.0,2024-02
Ukraine,Bulgaria,48865.0,2024-03
Ukraine,Bulgaria,50645.0,2024-04
Ukraine,Bulgaria,53570.0,2024-05
Ukraine,Bulgaria,57000.0,2024-06
Ukraine,Bulgaria,59860.0,2024-07
Ukraine,Bulgaria,62135.0,2024-08
Ukraine,Bulgaria,63935.0,2024-09
Ukraine,Bulgaria,65635.0,2024-10
Ukraine,Bulgaria,67145.0,2024-11
Ukraine,Bulgaria,68535.0,2024-12
Ukraine,Bulgaria,69935.0,2025-01
Ukraine,Bulgaria,70655.0,2025-02
Ukraine,Bulgaria,72220.0,2025-03
Ukraine,Switzerland,14805.0,2022-03
Ukraine,Switzerland,37310.0,2022-04
Ukraine,Switzerland,50425.0,2022-05
Ukraine,Switzerland,54600.0,2022-06
Ukraine,Switzerland,55835.0,2022-07
Ukraine,Switzerland,57305.0,2022-08
Ukraine,Switzerland,58455.0,2022-09
Ukraine,Switzerland,59055.0,2022-10
Ukraine,Switzerland,59970.0,2022-11
Ukraine,Switzerland,61205.0,2022-12
Ukraine,Switzerland,62335.0,2023-01
Ukraine,Switzerland,63500.0,2023-02
Ukraine,Switzerland,64115.0,2023-03
Ukraine,Switzerland,64000.0,2023-04
Ukraine,Switzerland,63865.0,2023-05
Ukraine,Switzerland,63570.0,2023-06
