sex,citizen,geo,year,OBS_VALUE
Females,EU27 countries (from 2020) except reporting country,Austria,2008,6.8
Females,EU27 countries (from 2020) except reporting country,Austria,2009,8.7
Females,EU27 countries (from 2020) except reporting country,Austria,2010,7.5
Females,EU27 countries (from 2020) except reporting country,Austria,2011,7.6
Females,EU27 countries (from 2020) except reporting country,Austria,2012,7.0
Females,EU27 countries (from 2020) except reporting country,Austria,2013,7.7
Females,EU27 countries (from 2020) except reporting country,Austria,2014,8.0
Females,EU27 countries (from 2020) except reporting country,Austria,2015,8.3
Females,EU27 countries (from 2020) except reporting country,Austria,2016,8.6
Females,EU27 countries (from 2020) except reporting country,Austria,2017,7.4
Females,EU27 countries (from 2020) except reporting country,Austria,2018,6.8
Females,EU27 countries (from 2020) except reporting country,Austria,2019,6.2
Females,EU27 countries (from 2020) except reporting country,Austria,2020,8.7
Females,EU27 countries (from 2020) except reporting country,Austria,2021,9.4
Females,EU27 countries (from 2020) except reporting country,Austria,2022,6.9
Females,EU27 countries (from 2020) except reporting country,Austria,2023,7.3
Females,EU27 countries (from 2020) except reporting country,Austria,2024,6.6
Females,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,2021,
Females,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,2022,
Females,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,2023,
Females,EU27 countries (from 2020) except reporting country,Bosnia and Herzegovina,2024,
Females,EU27 countries (from 2020) except reporting country,Belgium,2008,11.0
Females,EU27 countries (from 2020) except reporting country,Belgium,2009,12.8
Females,EU27 countries (from 2020) except reporting country,Belgium,2010,11.4
Females,EU27 countries (from 2020) except reporting country,Belgium,2011,11.0
Females,EU27 countries (from 2020) except reporting country,Belgium,2012,10.5
Females,EU27 countries (from 2020) except reporting country,Belgium,2013,12.2
Females,EU27 countries (from 2020) except reporting country,Belgium,2014,10.9
Females,EU27 countries (from 2020) except reporting country,Belgium,2015,10.9
Females,EU27 countries (from 2020) except reporting country,Belgium,2016,9.8
Females,EU27 countries (from 2020) except reporting country,Belgium,2017,10.5
Females,EU27 countries (from 2020) except reporting country,Belgium,2018,7.9
Females,EU27 countries (from 2020) except reporting country,Belgium,2019,7.9
Females,EU27 countries (from 2020) except reporting country,Belgium,2020,7.6
Females,EU27 countries (from 2020) except reporting country,Belgium,2021,8.1
Females,EU27 countries (from 2020) except reporting country,Belgium,2022,5.6
Females,EU27 countries (from 2020) except reporting country,Belgium,2023,6.1
Females,EU27 countries (from 2020) except reporting country,Belgium,2024,7.1
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2008,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2009,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2010,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2011,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2012,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2013,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2014,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2015,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2016,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2017,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2018,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2019,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2020,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2021,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2022,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2023,
Females,EU27 countries (from 2020) except reporting country,Bulgaria,2024,
Females,EU27 countries (from 2020) except reporting country,Switzerland,2008,4.8
Females,EU27 countries (from 2020) except reporting country,Switzerland,2009,5.0
Females,EU27 countries (from 2020) except reporting country,Switzerland,2010,6.4
Females,EU27 countries (from 2020) except reporting country,Switzerland,2011,6.1
Females,EU27 countries (from 2020) except reporting country,Switzerland,2012,5.9
Females,EU27 countries (from 2020) except reporting country,Switzerland,2013,6.8
Females,EU27 countries (from 2020) except reporting country,Switzerland,2014,6.7
Females,EU27 countries (from 2020) except reporting country,Switzerland,2015,6.4
Females,EU27 countries (from 2020) except reporting country,Switzerland,2016,6.3
Females,EU27 countries (from 2020) except reporting country,Switzerland,2017,7.7
Females,EU27 countries (from 2020) except reporting country,Switzerland,2018,6.4
Females,EU27 countries (from 2020) except reporting country,Switzerland,2019,5.9
Females,EU27 countries (from 2020) except reporting country,Switzerland,2020,6.7
Females,EU27 countries (from 2020) except reporting country,Switzerland,2021,7.3
Females,EU27 countries (from 2020) except reporting country,Switzerland,2022,6.1
Females,EU27 countries (from 2020) except reporting country,Switzerland,2023,5.2
Females,EU27 countries (from 2020) except reporting country,Switzerland,2024,6.2
Females,EU27 countries (from 2020) except reporting country,Cyprus,2008,6.3
Females,EU27 countries (from 2020) except reporting country,Cyprus,2009,8.6
Females,EU27 countries (from 2020) except reporting country,Cyprus,2010,11.3
Females,EU27 countries (from 2020) except reporting country,Cyprus,2011,14.0
Females,EU27 countries (from 2020) except reporting country,Cyprus,2012,15.6
Females,EU27 countries (from 2020) except reporting country,Cyprus,2013,19.5
Females,EU27 countries (from 2020) except reporting country,Cyprus,2014,16.3
Females,EU27 countries (from 2020) except reporting country,Cyprus,2015,17.9
Females,EU27 countries (from 2020) except reporting country,Cyprus,2016,13.4
Females,EU27 countries (from 2020) except reporting country,Cyprus,2017,10.8
Females,EU27 countries (from 2020) except reporting country,Cyprus,2018,9.5
Females,EU27 countries (from 2020) except reporting country,Cyprus,2019,6.9
Females,EU27 countries (from 2020) except reporting country,Cyprus,2020,10.6
Females,EU27 countries (from 2020) except reporting country,Cyprus,2021,10.6
Females,EU27 countries (from 2020) except reporting country,Cyprus,2022,6.8
Females,EU27 countries (from 2020) except reporting country,Cyprus,2023,5.6
Females,EU27 countries (from 2020) except reporting country,Cyprus,2024,7.0
Females,EU27 countries (from 2020) except reporting country,Czechia,2008,5.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2009,6.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2010,7.8
Females,EU27 countries (from 2020) except reporting country,Czechia,2011,6.4
Females,EU27 countries (from 2020) except reporting country,Czechia,2012,10.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2013,9.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2014,9.1
Females,EU27 countries (from 2020) except reporting country,Czechia,2015,5.3
Females,EU27 countries (from 2020) except reporting country,Czechia,2016,7.0
Females,EU27 countries (from 2020) except reporting country,Czechia,2017,3.4
Females,EU27 countries (from 2020) except reporting country,Czechia,2018,4.0
Females,EU27 countries (from 2020) except reporting country,Czechia,2019,4.7
Females,EU27 countries (from 2020) except reporting country,Czechia,2020,2.7
Females,EU27 countries (from 2020) except reporting country,Czechia,2021,1.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2022,3.2
Females,EU27 countries (from 2020) except reporting country,Czechia,2023,3.5
Females,EU27 countries (from 2020) except reporting country,Czechia,2024,5.0
Females,EU27 countries (from 2020) except reporting country,Germany,2008,9.6
Females,EU27 countries (from 2020) except reporting country,Germany,2009,9.3
Females,EU27 countries (from 2020) except reporting country,Germany,2010,8.9
Females,EU27 countries (from 2020) except reporting country,Germany,2011,7.7
Females,EU27 countries (from 2020) except reporting country,Germany,2012,7.8
Females,EU27 countries (from 2020) except reporting country,Germany,2013,7.1
Females,EU27 countries (from 2020) except reporting country,Germany,2014,7.2
Females,EU27 countries (from 2020) except reporting country,Germany,2015,7.0
Females,EU27 countries (from 2020) except reporting country,Germany,2016,5.7
Females,EU27 countries (from 2020) except reporting country,Germany,2017,5.4
Females,EU27 countries (from 2020) except reporting country,Germany,2018,4.8
Females,EU27 countries (from 2020) except reporting country,Germany,2019,4.7
Females,EU27 countries (from 2020) except reporting country,Germany,2020,5.8
Females,EU27 countries (from 2020) except reporting country,Germany,2021,5.4
Females,EU27 countries (from 2020) except reporting country,Germany,2022,4.6
Females,EU27 countries (from 2020) except reporting country,Germany,2023,4.5
Females,EU27 countries (from 2020) except reporting country,Germany,2024,4.8
Females,EU27 countries (from 2020) except reporting country,Denmark,2008,
Females,EU27 countries (from 2020) except reporting country,Denmark,2009,
Females,EU27 countries (from 2020) except reporting country,Denmark,2010,10.4
Females,EU27 countries (from 2020) except reporting country,Denmark,2011,14.8
Females,EU27 countries (from 2020) except reporting country,Denmark,2012,16.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2013,14.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2014,14.9
Females,EU27 countries (from 2020) except reporting country,Denmark,2015,14.3
Females,EU27 countries (from 2020) except reporting country,Denmark,2016,13.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2017,12.0
