sex,citizen,geo,year,Number per 1000 people
Females,EU27 countries (from 2020) except reporting country,Austria,2014,13.0
Females,EU27 countries (from 2020) except reporting country,Austria,2015,14.0
Females,EU27 countries (from 2020) except reporting country,Austria,2016,16.1
Females,EU27 countries (from 2020) except reporting country,Austria,2017,14.4
Females,EU27 countries (from 2020) except reporting country,Austria,2018,13.8
Females,EU27 countries (from 2020) except reporting country,Austria,2019,13.6
Females,EU27 countries (from 2020) except reporting country,Austria,2020,21.0
Females,EU27 countries (from 2020) except reporting country,Austria,2021,22.3
Females,EU27 countries (from 2020) except reporting country,Austria,2022,17.7
Females,EU27 countries (from 2020) except reporting country,Austria,2023,19.6
Females,EU27 countries (from 2020) except reporting country,Belgium,2014,17.7
Females,EU27 countries (from 2020) except reporting country,Belgium,2015,18.5
Females,EU27 countries (from 2020) except reporting country,Belgium,2016,16.5
Females,EU27 countries (from 2020) except reporting country,Belgium,2017,19.8
Females,EU27 countries (from 2020) except reporting country,Belgium,2018,14.7
Females,EU27 countries (from 2020) except reporting country,Belgium,2019,15.6
Females,EU27 countries (from 2020) except reporting country,Belgium,2020,14.8
Females,EU27 countries (from 2020) except reporting country,Belgium,2021,16.3
Females,EU27 countries (from 2020) except reporting country,Belgium,2022,12.3
Females,EU27 countries (from 2020) except reporting country,Belgium,2023,13.3
Females,EU27 countries (from 2020) except reporting country,Switzerland,2014,22.6
Females,EU27 countries (from 2020) except reporting country,Switzerland,2015,22.7
Females,EU27 countries (from 2020) except reporting country,Switzerland,2016,23.0
Females,EU27 countries (from 2020) except reporting country,Switzerland,2017,28.7
Females,EU27 countries (from 2020) except reporting country,Switzerland,2018,24.5
Females,EU27 countries (from 2020) except reporting country,Switzerland,2019,22.8
Females,EU27 countries (from 2020) except reporting country,Switzerland,2020,26.3
Females,EU27 countries (from 2020) except reporting country,Switzerland,2021,28.7
Females,EU27 countries (from 2020) except reporting country,Switzerland,2022,24.4
Females,EU27 countries (from 2020) except reporting country,Switzerland,2023,21.9
Females,EU27 countries (from 2020) except reporting country,Cyprus,2014,3.1
Females,EU27 countries (from 2020) except reporting country,Cyprus,2015,3.7
Females,EU27 countries (from 2020) except reporting country,Cyprus,2016,2.9
Females,EU27 countries (from 2020) except reporting country,Cyprus,2017,2.4
Females,EU27 countries (from 2020) except reporting country,Cyprus,2018,2.1
Females,EU27 countries (from 2020) except reporting country,Cyprus,2019,1.8
Females,EU27 countries (from 2020) except reporting country,Cyprus,2020,2.7
Females,EU27 countries (from 2020) except reporting country,Cyprus,2021,2.5
Females,EU27 countries (from 2020) except reporting country,Cyprus,2022,1.8
Females,EU27 countries (from 2020) except reporting country,Cyprus,2023,1.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2014,1.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2015,1.1
Females,EU27 countries (from 2020) except reporting country,Czechia,2016,1.5
Females,EU27 countries (from 2020) except reporting country,Czechia,2017,1.0
Females,EU27 countries (from 2020) except reporting country,Czechia,2018,1.0
Females,EU27 countries (from 2020) except reporting country,Czechia,2019,1.4
Females,EU27 countries (from 2020) except reporting country,Czechia,2020,0.9
Females,EU27 countries (from 2020) except reporting country,Czechia,2021,0.6
Females,EU27 countries (from 2020) except reporting country,Czechia,2022,1.0
Females,EU27 countries (from 2020) except reporting country,Czechia,2023,1.2
Females,EU27 countries (from 2020) except reporting country,Germany,2014,58.9
Females,EU27 countries (from 2020) except reporting country,Germany,2015,63.6
Females,EU27 countries (from 2020) except reporting country,Germany,2016,58.0
Females,EU27 countries (from 2020) except reporting country,Germany,2017,56.8
Females,EU27 countries (from 2020) except reporting country,Germany,2018,54.3
Females,EU27 countries (from 2020) except reporting country,Germany,2019,55.2
Females,EU27 countries (from 2020) except reporting country,Germany,2020,66.6
Females,EU27 countries (from 2020) except reporting country,Germany,2021,61.0
Females,EU27 countries (from 2020) except reporting country,Germany,2022,59.2
