citizenship,geo,unemployment_rate,year,Sex
Foreign country,Austria,7.8,1995,Females
Foreign country,Austria,9.4,1996,Females
Foreign country,Austria,9.4,1997,Females
Foreign country,Austria,8.9,1998,Females
Foreign country,Austria,9.2,1999,Females
Foreign country,Austria,9.0,2000,Females
Foreign country,Austria,7.9,2001,Females
Foreign country,Austria,8.3,2002,Females
Foreign country,Austria,7.0,2003,Females
Foreign country,Austria,14.5,2004,Females
Foreign country,Austria,11.8,2005,Females
Foreign country,Austria,11.6,2006,Females
Foreign country,Austria,11.1,2007,Females
Foreign country,Austria,8.5,2008,Females
Foreign country,Austria,10.5,2009,Females
Foreign country,Austria,9.3,2010,Females
Foreign country,Austria,9.5,2011,Females
Foreign country,Austria,9.2,2012,Females
Foreign country,Austria,9.7,2013,Females
Foreign country,Austria,10.2,2014,Females
Foreign country,Austria,10.4,2015,Females
Foreign country,Austria,11.2,2016,Females
Foreign country,Austria,10.3,2017,Females
Foreign country,Austria,9.5,2018,Females
Foreign country,Austria,9.1,2019,Females
Foreign country,Austria,11.3,2020,Females
Foreign country,Austria,12.3,2021,Females
Foreign country,Austria,9.5,2022,Females
Foreign country,Austria,9.8,2023,Females
Foreign country,Austria,9.0,2024,Females
Foreign country,Austria,6.2,1995,Males
Foreign country,Austria,11.3,1996,Males
Foreign country,Austria,11.5,1997,Males
Foreign country,Austria,10.3,1998,Males
Foreign country,Austria,8.2,1999,Males
Foreign country,Austria,7.9,2000,Males
Foreign country,Austria,7.9,2001,Males
Foreign country,Austria,10.4,2002,Males
Foreign country,Austria,8.9,2003,Males
Foreign country,Austria,10.6,2004,Males
Foreign country,Austria,12.7,2005,Males
Foreign country,Austria,11.6,2006,Males
Foreign country,Austria,9.7,2007,Males
Foreign country,Austria,8.4,2008,Males
Foreign country,Austria,12.2,2009,Males
Foreign country,Austria,9.3,2010,Males
Foreign country,Austria,8.8,2011,Males
Foreign country,Austria,9.6,2012,Males
Foreign country,Austria,10.4,2013,Males
Foreign country,Austria,11.8,2014,Males
Foreign country,Austria,11.8,2015,Males
Foreign country,Austria,12.7,2016,Males
Foreign country,Austria,11.2,2017,Males
Foreign country,Austria,10.0,2018,Males
Foreign country,Austria,9.0,2019,Males
Foreign country,Austria,11.8,2020,Males
Foreign country,Austria,11.6,2021,Males
Foreign country,Austria,8.8,2022,Males
Foreign country,Austria,10.1,2023,Males
Foreign country,Austria,10.4,2024,Males
Foreign country,Austria,6.8,1995,Total
Foreign country,Austria,10.5,1996,Total
Foreign country,Austria,10.6,1997,Total
Foreign country,Austria,9.7,1998,Total
Foreign country,Austria,8.6,1999,Total
Foreign country,Austria,8.4,2000,Total
Foreign country,Austria,7.9,2001,Total
Foreign country,Austria,9.5,2002,Total
Foreign country,Austria,8.0,2003,Total
Foreign country,Austria,12.2,2004,Total
Foreign country,Austria,12.4,2005,Total
Foreign country,Austria,11.6,2006,Total
Foreign country,Austria,10.3,2007,Total
Foreign country,Austria,8.4,2008,Total
Foreign country,Austria,11.4,2009,Total
Foreign country,Austria,9.3,2010,Total
Foreign country,Austria,9.1,2011,Total
Foreign country,Austria,9.4,2012,Total
Foreign country,Austria,10.1,2013,Total
Foreign country,Austria,11.1,2014,Total
Foreign country,Austria,11.2,2015,Total
Foreign country,Austria,12.0,2016,Total
Foreign country,Austria,10.8,2017,Total
Foreign country,Austria,9.8,2018,Total
Foreign country,Austria,9.1,2019,Total
Foreign country,Austria,11.6,2020,Total
Foreign country,Austria,11.9,2021,Total
Foreign country,Austria,9.1,2022,Total
Foreign country,Austria,9.9,2023,Total
Foreign country,Austria,9.8,2024,Total
Reporting country,Austria,4.7,1995,Females
Reporting country,Austria,4.9,1996,Females
Reporting country,Austria,4.9,1997,Females
Reporting country,Austria,5.3,1998,Females
Reporting country,Austria,4.4,1999,Females
Reporting country,Austria,4.1,2000,Females
Reporting country,Austria,3.7,2001,Females
Reporting country,Austria,4.2,2002,Females
Reporting country,Austria,4.1,2003,Females
Reporting country,Austria,5.0,2004,Females
Reporting country,Austria,5.2,2005,Females
Reporting country,Austria,5.0,2006,Females
Reporting country,Austria,4.7,2007,Females
Reporting country,Austria,4.0,2008,Females
Reporting country,Austria,4.5,2009,Females
Reporting country,Austria,4.1,2010,Females
Reporting country,Austria,4.0,2011,Females
Reporting country,Austria,4.3,2012,Females
Reporting country,Austria,4.7,2013,Females
Reporting country,Austria,4.7,2014,Females
Reporting country,Austria,4.5,2015,Females
Reporting country,Austria,4.6,2016,Females
Reporting country,Austria,4.1,2017,Females
Reporting country,Austria,3.8,2018,Females
Reporting country,Austria,3.4,2019,Females
Reporting country,Austria,4.0,2020,Females
Reporting country,Austria,4.8,2021,Females
Reporting country,Austria,3.4,2022,Females
Reporting country,Austria,3.6,2023,Females
Reporting country,Austria,3.6,2024,Females
Reporting country,Austria,3.7,1995,Males
Reporting country,Austria,4.7,1996,Males
Reporting country,Austria,4.3,1997,Males
Reporting country,Austria,4.8,1998,Males
Reporting country,Austria,4.3,1999,Males
Reporting country,Austria,4.4,2000,Males
Reporting country,Austria,3.4,2001,Males
Reporting country,Austria,4.6,2002,Males
Reporting country,Austria,4.7,2003,Males
Reporting country,Austria,5.1,2004,Males
Reporting country,Austria,4.6,2005,Males
Reporting country,Austria,4.2,2006,Males
Reporting country,Austria,3.9,2007,Males
Reporting country,Austria,3.4,2008,Males
Reporting country,Austria,4.8,2009,Males
Reporting country,Austria,4.5,2010,Males
Reporting country,Austria,4.0,2011,Males
Reporting country,Austria,4.4,2012,Males
Reporting country,Austria,4.7,2013,Males
Reporting country,Austria,5.0,2014,Males
Reporting country,Austria,5.2,2015,Males
Reporting country,Austria,5.4,2016,Males
Reporting country,Austria,4.9,2017,Males
Reporting country,Austria,4.0,2018,Males
Reporting country,Austria,3.8,2019,Males
Reporting country,Austria,4.1,2020,Males
Reporting country,Austria,5.0,2021,Males
Reporting country,Austria,4.0,2022,Males
Reporting country,Austria,4.1,2023,Males
Reporting country,Austria,4.2,2024,Males
Reporting country,Austria,4.1,1995,Total
Reporting country,Austria,4.8,1996,Total
Reporting country,Austria,4.6,1997,Total
Reporting country,Austria,5.0,1998,Total
Reporting country,Austria,4.3,1999,Total
Reporting country,Austria,4.3,2000,Total
Reporting country,Austria,3.6,2001,Total
Reporting country,Austria,4.4,2002,Total
Reporting country,Austria,4.4,2003,Total
Reporting country,Austria,5.1,2004,Total
Reporting country,Austria,4.9,2005,Total
Reporting country,Austria,4.6,2006,Total
Reporting country,Austria,4.3,2007,Total
Reporting country,Austria,3.7,2008,Total
Reporting country,Austria,4.7,2009,Total
Reporting country,Austria,4.3,2010,Total
Reporting country,Austria,4.0,2011,Total
Reporting country,Austria,4.3,2012,Total
Reporting country,Austria,4.7,2013,Total
Reporting country,Austria,4.8,2014,Total
Reporting country,Austria,4.9,2015,Total
Reporting country,Austria,5.0,2016,Total
Reporting country,Austria,4.5,2017,Total
Reporting country,Austria,3.9,2018,Total
Reporting country,Austria,3.6,2019,Total
Reporting country,Austria,4.1,2020,Total
Reporting country,Austria,4.9,2021,Total
Reporting country,Austria,3.7,2022,Total
Reporting country,Austria,3.9,2023,Total
Reporting country,Austria,3.9,2024,Total
Total,Austria,4.9,1995,Females
Total,Austria,5.3,1996,Females
Total,Austria,5.3,1997,Females
Total,Austria,5.6,1998,Females
Total,Austria,4.8,1999,Females
Total,Austria,4.6,2000,Females
Total,Austria,4.1,2001,Females
Total,Austria,4.6,2002,Females
Total,Austria,4.4,2003,Females
Total,Austria,5.9,2004,Females
Total,Austria,5.9,2005,Females
Total,Austria,5.6,2006,Females
Total,Austria,5.4,2007,Females
Total,Austria,4.5,2008,Females
Total,Austria,5.2,2009,Females
Total,Austria,4.7,2010,Females
Total,Austria,4.6,2011,Females
Total,Austria,4.8,2012,Females
Total,Austria,5.4,2013,Females
Total,Austria,5.5,2014,Females
Total,Austria,5.4,2015,Females
Total,Austria,5.6,2016,Females
Total,Austria,5.1,2017,Females
Total,Austria,4.7,2018,Females
Total,Austria,4.4,2019,Females
Total,Austria,5.3,2020,Females
Total,Austria,6.2,2021,Females
Total,Austria,4.6,2022,Females
Total,Austria,4.9,2023,Females
Total,Austria,4.8,2024,Females
Total,Austria,4.0,1995,Males
Total,Austria,5.4,1996,Males
Total,Austria,5.1,1997,Males
Total,Austria,5.4,1998,Males
Total,Austria,4.7,1999,Males
Total,Austria,4.8,2000,Males
Total,Austria,4.0,2001,Males
Total,Austria,5.2,2002,Males
Total,Austria,5.2,2003,Males
Total,Austria,5.8,2004,Males
Total,Austria,5.5,2005,Males
Total,Austria,5.0,2006,Males
Total,Austria,4.6,2007,Males
Total,Austria,4.0,2008,Males
Total,Austria,5.6,2009,Males
Total,Austria,5.1,2010,Males
Total,Austria,4.6,2011,Males
Total,Austria,5.0,2012,Males
Total,Austria,5.5,2013,Males
Total,Austria,5.9,2014,Males
Total,Austria,6.2,2015,Males
Total,Austria,6.6,2016,Males
Total,Austria,6.0,2017,Males
Total,Austria,5.1,2018,Males
Total,Austria,4.7,2019,Males
Total,Austria,5.6,2020,Males
Total,Austria,6.3,2021,Males
Total,Austria,5.0,2022,Males
Total,Austria,5.4,2023,Males
Total,Austria,5.6,2024,Males
Total,Austria,4.4,1995,Total
Total,Austria,5.3,1996,Total
Total,Austria,5.2,1997,Total
Total,Austria,5.5,1998,Total
Total,Austria,4.7,1999,Total
Total,Austria,4.7,2000,Total
Total,Austria,4.0,2001,Total
Total,Austria,4.9,2002,Total
Total,Austria,4.8,2003,Total
Total,Austria,5.9,2004,Total
Total,Austria,5.7,2005,Total
Total,Austria,5.3,2006,Total
Total,Austria,4.9,2007,Total
Total,Austria,4.2,2008,Total
Total,Austria,5.4,2009,Total
Total,Austria,4.9,2010,Total
Total,Austria,4.6,2011,Total
Total,Austria,4.9,2012,Total
Total,Austria,5.4,2013,Total
Total,Austria,5.7,2014,Total
Total,Austria,5.8,2015,Total
Total,Austria,6.1,2016,Total
Total,Austria,5.6,2017,Total
Total,Austria,4.9,2018,Total
Total,Austria,4.6,2019,Total
Total,Austria,5.4,2020,Total
Total,Austria,6.3,2021,Total
Total,Austria,4.8,2022,Total
Total,Austria,5.2,2023,Total
Total,Austria,5.2,2024,Total
Foreign country,Belgium,31.5,1995,Females
Foreign country,Belgium,28.3,1996,Females
Foreign country,Belgium,24.9,1997,Females
Foreign country,Belgium,24.0,1998,Females
Foreign country,Belgium,22.9,1999,Females
Foreign country,Belgium,15.0,2000,Females
Foreign country,Belgium,16.0,2001,Females
Foreign country,Belgium,17.8,2002,Females
Foreign country,Belgium,19.9,2003,Females
Foreign country,Belgium,18.0,2004,Females
Foreign country,Belgium,18.0,2005,Females
Foreign country,Belgium,19.3,2006,Females
Foreign country,Belgium,15.8,2007,Females
Foreign country,Belgium,14.5,2008,Females
Foreign country,Belgium,16.3,2009,Females
Foreign country,Belgium,16.8,2010,Females
Foreign country,Belgium,15.3,2011,Females
Foreign country,Belgium,15.5,2012,Females
Foreign country,Belgium,15.9,2013,Females
Foreign country,Belgium,15.8,2014,Females
Foreign country,Belgium,14.2,2015,Females
Foreign country,Belgium,14.6,2016,Females
Foreign country,Belgium,14.1,2017,Females
Foreign country,Belgium,10.9,2018,Females
Foreign country,Belgium,10.7,2019,Females
Foreign country,Belgium,10.2,2020,Females
Foreign country,Belgium,12.5,2021,Females
Foreign country,Belgium,9.7,2022,Females
Foreign country,Belgium,8.3,2023,Females
Foreign country,Belgium,9.1,2024,Females
Foreign country,Belgium,19.8,1995,Males
Foreign country,Belgium,17.1,1996,Males
Foreign country,Belgium,17.9,1997,Males
Foreign country,Belgium,18.4,1998,Males
Foreign country,Belgium,17.3,1999,Males
Foreign country,Belgium,14.4,2000,Males
Foreign country,Belgium,12.7,2001,Males
Foreign country,Belgium,15.3,2002,Males
Foreign country,Belgium,17.0,2003,Males
Foreign country,Belgium,14.0,2004,Males
Foreign country,Belgium,15.9,2005,Males
Foreign country,Belgium,15.5,2006,Males
Foreign country,Belgium,14.6,2007,Males
Foreign country,Belgium,13.4,2008,Males
Foreign country,Belgium,15.6,2009,Males
Foreign country,Belgium,15.5,2010,Males
Foreign country,Belgium,15.4,2011,Males
Foreign country,Belgium,17.7,2012,Males
Foreign country,Belgium,18.1,2013,Males
Foreign country,Belgium,17.8,2014,Males
Foreign country,Belgium,16.6,2015,Males
Foreign country,Belgium,15.0,2016,Males
Foreign country,Belgium,13.9,2017,Males
Foreign country,Belgium,13.2,2018,Males
Foreign country,Belgium,10.0,2019,Males
Foreign country,Belgium,10.6,2020,Males
Foreign country,Belgium,10.2,2021,Males
Foreign country,Belgium,9.4,2022,Males
Foreign country,Belgium,11.0,2023,Males
Foreign country,Belgium,10.8,2024,Males
Foreign country,Belgium,23.4,1995,Total
Foreign country,Belgium,20.7,1996,Total
Foreign country,Belgium,20.3,1997,Total
Foreign country,Belgium,20.4,1998,Total
Foreign country,Belgium,19.2,1999,Total
Foreign country,Belgium,14.6,2000,Total
Foreign country,Belgium,13.8,2001,Total
Foreign country,Belgium,16.2,2002,Total
Foreign country,Belgium,18.0,2003,Total
Foreign country,Belgium,15.6,2004,Total
Foreign country,Belgium,16.7,2005,Total
Foreign country,Belgium,17.0,2006,Total
Foreign country,Belgium,15.1,2007,Total
Foreign country,Belgium,13.8,2008,Total
Foreign country,Belgium,15.9,2009,Total
Foreign country,Belgium,16.1,2010,Total
Foreign country,Belgium,15.3,2011,Total
Foreign country,Belgium,16.7,2012,Total
Foreign country,Belgium,17.2,2013,Total
Foreign country,Belgium,17.0,2014,Total
Foreign country,Belgium,15.6,2015,Total
Foreign country,Belgium,14.8,2016,Total
Foreign country,Belgium,14.0,2017,Total
Foreign country,Belgium,12.2,2018,Total
Foreign country,Belgium,10.3,2019,Total
Foreign country,Belgium,10.4,2020,Total
Foreign country,Belgium,11.2,2021,Total
Foreign country,Belgium,9.5,2022,Total
Foreign country,Belgium,9.8,2023,Total
Foreign country,Belgium,10.1,2024,Total
Reporting country,Belgium,11.0,1995,Females
Reporting country,Belgium,11.3,1996,Females
Reporting country,Belgium,10.6,1997,Females
Reporting country,Belgium,10.9,1998,Females
Reporting country,Belgium,9.3,1999,Females
Reporting country,Belgium,7.8,2000,Females
Reporting country,Belgium,6.2,2001,Females
Reporting country,Belgium,7.0,2002,Females
Reporting country,Belgium,7.3,2003,Females
Reporting country,Belgium,7.5,2004,Females
Reporting country,Belgium,8.9,2005,Females
Reporting country,Belgium,8.5,2006,Females
Reporting country,Belgium,7.9,2007,Females
Reporting country,Belgium,7.0,2008,Females
Reporting country,Belgium,7.4,2009,Females
Reporting country,Belgium,7.7,2010,Females
Reporting country,Belgium,6.4,2011,Females
Reporting country,Belgium,6.6,2012,Females
Reporting country,Belgium,7.4,2013,Females
Reporting country,Belgium,7.1,2014,Females
Reporting country,Belgium,7.0,2015,Females
Reporting country,Belgium,6.8,2016,Females
Reporting country,Belgium,6.2,2017,Females
Reporting country,Belgium,5.0,2018,Females
Reporting country,Belgium,4.3,2019,Females
Reporting country,Belgium,4.8,2020,Females
Reporting country,Belgium,5.0,2021,Females
Reporting country,Belgium,4.7,2022,Females
Reporting country,Belgium,4.6,2023,Females
Reporting country,Belgium,4.6,2024,Females
Reporting country,Belgium,6.1,1995,Males
Reporting country,Belgium,6.4,1996,Males
Reporting country,Belgium,6.0,1997,Males
Reporting country,Belgium,6.5,1998,Males
Reporting country,Belgium,6.3,1999,Males
Reporting country,Belgium,4.3,2000,Males
Reporting country,Belgium,4.9,2001,Males
Reporting country,Belgium,5.4,2002,Males
Reporting country,Belgium,6.5,2003,Males
Reporting country,Belgium,6.0,2004,Males
Reporting country,Belgium,6.8,2005,Males
Reporting country,Belgium,6.6,2006,Males
Reporting country,Belgium,5.8,2007,Males
Reporting country,Belgium,5.8,2008,Males
Reporting country,Belgium,6.9,2009,Males
Reporting country,Belgium,7.3,2010,Males
Reporting country,Belgium,6.2,2011,Males
Reporting country,Belgium,6.5,2012,Males
Reporting country,Belgium,7.5,2013,Males
Reporting country,Belgium,7.9,2014,Males
Reporting country,Belgium,8.2,2015,Males
Reporting country,Belgium,7.1,2016,Males
Reporting country,Belgium,6.2,2017,Males
Reporting country,Belgium,5.4,2018,Males
Reporting country,Belgium,5.2,2019,Males
Reporting country,Belgium,5.1,2020,Males
Reporting country,Belgium,6.2,2021,Males
Reporting country,Belgium,5.4,2022,Males
Reporting country,Belgium,5.3,2023,Males
Reporting country,Belgium,5.4,2024,Males
Reporting country,Belgium,8.2,1995,Total
Reporting country,Belgium,8.5,1996,Total
Reporting country,Belgium,8.0,1997,Total
Reporting country,Belgium,8.4,1998,Total
Reporting country,Belgium,7.6,1999,Total
Reporting country,Belgium,5.8,2000,Total
Reporting country,Belgium,5.5,2001,Total
Reporting country,Belgium,6.1,2002,Total
Reporting country,Belgium,6.9,2003,Total
Reporting country,Belgium,6.7,2004,Total
Reporting country,Belgium,7.8,2005,Total
Reporting country,Belgium,7.5,2006,Total
Reporting country,Belgium,6.8,2007,Total
Reporting country,Belgium,6.3,2008,Total
Reporting country,Belgium,7.1,2009,Total
Reporting country,Belgium,7.5,2010,Total
Reporting country,Belgium,6.3,2011,Total
Reporting country,Belgium,6.5,2012,Total
Reporting country,Belgium,7.4,2013,Total
Reporting country,Belgium,7.5,2014,Total
Reporting country,Belgium,7.6,2015,Total
Reporting country,Belgium,7.0,2016,Total
Reporting country,Belgium,6.2,2017,Total
Reporting country,Belgium,5.2,2018,Total
Reporting country,Belgium,4.8,2019,Total
Reporting country,Belgium,5.0,2020,Total
Reporting country,Belgium,5.6,2021,Total
Reporting country,Belgium,5.0,2022,Total
Reporting country,Belgium,5.0,2023,Total
Reporting country,Belgium,5.1,2024,Total
Total,Belgium,12.3,1995,Females
Total,Belgium,12.4,1996,Females
Total,Belgium,11.6,1997,Females
Total,Belgium,11.7,1998,Females
Total,Belgium,10.3,1999,Females
Total,Belgium,8.3,2000,Females
Total,Belgium,6.9,2001,Females
Total,Belgium,7.8,2002,Females
